Location,Profesia,Profession,CVOnline,Total
Bratislava,3441,0,0,3441
Nincs megadva,512,255,279,1046
Budapest,2,900,111,1013
Košice,648,0,0,648
Žilina,293,0,0,293
Germany,0,147,0,147
Banská Bystrica,95,0,0,95
Berlin,0,81,0,81
Nitra,56,0,0,56
Trenčín,54,0,0,54
Trnava,53,0,0,53
Remote,46,0,0,46
Prague,44,0,0,44
Munich,1,32,0,33
Németország,0,33,0,33
Debrecen,0,16,16,32
Zvolen,29,0,0,29
München,0,27,0,27
Hamburg,0,24,0,24
Prešov,24,0,0,24
Szeged,0,22,2,24
Dubnica nad Váhom,21,0,0,21
Poprad,20,0,0,20
Vienna,14,1,5,20
Wien,1,1,17,19
HÖCHST,0,0,19,19
Székesfehérvár,0,15,2,17
Zürich,1,15,0,16
Liptovský Mikuláš,16,0,0,16
Zurich,0,16,0,16
Switzerland,0,16,0,16
Budaörs,0,9,6,15
Kechnec,15,0,0,15
Považská Bystrica,14,0,0,14
Senica,14,0,0,14
Pécs,0,9,3,12
Kennelbach,0,0,12,12
Bochum,0,12,0,12
Oberopfingen,0,12,0,12
Mladá Boleslav,12,0,0,12
Nové Mesto nad Váhom,11,0,0,11
Kecskemét,0,7,4,11
Slovensko,11,0,0,11
Komárom,0,7,4,11
"Walldorf, Berlin, Eschborn, Gerlingen, Hamburg, Garchingen, Dresden, Ratingen, Hannover",0,11,0,11
Győr,0,9,2,11
Brno,11,0,0,11
Feldkirch,0,0,10,10
"Vienna, Linz, Graz, Berlin, Regensburg",0,10,0,10
Piešťany,10,0,0,10
Petržalka,9,0,0,9
Kysucké Nové Mesto,9,0,0,9
Rotkreuz,0,9,0,9
Sereď,9,0,0,9
Svájc,0,9,0,9
Miskolc,0,4,5,9
Horná Streda,9,0,0,9
Malacky,9,0,0,9
Düsseldorf,0,8,0,8
Žarnovica,8,0,0,8
Karlsruhe,0,8,0,8
Walldorf,0,8,0,8
Garching or Walldorf,0,8,0,8
Martin,8,0,0,8
Nové Zámky,8,0,0,8
Mochovce,8,0,0,8
Hlohovec,7,0,0,7
Geneva,1,6,0,7
Hungary,0,4,3,7
Garching bei München,0,6,0,6
Nová Dubnica,6,0,0,6
Nové Mesto,6,0,0,6
Gúta,6,0,0,6
Donauwörth,0,6,0,6
Cologne,0,6,0,6
Dolný Kubín,6,0,0,6
Prievidza,6,0,0,6
Bonaduz,0,6,0,6
Basel,0,6,0,6
Frankfurt,0,6,0,6
Liptovský Hrádok,6,0,0,6
Lozorno,6,0,0,6
Svätý Jur,5,0,0,5
Klaus,0,0,5,5
Bad Honnef,0,5,0,5
Winterthur,0,5,0,5
Komárno,5,0,0,5
Manching,0,5,0,5
Humenné,5,0,0,5
Lučenec,5,0,0,5
Hajdú-Bihar megye,0,1,4,5
Gbeľany,5,0,0,5
"Vienna, Linz, Graz, Berlin",0,5,0,5
Urdorf,0,5,0,5
Michalovce,5,0,0,5
Dunakeszi,0,5,0,5
"Bratislava, Košice",5,0,0,5
Ettlingen,0,5,0,5
Senec,5,0,0,5
Modřice,5,0,0,5
Dunajská Streda,4,0,0,4
Siófok,0,1,3,4
Chiasso,0,4,0,4
Gerlingen-Schillerhöhe,0,4,0,4
Chorvátsky Grob,4,0,0,4
Remscheid,0,4,0,4
Šamorín,4,0,0,4
Verl,0,4,0,4
Púchov,4,0,0,4
Stuttgart,0,4,0,4
"Bad Honnef, Berlin",0,4,0,4
Vígľaš,4,0,0,4
Krupina,4,0,0,4
Krušovce,4,0,0,4
Skalica,4,0,0,4
Immenstaad am Bodensee,0,4,0,4
Wiesbaden,0,4,0,4
Vecsés,0,1,2,3
Závažná Poruba,3,0,0,3
Zlaté Moravce,3,0,0,3
Üllő,0,2,1,3
Bardejov,3,0,0,3
Burgdorf,0,3,0,3
Cheb,3,0,0,3
Veszprém,0,3,0,3
Záborské,3,0,0,3
Spišská Nová Ves,3,0,0,3
"Slovensko, Česko",3,0,0,3
Thônex,0,3,0,3
Nyíregyháza,0,3,0,3
Plavecký Štvrtok,3,0,0,3
Pfäffikon,0,3,0,3
Pezinok,3,0,0,3
Podbrezová,3,0,0,3
Potvorice,3,0,0,3
Prešovský kraj,3,0,0,3
Slovakia,3,0,0,3
Essen,0,3,0,3
Eppelheim,0,3,0,3
Einbeck,0,3,0,3
Prilly,0,3,0,3
Sindelfingen,0,3,0,3
Davos,0,3,0,3
Dresden,0,3,0,3
Partizánske,3,0,0,3
Malý Krtíš,3,0,0,3
Levice,3,0,0,3
Lednické Rovne,3,0,0,3
Lausanne,0,3,0,3
Innsbruck,0,3,0,3
Nitriansky kraj,3,0,0,3
Meyrin,0,3,0,3
Ilava,3,0,0,3
Fót,0,3,0,3
Hettlingen,0,3,0,3
Kiskunhalas,0,0,3,3
Ivanka pri Dunaji,3,0,0,3
Veľké Úľany,3,0,0,3
Vorarlberg,0,0,2,2
Teplička nad Váhom,2,0,0,2
Aarburg,0,2,0,2
Tallinn,0,2,0,2
Barcelona,0,2,0,2
Zsámbék,0,2,0,2
"Berlin, Verl, Baden-Baden, Oslo",0,2,0,2
Böblingen,0,2,0,2
Trenčianska Turná,2,0,0,2
Trier,0,2,0,2
Triesen,0,2,0,2
Tata,0,1,1,2
Trstená,2,0,0,2
Tvrdošín,2,0,0,2
Valaliky,2,0,0,2
Kolárovo,2,0,0,2
Ivanka pri Nitre,2,0,0,2
Hanover,0,2,0,2
Hard,0,0,2,2
Wesel,0,2,0,2
Heves megye,0,2,0,2
Hannover,0,2,0,2
Bernolákovo,2,0,0,2
Biel/Bienne,0,2,0,2
Soroksár,0,0,2,2
Slovak Republic,2,0,0,2
"Slovak Republic, Austria, Abroad - Others",2,0,0,2
St. Leon-Rot,0,2,0,2
"Slovensko, Česko, Poľsko",2,0,0,2
Szatymaz,0,2,0,2
Dusseldorf,0,2,0,2
Dvory nad Žitavou,2,0,0,2
Rankweil,0,0,2,2
"Bratislavský kraj, Trnavský kraj, Nitriansky kraj",2,0,0,2
Erlangen,0,2,0,2
"Bratislava, Banská Bystrica, Žilina, Poprad",2,0,0,2
Bratislava/Košice,2,0,0,2
Renningen,0,2,0,2
Ružinov,2,0,0,2
Námestovo,2,0,0,2
Schlieren,0,2,0,2
Indianapolis,0,2,0,2
Istebné,2,0,0,2
Hinwil,0,2,0,2
Hoehenkirchen-Siegertsbrunn,0,2,0,2
Lungötz,2,0,0,2
Kaiserslautern,0,2,0,2
Kaposvár,0,2,0,2
Mannheim,0,2,0,2
Marianka,2,0,0,2
"Paks, Budapest, Szeged",0,2,0,2
Galanta,2,0,0,2
Garching,0,2,0,2
Nemecko,2,0,0,2
Gáň,2,0,0,2
Gütersloh,0,2,0,2
Gerlingen,0,2,0,2
"Germany, Austria, Switzerland",2,0,0,2
Graz,2,0,0,2
Mátészalka,0,0,2,2
Környe,0,2,0,2
Nižná,2,0,0,2
Norderstedt,0,2,0,2
Nuremberg,0,2,0,2
Heidelberg,0,2,0,2
London,0,2,0,2
Zavar,2,0,0,2
Zohor,2,0,0,2
Wetzlar,0,2,0,2
Érd,0,2,0,2
České Budějovice,2,0,0,2
Wiener Neudorf,0,0,2,2
Szombathely,0,2,0,2
Sárszentmihály,0,2,0,2
Bučany,2,0,0,2
Bytča,2,0,0,2
"Bratislavský kraj, Žilinský kraj",2,0,0,2
Yverdon-les-Bains,0,2,0,2
Bomlitz,2,0,0,2
Boston,0,2,0,2
"Bratislava region, Trnava region, Nitra region",2,0,0,2
Viedeň,2,0,0,2
Zug,0,2,0,2
Wietmarschen-Lohne,0,2,0,2
"Walldorf, Hamburg, Berlin, Ratingen, Eschborn, Gerlingen, Garching",0,2,0,2
Vysoké Tatry,2,0,0,2
Veľké Zálužie,2,0,0,2
Austria,0,0,2,2
Almásfüzitő,0,1,0,1
Alsónémedi,0,1,0,1
Amsterdam,0,1,0,1
"Ansbach, Nuremberg, Bazanowice",0,1,0,1
Attendorn,0,1,0,1
Austin,0,1,0,1
BALATONFÜRED,0,0,1,1
Wangen b. Dübendorf,0,1,0,1
Vrbové,1,0,0,1
Vráble,1,0,0,1
Várpalota,0,1,0,1
Veľké Kosihy,1,0,0,1
Voderady,1,0,0,1
Wiesbaum,1,0,0,1
Wietmarschen-Lohne or Osnabrück,0,1,0,1
Winnenden,0,1,0,1
Wuerzburg,0,1,0,1
Bojnice,1,0,0,1
Bonn,0,1,0,1
Bonyhád,0,0,1,1
Bern,0,1,0,1
Budča,1,0,0,1
Bystré,1,0,0,1
Bremen,1,0,0,1
