Language Requirement,Profesia,Profession,CVOnline,Total
English: B2,2816,1260,137,4213
English: C1,882,380,180,1442
English: B1,693,20,18,731
German: B2,244,335,19,598
Slovak: C2,331,0,0,331
Slovak: C1,298,0,0,298
German: C1,73,128,94,295
German: B1,83,38,2,123
Slovak: B2,120,0,0,120
English: A2,63,23,21,107
English: Fluent,58,12,6,76
Hungarian: C1,8,48,9,65
German: A2,7,47,0,54
Hungarian: B2,13,25,0,38
English: Basic,10,17,6,33
Czech: C1,29,0,0,29
French: B2,4,19,0,23
Hungarian: C2,3,19,1,23
English: B2+,18,1,0,19
Anglický jazyk: B2,18,0,0,18
Hungarian: Native,1,16,1,18
Slovak: Fluent,15,0,0,15
Czech: C2,14,0,0,14
Slovak: B1,14,0,0,14
English: C2,12,2,0,14
Slovak: Native,13,0,0,13
English: A1,11,1,0,12
English: fluent,9,3,0,12
German: Fluent,2,7,2,11
English: Native,0,9,1,10
Czech: Native,10,0,0,10
Dutch: C1,0,2,8,10
Russian: C1,8,2,0,10
Czech: B2,8,1,0,9
Italian: B2,2,7,0,9
Slovak,9,0,0,9
English: Advanced,8,0,1,9
Ukrainian: C1,7,1,0,8
Polish: C1,7,0,1,8
German: Native,1,6,1,8
German: Advantage,5,3,0,8
German: C2,3,5,0,8
French: C1,2,5,1,8
English: Fluency,8,0,0,8
English: B1-B2,5,3,0,8
Anglický jazyk: B1,8,0,0,8
French: A2,0,8,0,8
German: A1,2,5,0,7
English: Intermediate,4,2,0,6
English: Business fluent,6,0,0,6
Deutsch: C1,1,0,5,6
Danish: C1-C2,5,0,0,5
Spanish: B2,1,4,0,5
German: B2+,5,0,0,5
French: B1,1,3,1,5
English: communicative,5,0,0,5
Slovak: C1-C2,5,0,0,5
Swedish: C1-C2,5,0,0,5
English,5,0,0,5
Dutch: B2,1,4,0,5
Hungarian: B1,4,0,0,4
Other European languages: B1,0,4,0,4
Nemecký jazyk: B2,4,0,0,4
Slovak: C1+,4,0,0,4
English: advanced,4,0,0,4
Polish: B2,0,4,0,4
French: Native,0,4,0,4
English: Very good,4,0,0,4
English: active,3,0,0,3
English: Upper-intermediate,3,0,0,3
English: Professional,1,2,0,3
German: bonus,3,0,0,3
Italian: C1,0,3,0,3
Spanish: C1,1,2,0,3
German: optional,3,0,0,3
English: mandatory,3,0,0,3
English: Proficiency,3,0,0,3
English: Business,0,1,2,3
Czech/Slovak: B2,3,0,0,3
Anglický jazyk: A2,3,0,0,3
English: Communicative,3,0,0,3
Italian: B1,2,1,0,3
Spanish: B1,1,2,0,3
English: B2-C1,1,0,1,2
Český jazyk: C1,2,0,0,2
Český jazyk: C2,2,0,0,2
Ukrainian: B2,1,1,0,2
Ukrainian: C2,2,0,0,2
Český: C2,2,0,0,2
Slovenský: C2,2,0,0,2
Swedish: B1,0,2,0,2
Slovenský jazyk: C1,2,0,0,2
Slovak: B2+,2,0,0,2
Norwegian: B1,0,2,0,2
Slovak: Professional,2,0,0,2
German: B2-C1,0,0,2,2
English: professional level,2,0,0,2
Italian: Native,0,2,0,2
Russian: B2,0,2,0,2
German: advantage,2,0,0,2
German: Bonus available,2,0,0,2
German: Communicative,2,0,0,2
Dutch: A1,0,2,0,2
Dutch: B1,0,2,0,2
Anglický jazyk: C1,2,0,0,2
Anglický: B2,2,0,0,2
Chinese: B1,0,2,0,2
Chinese: C1,0,2,0,2
Czech: Professional,2,0,0,2
English: Good,2,0,0,2
German: Desirable,1,1,0,2
German: B1-B2,1,1,0,2
English: Proficient,0,0,2,2
English: Technical,2,0,0,2
Finnish: B1,0,2,0,2
Chinese: A1,0,1,0,1
English: Communication level,0,0,1,1
English: C1/C2,0,1,0,1
English: Business-fluent,1,0,0,1
English: C,1,0,0,1
English: Business Fluency,0,1,0,1
Englisch: B2,1,0,0,1
Englisch: B2-C1,0,0,1,1
English: Active,1,0,0,1
Deutsch: C1-C2,0,0,1,1
Danish: C1,1,0,0,1
Angol: B2,0,1,0,1
Arabic: B1,0,1,0,1
Angličtina: B2,1,0,0,1
Czech: B1,1,0,0,1
Chinese: null,0,1,0,1
Czech: A1,1,0,0,1
Arabic: B2,1,0,0,1
English: passive,1,0,0,1
English: sufficient for effective communication,1,0,0,1
English: intermediate,1,0,0,1
European language: B2,1,0,0,1
English: business fluent,1,0,0,1
English: High proficiency,0,1,0,1
English: Intermediate/Advanced,1,0,0,1
English: technical level,1,0,0,1
English: written,0,0,1,1
English: communication level,1,0,0,1
French: Fluent,0,0,1,1
German: Active,1,0,0,1
German: B1/B2,1,0,0,1
German: Advanced,0,0,1,1
Französisch: A2,1,0,0,1
German: Preferred,0,1,0,1
German: CEFR,0,1,0,1
German: Beneficial,1,0,0,1
German: Bonus,1,0,0,1
German: Bonus up to 400 EUR monthly/gross,1,0,0,1
German: Business,0,1,0,1
German: Business fluent,1,0,0,1
German: Business fluent (advantage),1,0,0,1
German: Basic,1,0,0,1
French: C2,0,1,0,1
French: CEFR,0,1,0,1
Hungarian: Advanced,0,1,0,1
Italian: A2,0,1,0,1
Hungarian: Fluent,0,0,1,1
German: active,1,0,0,1
German: intermediate,0,1,0,1
Portuguese: A2,0,0,1,1
Portuguese: business fluent,1,0,0,1
Polish: Fluent,1,0,0,1
Local language: Native or equivalent,0,1,0,1
Latin: B1,0,1,0,1
Italian: C2,0,1,0,1
Nemecky jazyk: výhodou,1,0,0,1
Hungarian: Preferred,0,0,1,1
Slovak: Proficient,1,0,0,1
Slovak: Fluency,1,0,0,1
Slovak/Czech: Fluent,1,0,0,1
Slovak: C1 - C2,1,0,0,1
Russian: C2,1,0,0,1
Slovak: communicative level,1,0,0,1
Spanish: Native,1,0,0,1
Čeština: C1,1,0,0,1
