Experience Level,Profesia,Profession,CVOnline,Total
Medior 1-5 év,2344,991,205,3540
Nincs megadva,1662,247,188,2097
Senior 5-10+ év,1041,362,89,1492
Junior 0-1 év,457,41,36,534
1-3 év tapasztalat,0,147,0,147
3-5 év tapasztalat,0,100,0,100
5-10 év tapasztalat,0,74,0,74
4 years,73,0,0,73
3 years,51,0,0,51
4-5 years,25,5,0,30
1 year,24,0,0,24
Several years,23,1,0,24
6+ years,14,4,1,19
5-10 év,0,19,0,19
>10 years,0,15,0,15
3-5 év,0,15,0,15
7 years,14,0,0,14
Pályakezdő/friss diplomás,0,14,0,14
1-2 years,12,0,2,14
1-3 év,0,9,0,9
6-8 years,4,5,0,9
8 years,8,0,0,8
5+ év,0,7,0,7
>10 év tapasztalat,0,7,0,7
Senior,6,1,0,7
No specific experience level mentioned,7,0,0,7
6 years,6,0,0,6
12+ years,5,0,0,5
7-10 years,1,4,0,5
6-10 years,2,2,0,4
4-6 years,3,1,0,4
10 years,4,0,0,4
1-3 év tapasztalat (1-3 years),0,4,0,4
Several years of experience,4,0,0,4
Medior,4,0,0,4
Berufserfahren,0,3,0,3
Several years of working experience,3,0,0,3
5-10+ years,3,0,0,3
5-8 years,2,1,0,3
3-6 years,3,0,0,3
2+ years of cloud experience,3,0,0,3
2-3+ years,3,0,0,3
2+ years of professional experience,0,3,0,3
1+ years,3,0,0,3
"0-1 years, 1-3 years, 3-5 years, 5+ years",3,0,0,3
"0-1 years, 1-3 years",2,0,0,2
0-2 years,2,0,0,2
4-5+ years,2,0,0,2
4,2,0,0,2
3 years of SAP implementation experience,0,0,2,2
7+ years of professional experience in Cloud Delivery related fields and technologies,0,2,0,2
Several years of experience in an AI focused role,0,2,0,2
min. 3 roky v oblasti projektového riadenia alebo v IT/skúsenosť s riadením väčších projektov,2,0,0,2
Nem kell tapasztalat,0,2,0,2
More than 7 years,0,2,0,2
Keine spezifische Erfahrung angegeben,0,0,2,2
Advanced,2,0,0,2
"10+ years of experience in data engineering, with at least 3–5 years in a leadership role managing multi-team delivery",0,2,0,2
14+ years,0,2,0,2
3-4 years,1,1,0,2
5-8+ years,1,1,0,2
3-7+ years,2,0,0,2
3-5 év tapasztalat (3-5 years),0,2,0,2
9-11+ years,0,2,0,2
8-12+ years,0,2,0,2
10+ years of enterprise IT and cloud architecture experience,1,0,0,1
1.5 years,1,0,0,1
1-3 év tapasztalat (1-3 years of experience),0,1,0,1
1-5 years,1,0,0,1
1-5+ év tapasztalat,0,1,0,1
0-3 years,1,0,0,1
0-5 years,1,0,0,1
"0-1 years, 1-3 years, 3-5 years",1,0,0,1
1.5-2 years,1,0,0,1
10 years of professional experience,0,1,0,1
15+ years,0,1,0,1
15 years,1,0,0,1
13+ years,0,1,0,1
10-12 év releváns tapasztalat,0,0,1,1
3 év,0,0,1,1
3 év releváns AWS vagy Kubernetes tapasztalat,0,0,1,1
3 év szakmai tapasztalat,0,1,0,1
"3-5 years, 5+ years",1,0,0,1
3-5+ years,1,0,0,1
"3+ roky skúseností v oblasti DevOps, platform engineeringu alebo Linux administrácie",1,0,0,1
3+ év,0,1,0,1
2+ years working with Azure services,0,1,0,1
2 roky praxe,1,0,0,1
2 Osobnostné predpoklady a zručnosti,1,0,0,1
2+ years of corporate experience,1,0,0,1
17+ years,0,0,1,1
6-8+ years,1,0,0,1
6-7 years,0,1,0,1
5–8 years,1,0,0,1
5-7+ years,0,1,0,1
5+ years in Software Development,1,0,0,1
4-8+ years,1,0,0,1
4–8+ év szoftverfejlesztési tapasztalat,0,1,0,1
3-9 years,1,0,0,1
4 or more years,1,0,0,1
4 Počet rokov praxe,1,0,0,1
3-7 years,0,1,0,1
4+ years of technical/functional experience in solution delivery or application support,1,0,0,1
4 years of work experience in related field,1,0,0,1
5 years,1,0,0,1
2+ Jahre,1,0,0,1
1–2 év,0,1,0,1
2–5 years,1,0,0,1
2.5-5 years,1,0,0,1
2.5+ years,1,0,0,1
2-5 éves szakmai tapasztalat,0,0,1,1
"2-4 years of experience in IT with focus on monitoring, networks or servers",1,0,0,1
2-3 év tapasztalatod van műszaki szaktudást és koordinációt igénylő munkakörben,0,1,0,1
3 roky,1,0,0,1
2–5+ years,1,0,0,1
3 év tapasztalat,0,0,1,1
>10 év,0,1,0,1
8-10+ years,1,0,0,1
8 – 12 years,0,1,0,1
>10 év tapasztalat (>10 years of experience),0,1,0,1
7-8+ years of experience in software development,0,1,0,1
"7-8+ years of experience in software development, with a strong preference for significant full-stack web application development experience",0,1,0,1
7+ év,0,1,0,1
Mehrjährige Erfahrung,0,0,1,1
Extensive experience in network architecture and operations,1,0,0,1
Hasonló területen szerzett tapasztalat (min. 3 év tapasztalat),0,0,1,1
Junior,1,0,0,1
At least 2 years,1,0,0,1
Entry-level or early-career,1,0,0,1
Experienced,1,0,0,1
Experienced Professional,1,0,0,1
A few years,0,0,1,1
Advanced experience,1,0,0,1
7-8+ years,1,0,0,1
7-8 years,1,0,0,1
Mehrjährige Erfahrung im ERP-Umfeld erforderlich,0,0,1,1
Mehrjährige Führungserfahrung (Several years of leadership experience),0,0,1,1
Mehrjährige praktische Erfahrung,0,0,1,1
"Min. 1 év hasonló munkakörben szerzett, releváns munkatapasztalat",0,1,0,1
Proven experience as a DevOps or SW engineer Lead role,1,0,0,1
Minimálne 3–5 rokov skúseností v UX/UI dizajne,1,0,0,1
Minimálne ročnými skúsenosťami,1,0,0,1
More than 3 years,0,0,1,1
Min. 2 years,1,0,0,1
Min. 2–3 roky praxe v oblasti sieťových technológií alebo IT infraštruktúry,1,0,0,1
Minimum of 2 years,1,0,0,1
Minimálne 3 roky v administrácii dátových skladov,1,0,0,1
Several years of experience in software development,1,0,0,1
Pályakezdő/friss diplomás (0-1 years),0,1,0,1
Several years of industrial experience,0,1,0,1
Several years of hands-on software development experience,1,0,0,1
Strong experience in Solution Architecture or Domain Architecture,1,0,0,1
Student,1,0,0,1
legalább 1 év szakmai gyakorlat,0,0,1,1
minimálne 3 roky praxe,1,0,0,1
