Language,Profesia,Profession,CVOnline,Total
English,4357,1630,329,6316
German,331,422,79,832
Slovak,589,0,0,589
Language,226,134,64,424
Level,189,89,32,310
CEFR Level,37,42,28,107
Hungarian,12,62,10,84
French,6,28,3,37
Czech,35,1,0,36
language,8,18,4,30
level,8,18,4,30
Anglický jazyk - Stredne pokročilý (B2),26,0,0,26
Deutsch,3,0,21,24
Slovenský jazyk - Expert (C2),22,0,0,22
Német középfok,0,20,0,20
Slovenský jazyk - Pokročilý (C1),20,0,0,20
Anglický jazyk - Mierne pokročilý (B1),18,0,0,18
Russian,9,4,0,13
Nemecký jazyk - Stredne pokročilý (B2),13,0,0,13
Ukrainian,9,2,0,11
Dutch,1,2,8,11
Italian,1,10,0,11
Magyar,0,8,2,10
Angol középfok,0,9,0,9
Polish,6,3,0,9
Spanish,2,6,0,8
Python,5,0,2,7
Német,0,4,2,6
Czech/Slovak,4,0,0,4
Swedish,4,0,0,4
Slovenský jazyk - Stredne pokročilý (B2),4,0,0,4
Nemecký jazyk - Pokročilý (C1),4,0,0,4
TypeScript,4,0,0,4
Anglický jazyk - Pokročilý (C1),4,0,0,4
Business English,0,4,0,4
Chinese,1,2,0,3
Active Slovak (C1),3,0,0,3
Nemecký jazyk - Mierne pokročilý (B1),3,0,0,3
Slovenčina,3,0,0,3
JavaScript,2,0,1,3
Angol,0,0,3,3
English (B1),3,0,0,3
English - Proficiency Level C1,3,0,0,3
Danish,3,0,0,3
Englisch,0,0,3,3
Portuguese,1,0,1,2
SQL,1,0,1,2
Český jazyk - Expert (C2),2,0,0,2
Microsoft Windows,2,0,0,2
Magyar nyelv - Középszint (B2),2,0,0,2
Magyar anyanyelvi szint,0,2,0,2
Deutsch (Wort und Schrift),0,0,2,2
Anglický jazyk - Středně pokročilý (B2),2,0,0,2
English (B2),0,2,0,2
Angol nyelv - Alapszint (A2),2,0,0,2
English (Wort und Schrift),0,0,2,2
PHP,2,0,0,2
Java,2,0,0,2
Holland,0,2,0,2
Dánsky jazyk - Pokročilý (C1),1,0,0,1
Deutsche Sprache - Obere Mittelstufe (B2),1,0,0,1
Angol felsőfok,0,1,0,1
Angličtina,1,0,0,1
Anglický jazyk B2,1,0,0,1
Administrácia LAN/WAN,1,0,0,1
AJ - min. B2,1,0,0,1
.NET,0,0,1,1
Arabský jazyk - Stredne pokročilý (B2),1,0,0,1
Angol nyelv - Középszint (B2),1,0,0,1
English - Advanced (C1),1,0,0,1
English (written and spoken),0,1,0,1
Englisch von Vorteil,1,0,0,1
Dánčina,1,0,0,1
Lengyel középfok,0,1,0,1
Magyar nyelv,1,0,0,1
Magyar nyelv - Haladó (C1),1,0,0,1
Mandarin,1,0,0,1
German (B2),0,1,0,1
GitHub,1,0,0,1
F#,1,0,0,1
English or German on a communicative level,1,0,0,1
KUKA robotics,1,0,0,1
Klient/server administrácia,1,0,0,1
Kotlin,1,0,0,1
Laravel (PHP framework),1,0,0,1
Maďarský jazyk - Stredne pokročilý (B2),1,0,0,1
Maďarský jazyk,1,0,0,1
Maďarčina,1,0,0,1
Slovak/Czech,1,0,0,1
Other European language,1,0,0,1
Német felsőfok,0,1,0,1
Plosh,0,0,1,1
PySpark,1,0,0,1
Taliansky jazyk - Stredne pokročilý (B2),1,0,0,1
Tailwind CSS,1,0,0,1
Szlovák nyelv,1,0,0,1
Spanish or Portuguese,1,0,0,1
angol,0,0,1,1
Vue.js,1,0,0,1
Český jazyk - Pokročilý (C1),1,0,0,1
Švédština,1,0,0,1
