Job Type,Profesia,Profession,CVOnline,Total
Teljes munkaidő,5633,1871,394,7898
Nincs megadva,17,2,114,133
Határozott idejű,86,19,1,106
Részmunkaidő,44,13,10,67
Internship,25,16,6,47
Teljes munkaidő (Full-time),0,43,0,43
Teljes vagy részmunkaidő,25,2,0,27
Teljes munkaidő Alkalmazotti jogviszony,0,21,0,21
Diákmunka,0,21,0,21
"Vollzeit, unbefristet",0,15,0,15
Alkalmazotti jogviszony,0,9,0,9
Unlimited,0,9,0,9
"Part-Time, or Vollzeit, unbefristet",0,6,0,6
Regular Full Time,0,6,0,6
Temporary jobs,5,0,0,5
Temporary,2,3,0,5
Intern,4,1,0,5
Part Time or Regular Full Time,0,5,0,5
Permanent,1,3,0,4
Long-term part-time job,3,0,0,3
Részmunkaidő (Diákmunka),0,3,0,3
Részmunkaidő (Part-time),0,3,0,3
"Full-time, unbefristet",0,3,0,3
Határozatlan idejű,0,2,1,3
Diákmunka (Student job),0,3,0,3
Alkalmazotti jogviszony (Employment contract),0,3,0,3
Freelance,3,0,0,3
"Full-time, agreement-based (Temporary jobs)",2,0,0,2
Contractor,2,0,0,2
Apprenticeship (Lehrling),0,0,2,2
Freelancer / Contractor,2,0,0,2
Határozatlan idejű alkalmazotti jogviszony,0,2,0,2
Határozatlan idejű munkaviszony,0,2,0,2
Temporary employment,0,2,0,2
Lehrstelle,0,0,2,2
"Full-time, Temporary jobs",2,0,0,2
Fixed-term,0,2,0,2
Dlhodobý projekt,2,0,0,2
"Internship, stáž",2,0,0,2
Long-term part-time job during studies,2,0,0,2
"Internship, Stáž",2,0,0,2
Internship - Part-Time,2,0,0,2
Lehre,0,0,2,2
Teljes munkaidő alkalmazotti jogviszony,0,2,0,2
"plný úväzok, živnosť",2,0,0,2
Trainee,2,0,0,2
Hosszútávon tervezünk (Full-time),0,1,0,1
Hosszú távú diákmunka-lehetőség,0,0,1,1
"Határozott idejű szerződés, teljes munkaidős foglalkoztatás",0,0,1,1
Határozott idejű (Fixed-term),0,1,0,1
Határozatlan idejű munkalehetőség,0,1,0,1
"Fixed-term, 42 months",0,1,0,1
Full Time,0,1,0,1
Full time,0,1,0,1
Contractor basis (freelance or company-to-company),1,0,0,1
Diákmunka (Részmunkaidő),0,1,0,1
Fixed term/project backfill for about 2 years,1,0,0,1
Contract-based,1,0,0,1
Alkalmazotti jogviszony (employee contract),0,1,0,1
Governmental employment,0,1,0,1
Gyakornoki jogviszony,0,1,0,1
Határozatlan idejű (Indefinite term contract),0,0,1,1
"Full-time, Contract type",1,0,0,1
Diákmunka (student job),0,1,0,1
Diákmunka (part-time),0,1,0,1
Fixed-term until 31 March 2028,0,1,0,1
"Fixed-term, part-time",0,1,0,1
Internship/Student job,0,0,1,1
Internship position (6 months),0,1,0,1
Intern/Working Student (m/f/d),0,1,0,1
Research Associate,0,1,0,1
PhD Position – Representation and Active Learning for Multi-Scale Scientific Imaging,0,1,0,1
"Permanent, full-time position",0,1,0,1
"Part-time, internship",1,0,0,1
"Part-time, Internship",1,0,0,1
"Part-time, agreement-based (Temporary jobs)",1,0,0,1
"Part-Time, or Vollzeit",0,1,0,1
"Part-time, Contract",1,0,0,1
Long-term part-time,1,0,0,1
Internship (mandatory),0,1,0,1
Intern (Part-time),1,0,0,1
"Internship, part-time",1,0,0,1
Internship/Probation,0,1,0,1
"Internship, work experience",1,0,0,1
Kontrakt,1,0,0,1
Részmunkaidő (2 hétköznap esténként vagy hetente egyszer),0,1,0,1
Teljes munkaidő Alkalmazotti jogviszony Általános munkarend,0,1,0,1
Teljes munkaidő (full-time),0,1,0,1
Szakmai gyakorlat,0,1,0,1
Student job,0,0,1,1
Részmunkaidő (Alkalmazotti jogviszony),0,1,0,1
Részmunkaidő (part-time),0,1,0,1
Senior Agentic AI Engineer (f/m/x),0,1,0,1
Student Job,1,0,0,1
Vollzeit,0,1,0,1
"Temporary jobs, internship, work experience",1,0,0,1
Vállalkozói,0,1,0,1
Vollzeit-Perspektive (langfristig),0,0,1,1
Vállalkozói Alkalmazotti jogviszony,0,1,0,1
Working Student,0,1,0,1
diákmunka,0,0,1,1
"na dohodu (brigády), živnosť",1,0,0,1
