Language Requirement,Profesia,Profession,CVOnline,Total
English: B2,2886,1404,239,4529
English: C1,578,108,9,695
English: B1,576,20,14,610
German: B2,166,247,18,431
Language: English,125,75,49,249
Slovak: C1,190,0,0,190
Slovak: C2,164,0,0,164
English,63,31,37,131
Level: B2,38,65,20,123
German: C1,33,67,9,109
Slovak: B2,92,0,0,92
German,23,54,8,85
Language: German,10,41,6,57
English: Fluent,32,20,4,56
Language: Slovak,54,0,0,54
CEFR Level: B2,11,26,16,53
Slovak: Expert (C2),49,0,0,49
German: B1,41,5,1,47
English: A2,42,0,0,42
Level: C1,36,1,0,37
English: B2+,31,5,0,36
Level: Expert (C2),33,0,0,33
Level: B1,29,0,0,29
Slovak,28,0,0,28
Anglický jazyk - Stredne pokročilý (B2),26,0,0,26
German: native,0,1,24,25
Hungarian: B2,4,18,2,24
English: A1,11,8,4,23
language: English,7,12,4,23
German: unknown,17,2,3,22
Slovenský jazyk - Expert (C2),22,0,0,22
Slovenský jazyk - Pokročilý (C1),20,0,0,20
Hungarian,1,17,2,20
Német középfok,0,20,0,20
Level: Intermediate (B2),19,0,0,19
French: B2,3,15,1,19
Hungarian: C1,1,16,1,18
English: Intermediate (B2),18,0,0,18
Anglický jazyk - Mierne pokročilý (B1),18,0,0,18
Slovenský jazyk: Expert (C2),17,0,0,17
level: B2,3,10,4,17
CEFR Level: None,4,7,5,16
English: fluent,9,6,0,15
Czech: C1,14,0,0,14
Level: None,4,5,5,14
Hungarian: Native,0,11,3,14
Language: Hungarian,4,4,6,14
Nemecký jazyk - Stredne pokročilý (B2),13,0,0,13
CEFR Level: B1,13,0,0,13
German: Fluent,3,7,2,12
German: Native,0,7,5,12
English: C2,11,1,0,12
Language: Anglický jazyk,11,0,0,11
Deutsch: B2,1,0,9,10
Language: Slovenský jazyk,9,0,0,9
Dutch: C1,0,1,8,9
English: B1-B2,7,2,0,9
English: Intermediate (B1),9,0,0,9
Angol középfok,0,9,0,9
English: Advanced,6,0,2,8
Slovenský jazyk: C1,8,0,0,8
Russian: C1,8,0,0,8
Level: CEFR B2,1,6,0,7
Deutsch,0,0,7,7
Language: Magyar,2,5,0,7
English: None,4,1,2,7
CEFR Level: C1,5,2,0,7
English: B2-C1,5,0,2,7
German: A1,2,5,0,7
CEFR Level: B,0,4,3,7
Anglický jazyk: Stredne pokročilý (B2),6,0,0,6
Slovak: Fluent,6,0,0,6
Ukrainian: C1,6,0,0,6
English: Business fluent,5,1,0,6
Slovak: B1,6,0,0,6
Python,4,0,2,6
Anglický jazyk: Mierne pokročilý (B1),6,0,0,6
Polish: C1,5,1,0,6
Magyar,0,4,2,6
Level: C2,6,0,0,6
English: CEFR level not specified,0,1,5,6
German: None,1,1,4,6
Level: A2,5,0,0,5
Spanish: B2,1,4,0,5
Level: felsőfok,0,5,0,5
German: Advantage,5,0,0,5
Italian: B2,0,5,0,5
English: Proficient,2,1,2,5
Czech: B2,5,0,0,5
German: B2+,3,2,0,5
language: German,0,5,0,5
French: C1,0,5,0,5
Slovak: native,5,0,0,5
English: Advanced (C1),5,0,0,5
Level: Advanced (C1),5,0,0,5
Business English,0,4,0,4
Nemecký jazyk - Pokročilý (C1),4,0,0,4
Slovenský jazyk: C2,4,0,0,4
Slovenský jazyk - Stredne pokročilý (B2),4,0,0,4
Magyar: B2,0,4,0,4
