Location,Profesia,Profession,CVOnline,Total
Bratislava,3462,0,0,3462
Budapest,2,880,109,991
Košice,682,0,0,682
Nincs megadva,39,115,193,347
Žilina,306,0,0,306
Remote,289,0,0,289
Németország,0,212,1,213
Germany,2,97,1,100
Banská Bystrica,96,0,0,96
Trenčín,54,0,0,54
Nitra,54,0,0,54
Hungary,0,8,45,53
Trnava,52,0,0,52
Berlin,0,44,0,44
Prague,42,0,0,42
Magyarországon belül bárhonnan,0,36,0,36
Debrecen,0,15,16,31
Zvolen,28,0,0,28
Munich,0,28,0,28
Szeged,0,24,2,26
Prešov,23,0,0,23
Svájc,0,22,1,23
Remote work,21,0,0,21
Poprad,20,0,0,20
Dubnica nad Váhom,20,0,0,20
Wien,1,1,18,20
Hamburg,0,18,0,18
Székesfehérvár,0,15,2,17
Slovensko,17,0,0,17
Slovakia,17,0,0,17
Vienna,14,0,3,17
HÖCHST,0,0,16,16
Zürich,1,15,0,16
Budaörs,0,9,6,15
Považská Bystrica,15,0,0,15
Liptovský Mikuláš,15,0,0,15
Senica,14,0,0,14
"Walldorf, Berlin, Eschborn, Gerlingen, Hamburg, Garchingen (near Munich), Dresden, Ratingen, Hannover",0,14,0,14
Kechnec,13,0,0,13
Zurich,0,12,0,12
Kennelbach,0,0,12,12
"Bratislava, Žilina, Martin, Banská Bystrica",12,0,0,12
Magyarország,0,11,1,12
Pécs,0,9,3,12
Nové Mesto nad Váhom,11,0,0,11
Győr,0,9,2,11
Michalovce,11,0,0,11
"Vienna, Linz, Graz, Berlin, Regensburg",0,11,0,11
Bochum,0,11,0,11
Brno,10,0,0,10
Kecskemét,0,7,3,10
Práce z domu,10,0,0,10
Piešťany,9,0,0,9
Žarnovica,9,0,0,9
Sereď,9,0,0,9
Oberopfingen,0,9,0,9
Miskolc,0,4,5,9
Kysucké Nové Mesto,9,0,0,9
Mladá Boleslav,9,0,0,9
Horná Streda,9,0,0,9
Rotkreuz,0,8,0,8
"Bratislava, Košice",8,0,0,8
Switzerland,0,8,0,8
Nové Zámky,8,0,0,8
Komárom,0,6,2,8
Martin,8,0,0,8
Kalná nad Hronom,8,0,0,8
Garching or Walldorf,0,8,0,8
Malacky,8,0,0,8
Basel,0,7,0,7
Kolárovo,7,0,0,7
Hlohovec,7,0,0,7
München (Germany),0,7,0,7
Düsseldorf,0,7,0,7
Budapest XI. kerület,0,7,0,7
Garching bei München,0,6,0,6
Hajdú-Bihar megye,0,2,4,6
Karlsruhe,0,6,0,6
Dolný Kubín,6,0,0,6
Prievidza,6,0,0,6
Feldkirch,0,0,6,6
Liptovský Hrádok,6,0,0,6
Cologne,0,6,0,6
Lugera & Maklér spol.s r.o.,6,0,0,6
Nová Dubnica,6,0,0,6
"Vienna, Linz, Graz, Berlin",0,6,0,6
Donauwörth,0,6,0,6
Lozorno,6,0,0,6
Winterthur,0,5,0,5
Bad Honnef,0,5,0,5
Hibrid,0,5,0,5
Home-Office,5,0,0,5
Gbeľany,5,0,0,5
Zlaté Piesky,5,0,0,5
Humenné,5,0,0,5
Komárno,5,0,0,5
City not specified,0,0,5,5
Országos lefedettség,0,5,0,5
Frankfurt,0,5,0,5
Dunakeszi,0,5,0,5
Slovak Republic,5,0,0,5
Geneva,0,5,0,5
Lučenec,5,0,0,5
Svätý Jur,5,0,0,5
Sweden,0,0,5,5
Senec,5,0,0,5
MEE,0,4,0,4
Manching,0,4,0,4
Urdorf,0,4,0,4
"Verl, Baden-Baden or Berlin",0,4,0,4
Šamorín,4,0,0,4
Skalica,4,0,0,4
Stuttgart,0,4,0,4
Modřice,4,0,0,4
Siófok,0,1,3,4
Bonaduz,0,4,0,4
Krušovce,4,0,0,4
Gerlingen-Schillerhöhe,0,4,0,4
Dunajská Streda,4,0,0,4
"Košice, Bratislava, Prague",4,0,0,4
Immenstaad am Bodensee,0,4,0,4
"Bad Honnef, Berlin",0,4,0,4
Púchov,4,0,0,4
Očová,4,0,0,4
Chorvátsky Grob,4,0,0,4
Chiasso,0,4,0,4
Europe,0,0,4,4
"Bratislavský kraj, Žilinský kraj",4,0,0,4
"Budapest, Szeged",0,3,0,3
Budapest XI.,0,3,0,3
Budapest XIII.,0,3,0,3
Valaliky,3,0,0,3
Veľké Úľany,3,0,0,3
Veszprém,0,3,0,3
Bratislava or Košice,3,0,0,3
Österreich,0,0,3,3
Üllő,0,2,1,3
"Žilina, Bratislava",3,0,0,3
Remscheid near Düsseldorf,0,3,0,3
"Slovensko, Česko",3,0,0,3
Thônex,0,3,0,3
Bratislava / Brno,3,0,0,3
Spišská Nová Ves,3,0,0,3
Tatabánya,0,1,2,3
Záborské,3,0,0,3
Walldorf,0,3,0,3
Závažná Poruba,3,0,0,3
"Bratislava, Žilina, Košice",3,0,0,3
Bratislava/Košice,3,0,0,3
Prešovský kraj,3,0,0,3
Nyíregyháza,0,3,0,3
Einbeck,0,3,0,3
Eppelheim,0,3,0,3
Essen,0,3,0,3
Ettlingen,0,3,0,3
Manuvia,3,0,0,3
Malý Krtíš,3,0,0,3
Nitriansky kraj,3,0,0,3
"Bratislavský kraj, Trnavský kraj",3,0,0,3
Potvorice,3,0,0,3
Prilly,0,3,0,3
"Bratislavský kraj, Slovensko",3,0,0,3
Podbrezová,3,0,0,3
Cheb,3,0,0,3
Pezinok,3,0,0,3
"Okres Mladá Boleslav, Česká republika",3,0,0,3
"Klaus, Austria",0,0,3,3
Fót,0,3,0,3
"Feldkirch, Innsbruck",0,0,3,3
Dresden,0,3,0,3
Lednické Rovne,3,0,0,3
Levice,3,0,0,3
Krupina,3,0,0,3
"Košice, Michalovce",3,0,0,3
Kiskunhalas,0,0,3,3
Hettlingen,0,3,0,3
Ilava,3,0,0,3
Innsbruck,0,3,0,3
Ivanka pri Dunaji,3,0,0,3
Wiesbaden,0,3,0,3
Zlaté Moravce,3,0,0,3
XI. kerületi Infopark,0,0,3,3
Bardejov,3,0,0,3
Hanover,0,2,0,2
Veľké Zálužie,2,0,0,2
Göttingen,0,2,0,2
"Germany, Romania or Bulgaria",0,2,0,2
Amstetten,0,0,2,2
Lausanne,0,2,0,2
Yverdon-les-Bains,0,2,0,2
České Budějovice,2,0,0,2
Aarburg,0,2,0,2
Lausanne or Zurich,0,2,0,2
Nitra region,2,0,0,2
Pfäffikon,0,2,0,2
Erlangen,0,2,0,2
100% Full Remote,2,0,0,2
Zohor,2,0,0,2
Zsámbék,0,2,0,2
Zug,0,2,0,2
Davos,0,2,0,2
Magyarországon belül,0,2,0,2
Érd,0,2,0,2
Mannheim,0,2,0,2
New York City,1,0,1,2
Marianka,2,0,0,2
Nižná,2,0,0,2
Deutschland,0,0,2,2
Walldorf or Barcelona,0,2,0,2
"Ettlingen, Porto, Warsaw",0,2,0,2
Bérezés,0,0,2,2
Karlsruhe area,0,2,0,2
"Kechnec, Slovakia",2,0,0,2
