Programming Language,Profesia,Profession,CVOnline,Total
Python,828,451,39,1318
Java,572,243,29,844
JavaScript,393,164,30,587
SQL,257,211,24,492
C#,273,80,35,388
TypeScript,248,63,8,319
C++,119,138,18,275
Angular,154,52,7,213
React,143,67,3,213
HTML,125,63,10,198
.NET,142,27,13,182
PHP,116,54,4,174
CSS,107,57,10,174
Node.js,95,56,4,155
C,42,96,5,143
Bash,121,17,0,138
Spring Boot,105,22,3,130
Linux,74,19,16,109
Go,48,36,0,84
ABAP,40,37,7,84
Kotlin,47,32,0,79
PowerShell,49,19,9,77
Docker,45,18,7,70
R,36,25,1,62
Spring,39,18,2,59
Power BI,26,23,9,58
C/C++,31,18,2,51
Kubernetes,39,7,4,50
GIT,14,35,0,49
Laravel,38,10,0,48
REST,15,29,2,46
ASP.NET Core,37,1,4,42
Vue.js,31,10,1,42
PySpark,37,4,0,41
PL/SQL,29,11,0,40
Rust,15,21,4,40
Terraform,28,4,7,39
.NET Core,28,9,1,38
LINUX,0,38,0,38
PostgreSQL,22,16,0,38
Ansible,29,3,4,36
FastAPI,33,0,0,33
Excel,20,7,1,28
AWS,4,23,1,28
DOCKER,0,26,0,26
Selenium,17,8,1,26
React Native,22,4,0,26
VBA,13,11,1,25
JavaScript/TypeScript,19,5,1,25
Swift,12,12,1,25
Cypress,20,4,0,24
Next.js,19,4,0,23
Playwright,18,4,0,22
JIRA,0,22,0,22
Vue,10,10,1,21
Oracle,13,6,2,21
MySQL,16,5,0,21
Perl,12,8,1,21
API,3,18,0,21
DEVOPS,0,21,0,21
SAP,4,13,3,20
Maven,16,4,0,20
POSTGRESQL,2,18,0,20
Shell,19,0,1,20
Symfony,12,7,0,19
BASH,0,19,0,19
Windows,12,1,6,19
ASP.NET,15,4,0,19
AGILIS,0,19,0,19
Level: Advanced,19,0,0,19
XML,12,7,0,19
Bootstrap,13,5,0,18
JSON,11,7,0,18
Git,8,8,2,18
ANGULAR,0,17,0,17
CLOUD,0,17,0,17
BACKEND,0,17,0,17
SAP ABAP,4,9,3,16
REACT,3,13,0,16
ORACLE,1,14,0,15
Scala,13,2,0,15
.Net,7,2,6,15
Ruby,10,5,0,15
PyTorch,9,6,0,15
ReactJS,14,1,0,15
FRONTEND,0,14,0,14
DAX,6,7,1,14
Pandas,10,4,0,14
Azure DevOps,9,5,0,14
ANDROID,0,14,0,14
SCRUM,0,13,0,13
SECURITY,0,13,0,13
TensorFlow,7,6,0,13
JENKINS,0,13,0,13
AGILE,0,13,0,13
Django,10,2,0,12
Objective-C,10,2,0,12
AngularJS,11,1,0,12
Quarkus,11,1,0,12
Android,9,3,0,12
AZURE,0,12,0,12
Python: Advanced,11,1,0,12
React.js,10,2,0,12
Level: Pokročilý,12,0,0,12
Hibernate,9,3,0,12
UNIX,1,10,0,11
MS SQL,4,4,3,11
CONFLUENCE,0,11,0,11
Power Automate,1,3,7,11
Flutter,8,3,0,11
iOS,4,7,0,11
Azure,4,6,1,11
Golang,11,0,0,11
TCP/IP,10,0,0,10
PyTorch/TensorFlow,10,0,0,10
MYSQL,0,10,0,10
SCSS,8,2,0,10
HTML/CSS,9,1,0,10
Apex,1,5,4,10
SQL Server,7,3,0,10
.NET (C#),5,1,4,10
WordPress,8,2,0,10
Flask,10,0,0,10
ACCESS,0,9,0,9
WINDOWS,0,9,0,9
MONGODB,0,9,0,9
Ruby on Rails,9,0,0,9
Kafka,9,0,0,9
Red Hat,8,1,0,9
MSSQL,3,6,0,9
Java: Advanced,9,0,0,9
UML,5,4,0,9
Spring Framework,7,2,0,9
SPRING,0,9,0,9
Oracle PL/SQL,8,1,0,9
Sass,8,1,0,9
VUE,1,8,0,9
POWER BI,0,9,0,9
Entity Framework,4,3,1,8
Entity Framework Core,6,2,0,8
Cucumber,5,3,0,8
Celery,8,0,0,8
REST API,6,2,0,8
MongoDB,7,1,0,8
SAP R/3,8,0,0,8
GraphQL,7,1,0,8
PLSQL,0,6,2,8
ASP.NET MVC,8,0,0,8
NoSQL,5,3,0,8
MySQL/MariaDB,8,0,0,8
Argo,8,0,0,8
BI,1,7,0,8
PowerBI,6,1,1,8
T-SQL,6,1,1,8
.NET Core 6+,8,0,0,8
Redux,7,1,0,8
MATLAB,2,6,0,8
Jira,6,0,2,8
MS Office,2,4,2,8
pydantic,7,0,0,7
Matlab,1,6,0,7
Tensorflow,7,0,0,7
C#/.NET,3,4,0,7
Groovy,5,2,0,7
Springboot,5,2,0,7
Apache Kafka,6,1,0,7
Camunda,7,0,0,7
.NET Framework,7,0,0,7
LabVIEW,5,0,2,7
.NET/C#,5,2,0,7
JPA,7,0,0,7
NOSQL,0,7,0,7
LARAVEL,0,7,0,7
Confluence,4,1,2,7
SOAP,5,2,0,7
NumPy,5,2,0,7
IOS,0,7,0,7
Figma,2,5,0,7
MS Excel,4,0,2,6
Salesforce,0,3,3,6
TESTING,0,6,0,6
Scikit-learn,6,0,0,6
SKTime,6,0,0,6
MVC,1,5,0,6
Language: Java,6,0,0,6
Language: JavaScript,6,0,0,6
Salt,6,0,0,6
Azure platform,6,0,0,6
Spring Boot 3,6,0,0,6
Oracle SQL,4,2,0,6
JMeter,4,2,0,6
Nixtla,6,0,0,6
UI5,4,2,0,6
UiPath,4,2,0,6
Snowflake,1,5,0,6
SpringBoot,4,2,0,6
Spring/SpringBoot,6,0,0,6
POSTMAN,0,6,0,6
Power Query,4,1,1,6
SystemVerilog,0,6,0,6
Rest APIs,6,0,0,6
WebApi,6,0,0,6
Angular 2+,5,1,0,6
UNIX/Linux,6,0,0,6
SAP S/4 HANA,4,2,0,6
Microsoft Power BI,6,0,0,6
Microsoft Excel,6,0,0,6
Express.js,6,0,0,6
MAVEN,0,5,0,5
MACHINE LEARNING,0,5,0,5
Word,0,2,3,5
Java/Spring,1,4,0,5
KOTLIN,0,5,0,5
REST APIs,2,3,0,5
Prefect,2,3,0,5
Helm,5,0,0,5
Power Platform,3,1,1,5
PowerPoint,0,2,3,5
C+,5,0,0,5
Tableau,1,4,0,5
Postman,4,1,0,5
Power Apps,1,1,3,5
SVN,0,5,0,5
Eclipse Spring,5,0,0,5
SoapUI,5,0,0,5
Windows Server,2,1,2,5
J2EE,3,2,0,5
Spring Boot: Advanced,5,0,0,5
TensorFlow/PyTorch,5,0,0,5
Apache Spark,4,1,0,5
Linux OS,3,2,0,5
Rest API,5,0,0,5
ANSIBLE,0,5,0,5
Web API,4,1,0,5
Angular/React,3,2,0,5
Java 17+,4,1,0,5
Microsoft Windows,5,0,0,5
JavaScript (ES6+),4,1,0,5
DevOps,4,1,0,5
SELENIUM,0,5,0,5
GoLang,4,1,0,5
jQuery,5,0,0,5
Delphi,3,2,0,5
Robot Framework,4,1,0,5
Jenkins,2,1,2,5
pandas,2,2,0,4
scikit-learn,3,1,0,4
HTML 5,3,1,0,4
Podman,4,0,0,4
PHP 8+,4,0,0,4
Lua,4,0,0,4
LangChain,4,0,0,4
MLFlow,4,0,0,4
EF Core,4,0,0,4
Cypress: Advanced,4,0,0,4
.Net Blazor,0,0,4,4
DEBUGGING,0,4,0,4
