Tool / Technology,Profesia,Profession,CVOnline,Total
Git,391,190,14,595
Docker,466,78,14,558
Jira,328,147,19,494
Kubernetes,341,43,16,400
AWS,169,185,8,362
Microsoft Office,239,73,45,357
Microsoft Excel,242,73,19,334
Azure,172,135,14,321
SQL,194,107,7,308
PostgreSQL,198,68,9,275
Power BI,171,72,22,265
Terraform,156,37,12,205
Confluence,138,46,14,198
Jenkins,159,32,4,195
REST API,113,64,6,183
Azure DevOps,119,36,15,170
GitLab,142,21,4,167
Linux,93,54,10,157
SAP,65,78,4,147
Grafana,114,17,6,137
Microsoft Word,98,20,5,123
Ansible,101,18,4,123
Kafka,98,8,14,120
MS SQL,86,22,8,116
Prometheus,92,11,3,106
CLOUD,0,94,0,94
MySQL,58,27,2,87
Oracle,61,20,5,86
Windows,41,26,15,82
API,13,67,1,81
ServiceNow,61,18,2,81
SAP S/4HANA,39,27,14,80
AGILE,0,80,0,80
Figma,54,24,1,79
Helm,70,5,1,76
GitHub Actions,62,10,0,72
Postman,55,15,1,71
Spring Boot,61,7,1,69
GitHub,48,16,5,69
TESTING,0,69,0,69
DOCKER,0,69,0,69
Zabbix,66,1,2,69
DEVOPS,0,68,0,68
Enterprise Architect,63,4,0,67
VMware,54,2,10,66
UML,42,21,2,65
Laptop,0,65,0,65
Google Cloud,53,11,0,64
Maven,53,9,0,62
Redis,51,8,3,62
Databricks,50,11,0,61
Playwright,49,8,3,60
Microsoft Windows,59,0,1,60
LINUX,0,59,0,59
XML,48,8,3,59
MongoDB,38,16,3,57
React,39,13,3,55
GitLab CI,52,3,0,55
CI/CD,36,15,4,55
Cypress,43,11,0,54
SCRUM,5,46,1,52
AGILIS,0,51,0,51
SECURITY,0,51,0,51
PYTHON,0,51,0,51
Selenium,38,11,1,50
JSON,38,11,0,49
ERP,1,41,6,48
ACCESS,0,46,0,46
Elasticsearch,42,3,1,46
Salesforce,27,12,7,46
PowerShell,37,2,5,44
Argo CD,39,2,2,43
Microsoft Outlook,43,0,0,43
HTML,24,18,0,42
Active Directory,38,1,3,42
Windows Server,32,1,7,40
RabbitMQ,29,8,2,39
Tableau,28,8,3,39
PowerPoint,25,10,4,39
