Work Arrangement,Profesia,Profession,CVOnline,Total
Hibrid munkavégzés,2301,928,152,3381
Távoli munkavégzés,2521,297,159,2977
Nincs megadva,785,377,138,1300
Helyszíni munkavégzés,220,82,56,358
Általános munkarend,0,132,0,132
Hibrid,0,112,0,112
Teljes munkaidő Általános munkarend,0,51,0,51
Freelance,0,18,0,18
Általános munkarend (Full-time),0,9,0,9
"Part-Time, or Vollzeit, unbefristet",0,8,0,8
Rugalmas munkaidő,0,7,0,7
Teljes munkaidő (Full-time),0,5,0,5
Diákmunka Általános munkarend,0,5,0,5
Part-time,4,1,0,5
Teljes munkaidő,0,5,0,5
Általános munkarend (General work arrangement),0,5,0,5
Flexible working hours,1,3,0,4
Gleitzeit (Flexible working hours),0,0,4,4
"Internship, Stáž",4,0,0,4
Flexible working conditions,0,1,2,3
Plný úväzok,3,0,0,3
Rugalmas munkarend,0,3,0,3
Teljes munkaidő Alkalmazotti jogviszony,0,3,0,3
"Flexible, prispôsobený štúdiu",3,0,0,3
Živnosť/Dohoda,2,0,0,2
plný úväzok,2,0,0,2
Vollzeit,0,0,2,2
Általános,0,0,2,2
"Part-Time, or Vollzeit",0,2,0,2
"Full-time, Part-time, Freelance",2,0,0,2
Part-time (20 hours/week),2,0,0,2
Multiple shifts,0,0,2,2
Full-time with occasional travel (up to 10%),2,0,0,2
Flexible working hours (arranged individually),0,2,0,2
Full-time with more than 50% travel,2,0,0,2
Flexible schedule,0,0,2,2
Flexible,0,1,1,2
"3 műszakos munkarend, vagy folyamatos 12 óra vállalása",0,0,2,2
Flexible working arrangements (time & place of work),2,0,0,2
Részmunkaidő Általános munkarend,0,2,0,2
"Plný úväzok, živnosť",2,0,0,2
Teljes munkaidő (40 óra),0,2,0,2
Teljes munkaidő Alkalmazotti jogviszony Általános munkarend,0,2,0,2
"Műszakos munkarend (3 műszak 8 óra, 5+2)",0,0,2,2
Full-time with flexible working conditions,0,2,0,2
3 műszakos munkarend,0,1,0,1
"20 hours/week, flexibly arranged around your studies",0,1,0,1
"24/7, 12-hodinové smeny (denná/nočná)",1,0,0,1
10–20 hours per week (part-time),0,1,0,1
2 műszak,0,1,0,1
2-3 műszakos munkarend,0,1,0,1
2-zmenná prevádzka (12 hodinové smeny),1,0,0,1
"Flexible work schedule with 30 hours/week, 2 days in the office per week",0,1,0,1
"Flexible hours, at least 4 hours a day",1,0,0,1
Flexible (TPP or contract),1,0,0,1
Flexible Work Model ( Berlin-based team),0,1,0,1
5 days onsite in office,1,0,0,1
Alkalmazotti jogviszony Általános munkarend,0,1,0,1
"Alkalmazotti jogviszony, Általános munkarend",0,1,0,1
Diákmunka (Student work),0,1,0,1
Full-time with possibility of occasional work from home/teleworking,1,0,0,1
"Full-time, Short-term, Half-time",1,0,0,1
Full-time with travelling,1,0,0,1
Határozatlan idejű jogviszony,0,1,0,1
"Határozatlan idejű, Teljes munkaidős",0,1,0,1
"Full-time, part-time, or on a contract basis (including internships)",1,0,0,1
"Full-time, flexible work environment",0,1,0,1
