Experience Level,Profesia,Profession,CVOnline,Total
Medior 1-5 év,3534,1348,315,5197
Senior 5-10+ év,1195,482,96,1773
Junior 0-1 év,600,193,74,867
Nincs megadva,345,53,54,452
4 years,51,0,0,51
1 year,44,0,0,44
>5 years,1,19,0,20
3-5+ years,13,2,3,18
1+ years,15,0,1,16
7 years,12,0,0,12
Unknown,8,0,1,9
6+ years,5,3,0,8
unknown,8,0,0,8
1-2 years,5,0,2,7
Several years,7,0,0,7
Pályakezdő/friss diplomás,0,6,0,6
>10 years,0,3,0,3
0-2 years,1,2,0,3
2 Number of years of experience,3,0,0,3
2–3+ years,3,0,0,3
4-6 years,2,1,0,3
4-5 years,2,1,0,3
3-7+ years,2,0,0,2
4-5+ years,2,0,0,2
Fresh graduate,2,0,0,2
<1 year,0,2,0,2
Medior,2,0,0,2
Many years,2,0,0,2
7-8 years,1,1,0,2
6 years,2,0,0,2
2–5 years,1,0,0,1
3 years,1,0,0,1
3–5 years,1,0,0,1
2 Osobnostné predpoklady a zručnosti,1,0,0,1
"1-3 years, 3-5 years, 5+ years",1,0,0,1
1-5 years,1,0,0,1
0-1 years to 5+ years,1,0,0,1
1 Number of years of experience,1,0,0,1
1-5+ years,0,1,0,1
10 years,1,0,0,1
3-6 years,1,0,0,1
3-7 years,0,1,0,1
4-8+ years,1,0,0,1
4 Number of years of experience,1,0,0,1
7-8+ years,1,0,0,1
8-10+ years,1,0,0,1
8-12+ years,0,1,0,1
6-7 years,0,1,0,1
6-8 years,0,1,0,1
6-8+ years,1,0,0,1
5-7+ years,0,1,0,1
5-8 years,1,0,0,1
5-8+ years,1,0,0,1
7-12 years,0,1,0,1
6–8 years,0,1,0,1
Junior,1,0,0,1
Senior,1,0,0,1
Nem kell tapasztalat,0,1,0,1
