Language,Profesia,Profession,CVOnline,Total
English,5251,1780,412,7443
German,320,451,168,939
Slovak,939,0,0,939
Hungarian,20,181,66,267
Czech,65,1,0,66
Slovenčina,34,0,0,34
French,5,24,3,32
Dutch,1,6,8,15
Angličtina,13,0,0,13
Russian,8,4,0,12
Italian,0,11,0,11
Ukrainian,9,2,0,11
Polish,7,3,0,10
Spanish,2,6,0,8
Slovenský jazyk - Expert (C2),5,0,0,5
Czech/Slovak,5,0,0,5
Anglický jazyk - Stredne pokročilý (B2),3,0,0,3
Slovenský jazyk - Pokročilý (C1),3,0,0,3
Danish,3,0,0,3
Anglický jazyk - Mierne pokročilý (B1),2,0,0,2
Swedish,2,0,0,2
Local language,0,2,0,2
Portuguese,1,0,1,2
Maďarčina,2,0,0,2
Slovenian,2,0,0,2
Slovak/Czech,2,0,0,2
Chinese,0,1,0,1
Arabic,1,0,0,1
Danish OR Swedish,1,0,0,1
Nemecký jazyk - Pokročilý (C1),1,0,0,1
Maďarský jazyk - Mierne pokročilý (B1),1,0,0,1
French or Italian,0,1,0,1
Slokak,1,0,0,1
Slovakian,1,0,0,1
Slouk,1,0,0,1
Slovak and/or Czech,1,0,0,1
Slovenčina - Pokročilý (C1),1,0,0,1
Slovenčina - Expert (C2),1,0,0,1
Swedish OR Danish,1,0,0,1
communicative,0,0,1,1
