Job Type,Profesia,Profession,CVOnline,Total
Teljes munkaidő,5507,1899,403,7809
Határozott idejű,241,166,66,473
Nincs megadva,24,3,68,95
Részmunkaidő,40,13,3,56
Internship,30,7,0,37
Teljes vagy részmunkaidő,21,0,0,21
Általános munkarend,0,15,0,15
Határozatlan idejű,0,1,5,6
Diákmunka,0,5,0,5
Freelancer / Contractor,2,0,0,2
Contract,2,0,0,2
"Part-time, internship, work experience",2,0,0,2
"Part-time, internship",2,0,0,2
Part-time (20 hours/week),2,0,0,2
Vállalkozói,0,2,0,2
Contract type trade licence,1,0,0,1
Contractor,0,0,1,1
Brigády,1,0,0,1
Contract type agreement-based (Temporary jobs),1,0,0,1
Freelance,1,0,0,1
Fixed-term internship,0,1,0,1
Fixed-term contract,1,0,0,1
Fixed-term,0,1,0,1
Határozatlan idejű kormányzati szolgálati jogviszony,0,1,0,1
"Határozatlan idejű, Teljes munkaidő",0,1,0,1
"Full-time, with flexible hours (including overtime)",1,0,0,1
"Full-time, freelance",1,0,0,1
"Internship, stáž",1,0,0,1
"Internship, stagiaire",1,0,0,1
"Internship, Stagiaire",1,0,0,1
Intern/Working Student,0,1,0,1
Indefinite,0,1,0,1
Intern,0,1,0,1
Határozatlan idejű. Teljes munkaidős.,0,1,0,1
Határozatlan időtartamra kötött munkaszerződés,0,1,0,1
Határozatlan idejű foglalkoztatás,0,1,0,1
Part-time (minimum 30h/week),1,0,0,1
Part-time & limited contract for 1 year,1,0,0,1
Part-time (20 hours/week on average),1,0,0,1
Part-time (28 hours/week),0,1,0,1
Professionals,0,1,0,1
Vállalkozói Részmunkaidő,0,1,0,1
Working Student,0,1,0,1
