Language Requirement,Profesia,Profession,CVOnline,Total
English: B2,2930,1317,167,4414
English: B1,676,72,11,759
English: C1,600,118,21,739
German: B2,148,208,15,371
Slovak: Native,304,0,0,304
Slovak: C2,274,0,0,274
German: C1,57,127,28,212
Slovak: C1,204,0,0,204
English,139,5,36,180
English: Fluent,88,50,38,176
Hungarian: Native,3,117,56,176
English: Upper intermediate (B2),155,0,0,155
English: unknown,140,2,8,150
English: Unknown,127,6,10,143
German: Native,6,26,101,133
Slovak: B2,82,0,0,82
English: A1,14,40,25,79
English: A2,61,9,5,75
German: B1,35,26,1,62
English: null,42,0,4,46
English: Upper Intermediate,0,45,0,45
English: Intermediate,6,27,8,41
Slovak: Expert (C2),41,0,0,41
English: Professional,11,9,20,40
Hungarian: B2,9,25,0,34
English: B2+,24,5,0,29
English: Communicative,23,3,2,28
English: Advanced,20,2,6,28
English: Very good,20,0,3,23
Czech: Native,23,0,0,23
English: C2,6,14,3,23
English: Native,6,10,7,23
Hungarian: C1,4,14,1,19
German: C2,2,6,9,17
Czech: C1,17,0,0,17
German: Native/Bilingual,4,12,0,16
English: Active,11,0,4,15
French: B2,3,12,0,15
Czech: C2,14,1,0,15
English: Not specified,13,0,0,13
English: B2-C1,8,2,3,13
English: Proficiency,12,1,0,13
German: A2,7,3,2,12
Hungarian: A1,0,12,0,12
English: Business-fluent,11,1,0,12
Slovak: B1,11,0,0,11
German: Advantage,11,0,0,11
Slovenčina: C2,10,0,0,10
English: Business Fluent,6,4,0,10
English: B1-B2,5,5,0,10
English: Advanced (C1),9,0,0,9
English: Native/Bilingual,1,3,5,9
German: null,8,0,0,8
German,3,2,3,8
Slovenčina: B2,8,0,0,8
Dutch: C1,0,0,8,8
English: Proficient,2,2,3,7
Russian: C1,7,0,0,7
German: B1-B2,1,6,0,7
Slovenčina: C1,7,0,0,7
English: B2/C1,7,0,0,7
Czech: B2,7,0,0,7
English: Upper Intermediate (B2),7,0,0,7
Ukrainian: C1,6,0,0,6
German: Business Fluent,0,6,0,6
Angličtina: B2,6,0,0,6
Hungarian,0,2,4,6
English: Proficiency (C2),6,0,0,6
English: Intermediate (B1),6,0,0,6
Polish: C1,6,0,0,6
German: Upper Intermediate,0,5,0,5
English: Good,2,0,3,5
English: Confident,1,1,3,5
French: Native,2,3,0,5
Slovenský jazyk - Expert (C2),5,0,0,5
Angličtina: B1,5,0,0,5
English: B,1,2,2,5
Hungarian: C2,2,3,0,5
Italian: B2,0,5,0,5
Slovenčina,4,0,0,4
English: communicative,0,1,3,4
German: Fluent,1,3,0,4
German: B,3,0,1,4
German: Professional,0,4,0,4
English: Business language fluency,0,0,4,4
English: Basic,4,0,0,4
French: C1,0,4,0,4
Slovak: C1+,4,0,0,4
Dutch: B2,1,3,0,4
English: Working proficiency,1,3,0,4
German: unknown,4,0,0,4
German: A1,0,3,1,4
English: Intermediate (B2),4,0,0,4
Spanish: B2,1,3,0,4
English: Native or equivalent,0,3,0,3
English: Mandatory,3,0,0,3
Hungarian: B1,1,2,0,3
Hungarian: Upper Intermediate,0,3,0,3
Slovenský jazyk - Pokročilý (C1),3,0,0,3
Slovak,3,0,0,3
English: C,3,0,0,3
Anglický jazyk - Stredne pokročilý (B2),3,0,0,3
English: C1/C2,1,2,0,3
English: Business,0,1,2,3
English: Business fluent,3,0,0,3
English: Passive,2,0,1,3
German: Intermediate (B1),3,0,0,3
Slovak: unknown,3,0,0,3
Czech/Slovak: unknown,3,0,0,3
