Location,Profesia,Profession,CVOnline,Total
Bratislava,3414,0,0,3414
Nincs megadva,573,294,296,1163
Budapest,1,851,93,945
Košice,585,0,0,585
Žilina,284,0,0,284
Germany,2,266,1,269
Banská Bystrica,95,0,0,95
Trenčín,55,0,0,55
Trnava,54,0,0,54
Nitra,54,0,0,54
Berlin,0,49,0,49
Prague,42,0,0,42
Switzerland,0,33,0,33
Debrecen,0,16,14,30
Zvolen,29,0,0,29
Munich,0,27,0,27
Szeged,0,21,2,23
Prešov,23,0,0,23
Zürich,1,20,0,21
Dubnica nad Váhom,21,0,0,21
Poprad,20,0,0,20
Vienna,14,1,2,17
Hamburg,0,17,0,17
Székesfehérvár,0,15,2,17
Slovakia,16,0,0,16
Höchst,0,0,16,16
Petržalka,16,0,0,16
Liptovský Mikuláš,16,0,0,16
Budaörs,0,9,6,15
Kechnec,15,0,0,15
Wien,1,0,14,15
"Walldorf, Berlin, Eschborn, Gerlingen, Hamburg, Garchingen (near Munich), Dresden, Ratingen, Hannover",0,14,0,14
Považská Bystrica,14,0,0,14
Senica,14,0,0,14
Kennelbach,0,0,12,12
Mladá Boleslav,12,0,0,12
Komárom,0,7,4,11
Nové Mesto nad Váhom,11,0,0,11
Kecskemét,0,7,4,11
"Vienna, Linz, Graz, Berlin, Regensburg",0,11,0,11
Brno,10,0,0,10
"Bajkalská 28, Ružinov",10,0,0,10
Pécs,0,7,3,10
Győr,0,8,2,10
Oberopfingen,0,9,0,9
Miskolc,0,4,5,9
Kysucké Nové Mesto,9,0,0,9
Piešťany,9,0,0,9
Sereď,9,0,0,9
Žarnovica,9,0,0,9
"Bratislava, Žilina, Martin, Banská Bystrica",9,0,0,9
Horná Streda,9,0,0,9
Rotkreuz,0,9,0,9
Feldkirch,0,0,8,8
"Košice, Slovakia",8,0,0,8
Mochovce,8,0,0,8
Slovensko,8,0,0,8
Zurich,0,8,0,8
Nové Zámky,8,0,0,8
Martin,8,0,0,8
Bochum,0,8,0,8
Malacky,8,0,0,8
Garching or Walldorf,0,8,0,8
Düsseldorf,0,7,0,7
Budapest XI. kerület,0,7,0,7
Hlohovec,7,0,0,7
Bad Honnef,0,7,0,7
Hibrid,0,7,0,7
München,0,7,0,7
Garching bei München,0,7,0,7
Basel,0,6,0,6
Lozorno,6,0,0,6
Frankfurt,0,6,0,6
Donauwörth,0,6,0,6
Liptovský Hrádok,6,0,0,6
Gúta,6,0,0,6
Dolný Kubín,6,0,0,6
Nová Dubnica,6,0,0,6
Remote,2,4,0,6
Prievidza,6,0,0,6
Cologne,0,6,0,6
"Vienna, Linz, Graz, Berlin",0,6,0,6
