Work Arrangement,Profesia,Profession,CVOnline,Total
Hibrid munkavégzés,3451,1097,153,4701
Távoli munkavégzés,1276,307,135,1718
Helyszíni munkavégzés,601,579,157,1337
Nincs megadva,522,58,84,664
Flexible,20,14,12,46
Teljes munkaidő,0,33,0,33
Part-time,6,6,0,12
Rugalmas munkaidő,0,10,0,10
Teljes munkaidő Általános munkarend,0,9,0,9
Brigáda / dohoda,2,0,0,2
Flexible hours,1,1,0,2
"3 műszakos munkarend, vagy folyamatos 12 óra vállalása",0,0,2,2
"Teljes munkaidő, Általános munkarend",0,2,0,2
Gleitzeit,0,0,2,2
Flexible working hours,0,2,0,2
Full-time_permanent,2,0,0,2
Flexible working style,0,2,0,2
2 műszak vállalása,0,0,1,1
Flexible hours (20–40 hours/week),0,1,0,1
2 műszak,0,1,0,1
"Flexible hours, possibility to work from home",1,0,0,1
"Flexible hours, 37.5 hour work week",1,0,0,1
"Internship (320 hours, 40 hours/week)",0,1,0,1
Multiple shifts,0,1,0,1
Part-time (20h/week),1,0,0,1
Part-time (8 hr/week),0,1,0,1
Shift-based,1,0,0,1
fulltime_permanent,1,0,0,1
