Experience Level,Profesia,Profession,CVOnline,Total
Medior 1-5 év,3551,1327,329,5207
Senior 5-10+ év,1326,464,120,1910
Junior 0-1 év,428,104,54,586
Nincs megadva,364,113,43,520
5+ rokov,41,0,0,41
1-3 év tapasztalat,0,38,0,38
3-5 rokov,35,0,0,35
Pályakezdő/friss diplomás,0,23,0,23
5-10 év tapasztalat,0,17,0,17
3-5 év tapasztalat,0,17,0,17
3 Osobnostné predpoklady a zručnosti,15,0,0,15
2 Osobnostné predpoklady a zručnosti,14,0,0,14
1 year,9,0,0,9
5-8 years,3,6,0,9
Nem kell tapasztalat,0,8,0,8
1-3 roky,7,0,0,7
3 Počet rokov praxe,6,0,0,6
"1-3 years, 5+ years",3,1,0,4
"3-5 years, 5+ years",4,0,0,4
3-5 roky,4,0,0,4
2 až 5 rokov skúseností,4,0,0,4
2 Pozícia je vhodná pre absolventa Áno,3,0,0,3
4 Osobnostné predpoklady a zručnosti,3,0,0,3
2 Osich,3,0,0,3
1 Pozícia je vhodná pre absolventa Áno,3,0,0,3
3 years,3,0,0,3
0-1 roky,2,0,0,2
1 Osobnostné predpoklady a zručnosti,2,0,0,2
Minimálne 3 roky skúseností,2,0,0,2
"5+ years, 1-3 years",2,0,0,2
3 Inzerujúca spoločnosť,2,0,0,2
3 ročná prax v IT odbore,2,0,0,2
3-7 years,2,0,0,2
3 roky skúseností,2,0,0,2
3 roky,2,0,0,2
2 Počet rokov praxe,2,0,0,2
2 roky,2,0,0,2
2 Osobnostné predpoklady a zručnosti: Počet rokov praxe 2,2,0,0,2
"1-3 years, 3-5 years",1,0,0,1
1-3 Jahre,1,0,0,1
1 rok skúseností,1,0,0,1
1 year of experience in the position/field of Application Manager,1,0,0,1
1 rok,1,0,0,1
"0-1 years, 3-5 years",1,0,0,1
1 Osťahové roky praxe: 1,1,0,0,1
1 Pozícia je vhodná pre absolventa,1,0,0,1
3-6 years,1,0,0,1
3 Iné roky,1,0,0,1
"3 Osobnostné predpoklady a zručnosti znalosť IBM DB2 a SQL; výhodou PL/SQL, Unix/Linux a skriptovanie, skúsenosť s dátovým modelovaním v bankovníctve, samostatnosť, zodpovednosť a schopnosť tímovej spolupráce.",1,0,0,1
3 Osobnostné predpoklady a zručnosti ​​​,1,0,0,1
2 Osťahových rokov praxe,1,0,0,1
"2 roky skúsenosti s prácou v banke na útvaroch alebo pozíciách ako sú controlling, business analytik, Research, Risk",1,0,0,1
2+ Jahre Erfahrung,1,0,0,1
2-5 years of experience,0,1,0,1
"2 Osobnostné predpoklady a zručnosti: TIA portál,  WinCC Advanced– pokročilý",1,0,0,1
1-5+ év tapasztalat,0,1,0,1
2 Inzerujúca spoločnosť,1,0,0,1
2 Number of years of experience,1,0,0,1
4+ rokov praxe,1,0,0,1
4-8+ years,1,0,0,1
"4 Osobnostné predpoklady a zručnosti - Znalosť agilného vývoja, Chuť pracovať, Záujem učiť sa nové technológie, Zodpovednosť za pridelené úlohy, Samostatnosť, ale zároveň aj tímovosť",1,0,0,1
3-9 rokov,1,0,0,1
5-10 years’ experience,0,1,0,1
5-10 years experience,0,1,0,1
5+ év tapasztalat,0,1,0,1
5+ rokov skúseností s backend vývojom,1,0,0,1
5+ let,1,0,0,1
5+ rokov skúseností,1,0,0,1
5 Počet rokov praxe,1,0,0,1
5 Počet rokov praxe 5,1,0,0,1
4 years,1,0,0,1
Junior,1,0,0,1
5-10 év,0,1,0,1
6 Osobnostné predpoklady a zručnosti,1,0,0,1
Medior,1,0,0,1
Min. 2 roky praxe,1,0,0,1
"Példánya nincs, de legalább középfokú angol nyelvtudás szükséges",0,1,0,1
niekoľkoročné skúsenosti,1,0,0,1
