Language,Profesia,Profession,CVOnline,Total
English,4237,1724,382,6343
German,424,559,127,1110
Slovak,637,0,0,637
Anglický jazyk - Stredne pokročilý (B2),136,0,0,136
Hungarian,17,90,22,129
English - Upper intermediate (B2),107,0,0,107
Anglický jazyk - Mierne pokročilý (B1),99,0,0,99
French,11,47,3,61
Slovenský jazyk - Expert (C2),52,0,0,52
English - Advanced (C1),44,0,0,44
Anglický jazyk - Pokročilý (C1),37,0,0,37
Slovenský jazyk - Pokročilý (C1),36,0,0,36
Czech,30,1,0,31
Nemecký jazyk - Stredne pokročilý (B2),25,0,0,25
Magyar,0,20,3,23
Italian,9,13,0,22
Deutsch,0,1,16,17
Russian,10,5,0,15
Spanish,4,9,0,13
Dutch,1,8,4,13
Ukrainian,9,3,0,12
Český jazyk - Pokročilý (C1),11,0,0,11
Anglický jazyk - Středně pokročilý (B2),11,0,0,11
Englisch,0,0,9,9
Polish,7,2,0,9
Német,0,9,0,9
Angol,0,5,3,8
Slovakian,8,0,0,8
Anglický jazyk - Úplný začiatočník (A1),8,0,0,8
Anglický jazyk - Začiatočník (A2),8,0,0,8
Český jazyk - Expert (C2),8,0,0,8
Angličtina,7,0,0,7
Slovak - Upper intermediate (B2),7,0,0,7
Nemecký jazyk - Mierne pokročilý (B1),7,0,0,7
Swedish,5,2,0,7
Slovak - Proficiency (C2),7,0,0,7
Angol középfok,0,6,0,6
Nemecký jazyk - Pokročilý (C1),6,0,0,6
Slovenský jazyk - Stredne pokročilý (B2),5,0,0,5
English - Intermediate (B1),5,0,0,5
Danish,5,0,0,5
Magyar nyelv - Haladó (C1),4,0,0,4
Slovak language - Advanced (C1),4,0,0,4
Portuguese,1,2,1,4
Magyar nyelv - Középszint (B2),4,0,0,4
Magabiztos angol nyelvtudás,0,0,4,4
Englisch B1,0,0,4,4
Anglický jazyk na úrovni B2 výhodou,4,0,0,4
Aktívna komunikácia v angličtine,4,0,0,4
Czech/Slovak,4,0,0,4
Slovak - Advanced (C1),4,0,0,4
Chinese,1,2,0,3
Deutsch B2,0,0,3,3
Angol nyelv - Középszint (B2),3,0,0,3
Slovak language - Expert (C2),3,0,0,3
Holland,0,0,3,3
Magyar anyanyelvi szint,0,3,0,3
Norwegian,0,3,0,3
Slovenčina,3,0,0,3
Magyar középfok,0,3,0,3
German - Upper intermediate (B2),3,0,0,3
English language - Intermediate (B1),3,0,0,3
Angol nyelv - Alapszint (A2),2,0,0,2
Anglický,2,0,0,2
Angličtina – na pokročilej komunikačnej úrovni (slovom aj písmom),2,0,0,2
Anglický jazyk - Mírně pokročilý (B1),2,0,0,2
'CEFR Level',0,2,0,2
Slovenský,2,0,0,2
Szlovák nyelv - Mesterfok (C2),2,0,0,2
angličtina,2,0,0,2
Nemčina je výhodou,2,0,0,2
Szlovák nyelv - Küszöbszint (B1),2,0,0,2
{'Language',0,2,0,2
both written and spoken,0,2,0,2
German language knowledge is a plus,2,0,0,2
Čeština,2,0,0,2
Znalosť angličtiny na úrovni C1,2,0,0,2
English (professional),0,2,0,2
Fluent German and English,0,2,0,2
Finnish,0,2,0,2
Local office language(s),0,2,0,2
Deutsche Sprache - Obere Mittelstufe (B2),2,0,0,2
Angol felsőfok,0,2,0,2
Anglický jazyk na úrovni B2,1,0,0,1
Active English (at least C1),1,0,0,1
Anglický jazyk - Expert (C2),1,0,0,1
Anglický jazyk na úrovni pokročilý – výhodou,1,0,0,1
Angličtina - Stredne pokročilý (B2),1,0,0,1
Angličtina (alebo nemčina) na pokročilej komunikatívnej úrovni (slovom aj písmom),1,0,0,1
ANGOL/NÉMET nyelvű önéletrajz,0,1,0,1
Driver's license B,1,0,0,1
Deutsche Sprache - Fortgeschrittene (C1),1,0,0,1
Deutsch C1,0,0,1,1
Deutsch - Pokročilý (C1),1,0,0,1
Czech language - Intermediate advanced (B2),1,0,0,1
Czech language - Advanced (C1),1,0,0,1
Deutsch - Fortgeschrittene Mittelstufe (B2),1,0,0,1
Angličtinu (alebo nemčinu) na pokročilej komunikatívnej úrovni (slovom aj písmom),1,0,0,1
Angol nyelv,0,1,0,1
Angol nyelv - Küszöbszint (B1),1,0,0,1
Another European language,1,0,0,1
Angol szakmai nyelvhasználat,0,1,0,1
Any other European language,1,0,0,1
Arabic,1,0,0,1
Basic (spoken),1,0,0,1
Bulgarian) are welcome,1,0,0,1
Angličtinu (alebo nemčinu) na pokročilej komunikatívnej úrovni (slovom aj písmem),1,0,0,1
Additional Central European language is a plus,0,1,0,1
Anglický jazyk - Základný,1,0,0,1
AJ - min. B2,1,0,0,1
AI - Mierne pokročilý,1,0,0,1
(prezentovanie v anglickom jazyku),1,0,0,1
'Slovak,1,0,0,1
German - Upper intermediate (B2) or English - Upper intermediate (B2),1,0,0,1
English - na pokročilej komunikačnej úrovni (slovom aj písmom),1,0,0,1
English - Upper intermediate (B2) and Slovak - Upper intermediate (B2),1,0,0,1
English - Mierne pokročilý (B1),1,0,0,1
English (B2),0,0,1,1
English - Advanced (C1) and Czech - Advanced (C1),1,0,0,1
Englische Sprache - Obere Mittelstufe (B2),1,0,0,1
Englische Sprache - Untere Mittelstufe (B1),1,0,0,1
Englisch von Vorteil,1,0,0,1
Min. egy idegen nyelv társalgási szintű ismerete,0,1,0,1
Nemecký jazyk - Expert (C2),1,0,0,1
Maďarský jazyk - Pokročilý (C1),1,0,0,1
Maďarský jazyk - Stredne pokročilý (B2),1,0,0,1
Maďarský jazyk - Expert (C2),1,0,0,1
Mandarin,1,0,0,1
Magyar (Társalgási szint),0,1,0,1
Magyar felsőfok 3-5 év tapasztalat,0,1,0,1
Magyar anyanyelvi szint 1-3 év,0,1,0,1
Magyar felsőfok,0,1,0,1
German language skills beneficial,1,0,0,1
German language skills are an advantage,1,0,0,1
German language is a plus,1,0,0,1
German knowledge is an advantage,0,1,0,1
Icelandic,0,1,0,1
Holland (C1),0,0,1,1
German is a plus,1,0,0,1
German proficiency desirable,1,0,0,1
German or French,0,1,0,1
English - Intermediate (B2),1,0,0,1
English - B1,1,0,0,1
English - B2 or better,1,0,0,1
English language - Moderately advanced (B1),1,0,0,1
English language - Advanced (C1),1,0,0,1
English language - Upper Intermediate (B2),1,0,0,1
English – Upper Intermediate (B2),1,0,0,1
English language - Intermediate advanced (B2),1,0,0,1
Fluent Slovak language,1,0,0,1
Fluent Slovak and/or Czech,1,0,0,1
German - Advanced (C1),1,0,0,1
German - Intermediate (B1),1,0,0,1
Nemčina,1,0,0,1
Slovak language - Advanced (C1) and English language - Intermediate advanced (B2),1,0,0,1
Slovak - communicative level,1,0,0,1
Slovak - Intermediate (B1),1,0,0,1
Plosh,0,0,1,1
Polish - Advanced (C1),1,0,0,1
Plynuľa angličtina,1,0,0,1
Romanian,1,0,0,1
Serbian,1,0,0,1
Német (Középfok 1-3 év tapasztalat),0,1,0,1
Német felsőfok,0,1,0,1
Német középfok,0,1,0,1
Német középfok 3-5 év tapasztalat,0,1,0,1
Německý jazyk - Mírně pokročilý (B1),1,0,0,1
Olász,0,1,0,1
Oslovenie anglického jazyka – stredne pokročilý (B2),1,0,0,1
Other CEE languages (Hungarian,1,0,0,1
Nemčina výhodou,1,0,0,1
Nemecký jazyk - výhodou,1,0,0,1
Nemecký jazyk na komunikatívnej úrovni,1,0,0,1
Slovenský jazyk na úrovni rodeného hovorcu (C2),1,0,0,1
Slovakian - required,1,0,0,1
Slovak or Czech at native speaker level,1,0,0,1
Slovakian or Czech,1,0,0,1
Slovakian min.a English and Hungarian,1,0,0,1
Slovenský jazyk - Mierne pokročilý (B1),1,0,0,1
komunikatívna angličtina,1,0,0,1
Vodičský preukaz B,1,0,0,1
advantageous - not a requirement,1,0,0,1
{'English,1,0,0,1
slovenský,1,0,0,1
resp. český jazyk na plynulej úrovni,1,0,0,1
Čínsky jazyk - Expert (C2),1,0,0,1
