Job Type,Profesia,Profession,CVOnline,Total
Teljes munkaidő,5552,1959,464,7975
Határozott idejű,192,43,42,277
Nincs megadva,37,30,31,98
Részmunkaidő,54,23,6,83
"Full-time, unbefristet",0,29,0,29
Freelance,0,12,0,12
Internship,10,0,0,10
Általános munkarend,0,6,0,6
"plný úväzok, skrátený úväzok",4,0,0,4
Alkalmazotti jogviszony,0,4,0,4
Teljes vagy részmunkaidő,3,1,0,4
Plný úvazek,3,0,0,3
"Skrátený úväzok, na dohodu (brigády)",3,0,0,3
"Plný úväzok, skrátený úväzok",3,0,0,3
Intern,2,0,0,2
Freelancer / Contractor,2,0,0,2
"plný úväzok, živnosť",2,0,0,2
Vollzeitbeschäftigung,2,0,0,2
Project management,0,2,0,2
Permanent,0,2,0,2
"Szakmai fejlődés, Karrierépítési lehetőség a cégnél",0,0,2,2
Plný úväzok (Full-time),2,0,0,2
"plný úväzok, skrátený úväzok, na dohodu (brigády)",2,0,0,2
"Internship, Stáž",1,0,0,1
"Internship, Stagiaire",1,0,0,1
Határozatlan idejű munkaviszony,0,1,0,1
Gyakornoki jogviszony,0,1,0,1
Diákmunka,0,1,0,1
Contract-based,1,0,0,1
Contract,0,0,1,1
Határozatlan idejű,0,1,0,1
"Full-time, permanent (100%)",0,1,0,1
"Full-time, permanent employment",0,1,0,1
Fullstack Engineer Digital Solutions,0,1,0,1
"Plný úväzok, Skrátený úväzok, Na dohodu (brigády)",1,0,0,1
"Skrátенный трудовой договор, на согласование (штатные единицы), занятость, стажировка, практика",1,0,0,1
Skrátený úväzok,1,0,0,1
Project Management,0,1,0,1
Regular Full Time,0,1,0,1
"Part-time, internship, work experience",1,0,0,1
"Part-Time, or Vollzeit, unbefristet",0,1,0,1
"Part-Time, oder Vollzeit, unbefristet",0,1,0,1
TPP (Plný úväzok),1,0,0,1
internship,1,0,0,1
Unlimited,0,1,0,1
Távmunka alapú együttműködés,0,1,0,1
Teljes munkaidős,0,1,0,1
plný úvazek,1,0,0,1
"plný úväzok, na dohodu (brigády)",1,0,0,1
Živnosť,1,0,0,1
Živnosť/ kontrakt,1,0,0,1
