Language Requirement,Profesia,Profession,CVOnline,Total
English: B2,2730,1169,256,4155
English: B1,595,216,54,865
English: C1,491,147,52,690
German: B2,162,261,18,441
German: C1,34,85,86,205
Slovak: C1,177,0,0,177
English: C2,18,135,1,154
Slovak: C2,145,0,0,145
Anglický jazyk - Stredne pokročilý (B2),136,0,0,136
Slovak: Expert (C2),116,0,0,116
English - Upper intermediate (B2),107,0,0,107
Anglický jazyk - Mierne pokročilý (B1),99,0,0,99
English: A2,47,30,3,80
Slovak: B2,78,0,0,78
German: A1,41,32,3,76
English: Advanced (C1),76,0,0,76
English: Upper intermediate (B2),72,0,0,72
German: B1,40,30,0,70
Slovenský jazyk - Expert (C2),52,0,0,52
Hungarian: Native,0,38,8,46
English - Advanced (C1),44,0,0,44
Slovak: Advanced (C1),43,0,0,43
English: B2+,39,4,0,43
Anglický jazyk - Pokročilý (C1),37,0,0,37
Slovenský jazyk - Pokročilý (C1),36,0,0,36
German: Advantage,25,8,0,33
German: C2,2,30,1,33
English: Intermediate (B2),33,0,0,33
Hungarian: C1,3,21,7,31
German: Intermediate,5,22,2,29
Nemecký jazyk - Stredne pokročilý (B2),25,0,0,25
French: B2,3,21,0,24
English: A1,3,9,11,23
German: Native,0,13,6,19
Hungarian: B2,5,11,2,18
English: Intermediate advanced (B2),17,0,0,17
German: Fluent,3,11,2,16
German: Advantageous,3,12,0,15
Hungarian: B1,3,10,0,13
English: Upper Intermediate (B2),12,0,0,12
German: A2,9,0,3,12
Anglický jazyk - Středně pokročilý (B2),11,0,0,11
Deutsch: C1,0,0,11,11
German: Upper intermediate (B2),11,0,0,11
Slovak: Proficient (C1),11,0,0,11
French: A1,2,8,1,11
Český jazyk - Pokročilý (C1),11,0,0,11
Slovak: B1,10,0,0,10
Slovak: Native,10,0,0,10
Slovak: Proficiency (C2),10,0,0,10
Italian: B2,2,7,0,9
German: Intermediate (B1),9,0,0,9
Német: B2,0,9,0,9
Czech: C1,8,0,0,8
Russian: C1,7,1,0,8
Anglický jazyk - Začiatočník (A2),8,0,0,8
German: Basic,4,4,0,8
Anglický jazyk - Úplný začiatočník (A1),8,0,0,8
Český jazyk - Expert (C2),8,0,0,8
Slovak - Proficiency (C2),7,0,0,7
Slovak - Upper intermediate (B2),7,0,0,7
German: Mittel,0,7,0,7
English: B1-B2,4,3,0,7
Spanish: B2,1,6,0,7
Nemecký jazyk - Mierne pokročilý (B1),7,0,0,7
Englisch: B2,0,0,7,7
English: Upper intermediate (B2) or Advanced (C1),6,0,0,6
Nemecký jazyk - Pokročilý (C1),6,0,0,6
Hungarian: C2,2,4,0,6
