Location,Profesia,Profession,CVOnline,Total
Bratislava,3242,1,0,3243
Nincs megadva,668,281,344,1293
Budapest,1,845,86,932
Košice,567,0,0,567
Žilina,279,0,0,279
Németország,0,155,0,155
Banská Bystrica,93,0,0,93
Berlin,0,66,0,66
Germany,0,63,0,63
"Bratislava, Slovensko",55,0,0,55
Nitra,53,0,0,53
Trenčín,53,0,0,53
Hibrid,0,52,0,52
Trnava,49,0,0,49
Munich,0,40,0,40
Hamburg,0,30,0,30
Debrecen,0,16,14,30
Zvolen,29,0,0,29
Prague,28,0,0,28
Svájc,0,27,0,27
Szeged,0,23,2,25
Prešov,22,0,0,22
Dubnica nad Váhom,21,0,0,21
Poprad,20,0,0,20
Zürich,0,17,0,17
Székesfehérvár,0,15,2,17
Liptovský Mikuláš,16,0,0,16
"Bratislava, Slovakia",15,0,0,15
Budaörs,0,8,6,14
Kechnec,14,0,0,14
Senica,14,0,0,14
"Walldorf, Berlin, Eschborn, Gerlingen, Hamburg, Garchingen (near Munich), Dresden, Ratingen, Hannover",0,14,0,14
Slovensko,14,0,0,14
Považská Bystrica,13,0,0,13
Oberopfingen,0,13,0,13
Vienna,11,1,0,12
Bochum,0,12,0,12
Petržalka,12,0,0,12
Győr,0,9,2,11
Nové Mesto nad Váhom,11,0,0,11
Kecskemét,0,7,4,11
Wien,1,1,9,11
"Bratislavský kraj, Slovensko",11,0,0,11
Karlova Ves,10,0,0,10
Budapest XI. kerület,0,10,0,10
Pécs,0,7,3,10
"Budapest, XIII. kerület",0,7,2,9
Sereď,9,0,0,9
Ružinov,9,0,0,9
Rotkreuz,0,9,0,9
Piešťany,9,0,0,9
Komárno,5,0,4,9
Horná Streda,9,0,0,9
"Petržalka, Bratislava",9,0,0,9
Žarnovica,9,0,0,9
Bad Honnef,0,9,0,9
Okres Mladá Boleslav,8,0,0,8
Kalná nad Hronom,8,0,0,8
Miskolc,0,3,5,8
Nové Zámky,8,0,0,8
Kysucké Nové Mesto,8,0,0,8
Malacky,8,0,0,8
Brno,7,0,0,7
Martin,7,0,0,7
"Studená, Bratislava",7,0,0,7
