Programming Language,Profesia,Profession,CVOnline,Total
Python,856,467,46,1369
Java,569,236,32,837
JavaScript,420,159,34,613
SQL,339,186,22,547
C#,320,103,38,461
TypeScript,267,82,9,358
C++,112,127,18,257
React,156,84,4,244
HTML,148,68,12,228
Angular,144,56,7,207
.NET,135,42,16,193
CSS,115,63,11,189
Bash,137,28,6,171
PHP,107,58,6,171
Spring Boot,119,38,5,162
Node.js,88,58,3,149
C,38,83,5,126
PowerShell,76,24,17,117
ABAP,54,47,9,110
Kotlin,62,35,1,98
Go,55,40,0,95
R,59,29,1,89
Docker,56,22,5,83
Kubernetes,48,8,7,63
PostgreSQL,42,16,0,58
Power BI,23,24,9,56
C/C++,30,20,2,52
Rust,14,28,5,47
Vue.js,25,21,1,47
Perl,33,12,1,46
JavaScript/TypeScript,30,11,1,42
Git,25,13,3,41
Spring,26,13,2,41
Java - Advanced,41,0,0,41
Laravel,24,16,0,40
.NET Core,28,11,1,40
Scala,36,3,0,39
Python - Advanced,39,0,0,39
Terraform,27,1,7,35
ASP.NET Core,28,2,4,34
Swift,19,12,2,33
PL/SQL,25,7,1,33
FastAPI,27,3,0,30
VBA,15,12,1,28
XML,21,5,0,26
ASP.NET,21,5,0,26
PySpark,22,4,0,26
Vue,13,11,1,25
Linux,12,9,3,24
REST,9,15,0,24
UML,20,3,0,23
MS SQL,18,2,3,23
JSON,16,7,0,23
Next.js,17,5,0,22
JavaScript - Advanced,22,0,0,22
MongoDB,17,5,0,22
Selenium,14,6,1,21
Apache Kafka,19,1,0,20
Azure,7,10,3,20
Ruby,13,6,0,19
MySQL,11,8,0,19
Excel,9,9,0,18
React Native,15,3,0,18
SQL - Advanced,18,0,0,18
Java 17+,16,2,0,18
AWS,6,9,2,17
GIT,12,5,0,17
Ansible,10,4,3,17
REST API,14,3,0,17
Hibernate,10,6,0,16
Kafka,13,2,1,16
Shell,13,2,1,16
Redis,14,0,1,15
Objective-C,12,3,0,15
Quarkus,13,2,0,15
Bootstrap,11,4,0,15
React.js,12,3,0,15
Symfony,9,5,0,14
ReactJS,12,1,0,13
jQuery,10,3,0,13
JavaScript (React,11,2,0,13
Spring Framework,8,5,0,13
PHP - Advanced,13,0,0,13
Prometheus,11,0,1,12
SQL - Pokročilý,12,0,0,12
Oracle,9,3,0,12
DAX,6,5,1,12
Golang,10,2,0,12
Android,7,4,1,12
Azure DevOps,10,1,1,12
Flutter,9,2,0,11
Java - Pokročilý,11,0,0,11
TensorFlow,7,4,0,11
GitLab,10,0,1,11
Groovy,7,4,0,11
Grafana,10,0,1,11
Playwright,8,2,1,11
LabVIEW,9,0,2,11
Maven,6,5,0,11
Next.js),11,0,0,11
awk,10,0,0,10
.NET (C#),5,1,4,10
Python - Pokročilý,10,0,0,10
shell,10,0,0,10
SQL - Intermediate,10,0,0,10
TypeScript - Advanced,10,0,0,10
JavaScript (ES6+),7,3,0,10
.NET Framework,9,0,1,10
T-SQL,7,2,1,10
NoSQL databases,9,1,0,10
PyTorch,6,4,0,10
Shell scripting,5,4,0,9
HTML/CSS,7,2,0,9
Enterprise Architect,9,0,0,9
Apex,3,4,2,9
WordPress,7,2,0,9
GraphQL,9,0,0,9
Pandas,4,5,0,9
REST APIs,7,2,0,9
C++ - Advanced,9,0,0,9
.Net,1,2,6,9
Spring/SpringBoot,9,0,0,9
SCSS,8,1,0,9
SQL - Basics,9,0,0,9
bash,7,1,0,8
Redux,8,0,0,8
JavaScript - Intermediate,8,0,0,8
JavaScript - Pokročilý,8,0,0,8
Robot Framework,6,2,0,8
Java EE,8,0,0,8
Angular 16+,8,0,0,8
MSSQL,4,4,0,8
NumPy,6,2,0,8
SystemVerilog,0,8,0,8
PLSQL,0,6,2,8
Spring Boot - Advanced,8,0,0,8
Salt,8,0,0,8
HTML 5,7,1,0,8
Power Query,5,3,0,8
DevOps,3,5,0,8
PostgreSQL / Oracle DB,8,0,0,8
pydantic,7,0,0,7
Python - Basic,7,0,0,7
Power Automate,3,0,4,7
ASP.NET MVC,7,0,0,7
Spark,3,4,0,7
Spring Security,6,1,0,7
MySQL - Advanced,7,0,0,7
Rest APIs,7,0,0,7
JavaScript/Typescript,6,1,0,7
UI5,6,1,0,7
SAP,5,2,0,7
Tableau,3,2,2,7
HTML - Advanced,7,0,0,7
Lua,7,0,0,7
CSS - Advanced,7,0,0,7
Flask,7,0,0,7
Cypress,5,2,0,7
NoSQL,2,5,0,7
SQL Server,4,1,2,7
Azure platform,7,0,0,7
Python: Intermediate,7,0,0,7
Celery,7,0,0,7
Helm,7,0,0,7
Python: Advanced,7,0,0,7
PowerBI,3,2,1,6
API,3,3,0,6
Vue.js - Advanced,6,0,0,6
WebApi,6,0,0,6
Windows,5,0,1,6
LINUX,0,6,0,6
Rest API,6,0,0,6
REST API - Advanced,6,0,0,6
RESTful,5,1,0,6
ReactJS - Advanced,6,0,0,6
Springboot,4,2,0,6
TypeScript - Pokročilý,6,0,0,6
Apache Spark,4,0,2,6
IIS,6,0,0,6
GoLang,5,1,0,6
JMeter,4,2,0,6
Matlab,3,3,0,6
Camunda,6,0,0,6
Microsoft Excel - Advanced,6,0,0,6
iOS,2,3,1,6
Django,4,2,0,6
WebSocket,5,1,0,6
.NET/C#,5,0,0,5
Java - Intermediate,5,0,0,5
MVC,3,2,0,5
OpenShift/Kubernetes,5,0,0,5
Tailwind,1,3,1,5
HTML - Intermediate,5,0,0,5
Microservices,4,1,0,5
Microservices - RabbitMQ / Apache Kafka,5,0,0,5
Java (Spring Boot),5,0,0,5
DOCKER,0,5,0,5
Python (pandas,5,0,0,5
noSQL databases,5,0,0,5
.net,0,5,0,5
pandas,3,2,0,5
JavaScript - Basics,5,0,0,5
JavaScript - Mierne pokročilý,5,0,0,5
Jenkins,5,0,0,5
SOAP,5,0,0,5
SignalR,5,0,0,5
Micro-frontends,5,0,0,5
SAP Fiori,3,2,0,5
SAP ABAP,1,1,3,5
ReactJS - Pokročilý,5,0,0,5
C/C++/Qt Development,5,0,0,5
FE tech,5,0,0,5
Agile,0,5,0,5
HTML - Basics,5,0,0,5
RESTful API,5,0,0,5
ORACLE,0,5,0,5
NestJS,4,1,0,5
Svelte,4,1,0,5
Entity Framework,4,0,1,5
Express.js,5,0,0,5
PHP 8+,5,0,0,5
AngularJS,4,1,0,5
TensorFlow/PyTorch,5,0,0,5
C+,5,0,0,5
Snowflake,0,5,0,5
Spring (Boot),5,0,0,5
Blazor,1,2,2,5
Java 8 and higher,5,0,0,5
PWA,5,0,0,5
Cloud - AWS nebo Azure,5,0,0,5
Java 21+,5,0,0,5
and others,4,0,0,4
Webpack,4,0,0,4
VueJS,2,2,0,4
.NET frameworks,4,0,0,4
Prefect,2,2,0,4
.Net Core,3,0,1,4
Delphi,2,2,0,4
JavaScript - Basic,4,0,0,4
Postman,2,2,0,4
Docker - Basic,4,0,0,4
PowerCLI,1,0,3,4
Power Query (M),4,0,0,4
JIRA,1,3,0,4
Mongo-DB,4,0,0,4
Shell script,0,2,2,4
Assembly,0,4,0,4
C++: Advanced,4,0,0,4
Backend API VueJS,4,0,0,4
HTML - Skillful,4,0,0,4
