Work Arrangement,Profesia,Profession,CVOnline,Total
Hibrid munkavégzés,2856,1024,121,4001
Távoli munkavégzés,1587,253,146,1986
Nincs megadva,883,225,167,1275
Helyszíni munkavégzés,522,474,100,1096
Általános munkarend,0,72,0,72
Hibrid,0,24,0,24
Teljes munkaidő,0,17,0,17
Flexible working arrangements (time & place of work),10,0,0,10
Rugalmas munkaidő,0,6,0,6
Flexible,0,3,2,5
Részmunkaidő,0,5,0,5
Part-time,1,3,0,4
Gleitzeit,0,0,4,4
Flexible working hours (arranged individually),0,2,0,2
Flexibilná pracovná doba a možnosť práce z domu,2,0,0,2
Flexibilná práca možná aj z domu 2 dni v týždni + kompletné IT vybavenie,2,0,0,2
Flexible working hours,2,0,0,2
2-zmenná prevádzka (12 hodinové smeny),2,0,0,2
Rugalmas időbeosztás,0,0,2,2
Half-time,0,1,1,2
Flexible munkaidő (20 órás hét),0,1,0,1
Flexibilný čas + možný HO po zaučení,1,0,0,1
Alkalmazotti jogviszony,0,1,0,1
100% Work from home,1,0,0,1
Flexibilný pracovný čas a možnosť homeofficu,1,0,0,1
"Alkalmankénti, de opcionális nemzetközi üzleti utak",0,1,0,1
Heimarbeit,1,0,0,1
Full-time with periodic trips to Amsterdam for training purposes,0,1,0,1
"Full-time, unbefristet",0,1,0,1
Flexible working hours – adjusted to fit into your schedule,0,1,0,1
Flexible working model,0,1,0,1
"Flexible working model with electronic time recording, Mobile work up to 60% of work time",0,1,0,1
Flexible working models,0,1,0,1
Full-time permanent,1,0,0,1
Nyitvatartási időben,0,0,1,1
"Motivačné ohodnotenie, Možnosť pravidelného homeofficu",1,0,0,1
"Modern infrastructure, high degree of flexibility regarding working hours and location",0,1,0,1
Office BA 5x do týždňa,1,0,0,1
Modern infrastructure High degree of flexibility regarding working hours and location (depending on operational requirements),0,1,0,1
Hibrid – irodai és otthoni munkavégzés,0,1,0,1
Homeoffice v zmysle interných pravidiel,1,0,0,1
"Home offic e: áno, možnosť práce z domu",1,0,0,1
Pohyblivá pracovná doba,1,0,0,1
Práce z domu,1,0,0,1
Plný úväzok,1,0,0,1
Podľa vopred dohodnutého rozsahu,1,0,0,1
"Shift-based aligned with factory production hours, including night shifts",1,0,0,1
Rugalmas munkaidő (20–40 óra/hét),0,1,0,1
Rugalmas munkarend,0,1,0,1
Shift-based aligned with factory production hours,1,0,0,1
Teilzeit 20-23 Wochenstunden,0,0,1,1
"Teambuilding, Diensthandy und Laptop, Möglichkeit zum Homeoffice",1,0,0,1
Short-term,1,0,0,1
Távmunka,0,1,0,1
Távoli,0,0,1,1
flexibilná pracovná doba,1,0,0,1
Éjszakai munkavégzés,0,1,0,1
"Čiastočne pracovať z domu, Flexibilný pracovný čas",1,0,0,1
