Location,Count
Not specified,279
Budapest,111
HÖCHST,19
Wien,17
Debrecen,16
Kennelbach,12
Feldkirch,10
Budaörs,6
Vienna,5
Miskolc,5
Klaus,5
Komárom,4
Kecskemét,4
Hajdú-Bihar megye,4
Hungary,3
Pécs,3
Siófok,3
Kiskunhalas,3
Győr,2
Austria,2
Hard,2
Rankweil,2
Soroksár,2
Vorarlberg,2
Székesfehérvár,2
Szeged,2
Vecsés,2
Mátészalka,2
Wiener Neudorf,2
Üllő,1
Tata,1
Mödling,1
Böhlerwerk,1
Ajkai,1
Liechtenstein,1
"Klaus, Austria or Erlangen, Germany",1
Pest County,1
Somogy megye,1
BALATONFÜRED,1
Bonyhád,1
Sopron,1
Záhony,1
Götzis,1
Biatorbágy,1
