Location,Count
Bratislava,3441
Košice,648
Not specified,512
Žilina,293
Banská Bystrica,95
Nitra,56
Trenčín,54
Trnava,53
Remote,46
Prague,44
Zvolen,29
Prešov,24
Dubnica nad Váhom,21
Poprad,20
Liptovský Mikuláš,16
Kechnec,15
Vienna,14
Považská Bystrica,14
Senica,14
Mladá Boleslav,12
Brno,11
Nové Mesto nad Váhom,11
Slovensko,11
Piešťany,10
Sereď,9
Kysucké Nové Mesto,9
Horná Streda,9
Malacky,9
Petržalka,9
Žarnovica,8
Nové Zámky,8
Martin,8
Mochovce,8
Hlohovec,7
Liptovský Hrádok,6
Dolný Kubín,6
Nové Mesto,6
Gúta,6
Lozorno,6
Prievidza,6
Nová Dubnica,6
Svätý Jur,5
Michalovce,5
Gbeľany,5
Modřice,5
Senec,5
"Bratislava, Košice",5
Humenné,5
Komárno,5
Lučenec,5
Krušovce,4
Krupina,4
Chorvátsky Grob,4
Púchov,4
Dunajská Streda,4
Skalica,4
Vígľaš,4
Šamorín,4
Ivanka pri Dunaji,3
Zlaté Moravce,3
Slovakia,3
Plavecký Štvrtok,3
Podbrezová,3
Veľké Úľany,3
Pezinok,3
Partizánske,3
Potvorice,3
Cheb,3
Malý Krtíš,3
Levice,3
Nitriansky kraj,3
Závažná Poruba,3
Bardejov,3
Lednické Rovne,3
Spišská Nová Ves,3
Prešovský kraj,3
Ilava,3
"Slovensko, Česko",3
Záborské,3
Bernolákovo,2
Gáň,2
Veľké Zálužie,2
"Slovensko, Česko, Poľsko",2
"Bratislavský kraj, Trnavský kraj, Nitriansky kraj",2
Trstená,2
Marianka,2
Teplička nad Váhom,2
"Bratislava, Banská Bystrica, Žilina, Poprad",2
"Bratislava region, Trnava region, Nitra region",2
Nižná,2
Budapest,2
Lungötz,2
"Slovak Republic, Austria, Abroad - Others",2
Bomlitz,2
Ružinov,2
Kolárovo,2
Bytča,2
"Germany, Austria, Switzerland",2
České Budějovice,2
Bratislava/Košice,2
Bučany,2
Viedeň,2
Valaliky,2
Dvory nad Žitavou,2
Galanta,2
Vysoké Tatry,2
Námestovo,2
Ivanka pri Nitre,2
Tvrdošín,2
Trenčianska Turná,2
Slovak Republic,2
Zavar,2
Nemecko,2
Graz,2
Istebné,2
Zohor,2
"Bratislavský kraj, Žilinský kraj",2
Oslany,1
Vráble,1
Pravenec,1
Nováky,1
Steyr,1
Veľké Kosihy,1
Brezno,1
Linz,1
Wiesbaum,1
Zürich,1
Kostolné Kračany,1
Valaská,1
Košice - okolie,1
Svit,1
Gbely,1
"Bratislavský kraj, Trnavský kraj",1
Nemšová,1
Holíč,1
Gajary,1
Bruntál,1
"Bratislava, Žilina, Martin, Banská Bystrica",1
Celé Slovensko,1
Krivá,1
"Slovensko, Zahraničie - ostatné",1
Budča,1
"Trenčiansky kraj, Česko",1
Dunajská Lužná,1
Trebišov,1
Trenčianske Stankovce,1
Ružomberok,1
Handlová,1
"Prešovský kraj, Košický kraj",1
Bystré,1
Trenčianska Teplá,1
Varna,1
Porto,1
"Praha, Košice",1
Beluša,1
Dolný Hričov,1
Vlkanová,1
Devín,1
Rumanová,1
"Bratislavský kraj, Trenčiansky kraj, Trnavský kraj",1
Slovenská republika,1
Plzeň,1
Bremen,1
Pardubice,1
Stupava,1
Pusté Úľany,1
Patince,1
Vrbové,1
Stará Ľubovňa,1
Trebatice,1
Modra,1
Uhersky Brod,1
Kežmarok,1
Košický kraj,1
Svidník,1
Wels-Linz,1
Brezová pod Bradlom,1
Snina,1
"Bratislava, Žilina",1
Horná Potôň,1
Brunovce,1
Zlín,1
Moravany nad Váhom,1
Geneva,1
Praha / Olomouc,1
Most pri Bratislave,1
Veselí nad Moravou,1
Okres Žiar nad Hronom,1
Munich,1
Nitra region,1
Oravská Lesná,1
Sabinov,1
Devínska Nová Ves,1
Bojnice,1
Vaďovce,1
Voderady,1
Wien,1
