Language Requirement,Count
English: B2,1260
English: C1,380
German: B2,335
German: C1,128
Hungarian: C1,48
German: A2,47
German: B1,38
Hungarian: B2,25
English: A2,23
English: B1,20
Hungarian: C2,19
French: B2,19
English: Basic,17
Hungarian: Native,16
English: Fluent,12
English: Native,9
French: A2,8
German: Fluent,7
Italian: B2,7
German: Native,6
German: C2,5
French: C1,5
German: A1,5
Other European languages: B1,4
Spanish: B2,4
Dutch: B2,4
Polish: B2,4
French: Native,4
English: fluent,3
German: Advantage,3
French: B1,3
English: B1-B2,3
Italian: C1,3
Swedish: B1,2
Chinese: B1,2
Dutch: C1,2
Dutch: A1,2
Dutch: B1,2
English: Intermediate,2
English: Professional,2
Spanish: C1,2
Italian: Native,2
English: C2,2
Finnish: B1,2
Norwegian: B1,2
Chinese: C1,2
Russian: B2,2
Spanish: B1,2
Russian: C1,2
English: C1/C2,1
English: A1,1
German: B1-B2,1
Chinese: A1,1
German: Business,1
English: Business,1
German: CEFR,1
French: CEFR,1
Hungarian: Advanced,1
Czech: B2,1
German: Preferred,1
German: Desirable,1
English: B2+,1
Italian: C2,1
Ukrainian: C1,1
French: C2,1
Local language: Native or equivalent,1
Italian: A2,1
Italian: B1,1
German: intermediate,1
English: Business Fluency,1
Latin: B1,1
Arabic: B1,1
English: High proficiency,1
Ukrainian: B2,1
Chinese: null,1
Angol: B2,1
