Tool / Technology,Count
AWS,239
Git,199
Jira,191
Azure,183
Kubernetes,157
SAP,125
AGILE,116
Docker,112
Microsoft Office,107
Power BI,107
Microsoft Excel,106
CLOUD,105
LINUX,93
Terraform,89
DEVOPS,88
PostgreSQL,87
SAP BTP,86
API,85
REST API,83
CI/CD,76
Linux,73
ACCESS,72
SAP S/4HANA,67
SCRUM,66
DOCKER,66
AGILIS,62
ERP,61
Confluence,60
Azure DevOps,57
SECURITY,50
PyTorch,49
GitLab,49
Jenkins,48
SAP Analytics Cloud,47
CRM,47
CONFLUENCE,46
MS SQL,44
Grafana,43
BI,42
TensorFlow,41
Google Cloud,41
SQL,41
SAP BW,41
S/4HANA,40
Figma,38
PROJECT MANAGEMENT,37
GitHub,37
GitHub Actions,34
TESTING,34
UML,33
Databricks,33
ANALYTICS,33
NETWORK,32
Kafka,31
SAP BusinessAI,31
Spring Boot,31
Laptop,31
Windows,31
MySQL,30
Oracle,30
Machine Learning,30
SAP RISE,30
ITIL,29
Snowflake,29
SAP Business Data Cloud,29
Microsoft Word,29
Prometheus,29
CI,28
Agile,27
DevOps,27
MACHINE LEARNING,27
ORACLE,26
ISTQB,26
SAP Datasphere,26
SAP Integration Suite,25
BPMN,25
WINDOWS,24
ISO,24
PowerPoint,23
ServiceNow,23
Knowledge Graphs,23
Salesforce,23
SAP Data Intelligence,22
SAP HANA Cloud,22
ANSIBLE,21
DATABASE,21
Access,21
SAP AI Core,21
Vector Engines,21
MCP,21
SAP AI Business Services,21
DATABASES,20
Playwright,20
SAP Extension Suite,20
A2A,20
MongoDB,19
Fiori Web components,19
Scrum,19
TROUBLESHOOTING,19
PMP,19
SAP Generative AI Hub,19
Airflow,19
Postman,18
JENKINS,18
HARDWARE,18
POWERPOINT,17
BACKEND,17
RabbitMQ,17
UNIX,17
Ansible,17
CHANGE MANAGEMENT,17
Cloud,16
Spring,16
GitLab CI,16
Power Automate,16
Helm,16
SAP ERP,16
TEST AUTOMATION,16
Tableau,16
DEBUGGING,16
CLEAN CODE,15
Power Apps,15
Clean Code,15
SAP Security,15
SAP Analytics,15
SharePoint,15
KANBAN,14
UAT,14
dbt,14
Cypress,14
Selenium,14
SAP ANALYTICS CLOUD,14
Maven,14
Power Platform,13
Databases,13
POSTMAN,13
Redis,13
FRONTEND,13
MES,13
AZURE DEVOPS,13
CMS,12
MacOS,12
TABLEAU,12
ANDROID,12
Angular,12
Azure Data Factory,12
MVC,12
OpenTelemetry,11
Clean Core,11
NOSQL,11
Miro,11
Mobiltelefon,11
DOORS,11
Spark,11
TOGAF,10
SERVICENOW,10
Network,10
OUTLOOK,10
CYPRESS,10
DATA MANAGEMENT,10
SAP CAP,10
Argo CD,10
OpenStack,10
SAP RAP,10
NoSQL,10
GitLab CI/CD,10
SAP Fiori,10
AGILE PROJECT MANAGEMENT,10
PMI,10
SVN,10
Datadog,10
MS PROJECT,10
DYNAMICS,10
Security,9
CloudFormation,9
VIRTUALIZATION,9
MONGODB,9
CDK,9
VISIO,9
SAP S/4 HANA,9
SAP MM,9
CMake,9
SELENIUM,9
JMeter,9
SonarQube,9
CloudWatch,9
SAP FI,9
Microsoft Fabric,9
MIDDLEWARE,9
Testing,9
Elasticsearch,9
React,8
JMETER,8
Yocto,8
SAP PP,8
Splunk,8
LangChain,8
LLMs,8
CUDA,8
GitOps,8
SAP ECC,8
Claude,8
MAVEN,8
XML,8
MS Project,8
Jest,8
ADATTÁRHÁZ,8
SQL Server,8
BigQuery,8
HTML,8
SAP CLOUD,8
Monitor,8
GitHub Copilot,8
BACKUP,8
M365,8
Enterprise Architect,7
Microsoft Dynamics 365,7
Kibana,7
VPN,7
Headset,7
ChatGPT,7
SAP Cloud ALM,7
DYNAMICS CRM,7
GDPR,7
INTELLIJ,7
Bitbucket,7
CSS,7
SAP R/3,7
BTP,7
SPARK,7
SAP HANA,7
Dynamics 365,7
Laravel,7
OpenSearch,7
UVM,7
MS OFFICE WORD,7
PYTHON,7
JSON,7
BITBUCKET,7
Vault,7
AUTOMATIZÁLÁS,7
Zabbix,7
Apache Spark,7
EKS,7
LEAN,7
Qlik,7
Kanban,7
PLC,7
ELK stack,6
SCCM,6
SPRING,6
Bash,6
SAP Business AI,6
APACHE,6
SIEM,6
VS Code,6
SSIS,6
ETL,6
Artifactory,6
Copilot,6
Analytics,6
TeamCity,6
VMware,6
VISUAL STUDIO,6
JUNIT,6
IOS,6
SAFe,6
Istio,6
LARAVEL,6
SAP HCM,6
API TESTING,6
CLOUD ANALYTICS,6
Hibernate,6
Dataverse,6
SAP SECURITY,6
Pandas,6
SCADA,5
GraphQL,5
Android,5
Project Management,5
MS Power Platform,5
GenAI Hub,5
SAP Business Technology Platform,5
AI tools,5
PLM,5
DNS,5
MATLAB,5
HubSpot,5
JAX,5
Atlassian,5
ClickUp,5
VMWARE,5
SAP TESTING NETWORK,5
JUnit,5
RDS,5
Bamboo,5
Visual Studio,5
SAP Build,5
OpenAPI,5
DataDog,5
Appium,5
Chef,5
Dynatrace,5
Bootstrap,5
Nexus,5
Slack,5
TEST MANAGEMENT,5
Terragrunt,5
Test Automation,5
Azure Databricks,5
Redshift,5
Puppet,5
CLOUD API,5
NETWORK SECURITY,5
UiPath,5
CAD,5
Lambda,5
DBT,5
Office,5
AWS CDK,5
Entity Framework,5
SECURITY TESTING,5
MVVM,4
REST APIs,4
SwiftUI,4
UIKit,4
Neo4j,4
AZURE BI,4
SQS,4
CAN bus,4
Burp Suite Pro,4
AUTOMATED TESTS,4
Big Data,4
AI,4
ELK,4
Isaac Sim,4
iOS,4
SAP NETWORK,4
SAP CO,4
Cloud Composer,4
INCIDENT MANAGEMENT,4
Pub/Sub,4
Dataflow,4
Visio,4
EDI,4
SAP EWM,4
n8n,4
S/4 HANA,4
Cloud Storage,4
SAP ABAP,4
SAP CRM,4
Composer,4
SERVICE MANAGEMENT,4
Agilis,4
Cassandra,4
ADF,4
Delta Lake,4
Synapse,4
MATLAB/Simulink,4
QAD,4
Gradle,4
Database,4
TRELLO,4
SAP SuccessFactors,4
Elastic Stack,4
WordPress,4
RESTful APIs,4
SAP Cloud,4
MDG,4
ROBOT,4
MQ,4
Webpack,4
K8s,4
TDD,4
Cursor,4
Cucumber,4
SAP Business Network for Asset Collaboration (BNAC),4
SAP Field Service Management (FSM),4
Keycloak,4
ADT,4
BAS,4
VS-Code,4
RISE with SAP,4
SAP Service and Asset Manager,4
SAP Dynamic Forms,4
SAP Enterprise Asset Management (EAM),4
SAP Asset Performance Management (APM),4
LLVM,4
Jasmine,4
AGILE TESTING,4
REGRESSION TESTING,4
Jupyter,4
REACT,4
CUCUMBER,4
Argo,4
Oracle Retail,4
AZURE CLOUD,4
Microsoft Power Platform,4
Zephyr,4
Teams,4
AGILE SCRUM,4
K6,4
FastAPI,4
ENTERPRISE ARCHITECT,4
AWS CloudFormation,4
Google Sheets,4
Sharepoint,4
LDAP,4
Google Analytics,4
MPI,4
Slurm,4
CAN,4
S3,4
OpenAI,4
SOAP,4
JFrog,4
Microsoft Project,4
Buildroot,4
AWS Redshift,4
Workday,4
NixOS,4
ISAQB,4
Apache,4
CDS Views,3
SAP SD,3
Fiori apps,3
Tomcat,3
actix-web,3
rocket,3
serde,3
sqlx,3
async/await,3
tokio,3
WPF,3
GRC,3
Palantir Foundry,3
Nix,3
Genesys,3
HMI,3
SOAPUI,3
Tailwind,3
OracleSQL,3
Debugging,3
Troubleshooting,3
Google Search Console,3
Asana,3
SendGrid,3
Openshift,3
Looker,3
SAP S/4Hana,3
CAN-FD,3
TLS,3
Ceph,3
Open Nebula,3
OIDC,3
Mockito,3
Gatling,3
Office 365,3
Spring Security,3
JAVASCRIPT,3
EMR,3
RAG,3
Mocha,3
SageMaker,3
Glue,3
AMBA,3
.C.,3
Pulumi,3
Django,3
ORM,3
SEO,3
WORDPRESS,3
Mobile Phone,3
SPSS,3
TestNG,3
RestAssured,3
Allure,3
WebdriverIO,3
Shoprenter,3
Unix,3
SoapUI,3
Langfuse,3
Kotlin Multiplatform (KMP),3
Infrastructure as Code,3
Flux,3
Electron,3
GenAI,3
O365,3
ARM templates,3
OpenShift,3
ISO 27000,3
Entra ID,3
Ignition SCADA,3
Dependency Injection,3
Generative AI,3
Plant Maintenance (PM) in ECC,3
SAP CPQ,3
SAP Field Service Management,3
Solution Order Management in SAP S/4HANA,3
SAP Sales and Service Cloud,3
Talend,3
ISO 27001,3
NIST,3
SECURITY ACCESS,3
SmartTrack,3
API Access,3
eBPF,3
LeanIX EAM,3
TestRail,3
ADOBE CLOUD,3
SAP ACCESS,3
SAPUI5,3
Wireshark,3
Camunda,3
Shopify,3
RTOS,3
SAP Gateway,3
Qt,3
SCADE,3
Sketch,3
Adobe XD,3
Data Cloud,3
Tricentis,3
Syniti,3
SAP Signavio,3
SAP LeanIX,3
Automation Studio,3
Data Management,3
Airtable,3
ORACLE ADATTÁRHÁZ,3
Cloudflare,3
MariaDB,3
SAP®,3
Webflow,3
SAP CLOUD API,3
SAP Cloud Platform Integration (CPI),3
SysML,3
CAMEO,3
Symfony,3
Hadoop,3
AWS Glue,3
Informatica,3
SAP S/4HANA Public Cloud,3
FPGA,3
Workstation,3
Intune,3
CISSP,3
CISM,3
API Management,3
SAP NetWeaver,3
OPC-UA,3
ITSM,3
RPA,3
NIST CSF,3
Collibra,3
SAP Business Technology Platform (BTP),3
Oracle SQL,3
Notion,3
Monday,3
Microservice architecture,3
Storm,3
Solr,3
Azure Data Lake,3
NoSQL Databases,3
Github Actions,3
SuccessFactors,3
BrowserStack,3
Pulsar,3
New Relic,3
Quarkus,3
Service Cloud,3
CPQ,2
SAP Ariba,2
ANGULAR,2
RSA,2
SQLite,2
Weblogic,2
S4/HANA,2
ns-3,2
OMNeT++,2
Chromeleon,2
AIX,2
Sales Cloud,2
QuartzBio,2
Node.js,2
OData,2
OpenFOAM,2
VDM,2
EtherCAT,2
KNIME,2
.NET,2
Cloudwatch,2
SAP PM,2
SCIM,2
Sistrix,2
Screaming Frog,2
Network Project Management,2
CLOUD DATABASE,2
MS Access,2
Dockers,2
OpenMP,2
Gitlab CI/CD,2
Shell Scripting,2
Espresso,2
XCTest,2
Payara,2
SSMS,2
UX/UI,2
IntelliJ IDEA,2
Oracle APEX,2
ORACLE CLOUD,2
SharePoint Online,2
Azure Automation,2
DSC,2
Adobe,2
Spring AI,2
SAP Joule,2
S/4HANA Cloud,2
Windows API,2
RAG pipelines,2
Knowledge graphs,2
Microsoft,2
IBM,2
SpecFlow,2
Middleware,2
AGILE SOFTWARE TESTING,2
Pact,2
Outlook,2
CISA,2
Salesforce Commerce Cloud,2
Spring Framework,2
OAuth,2
NETWORK HARDWARE,2
C,2
Okta,2
WIFI,2
HÁLÓZATI ISMERETEK,2
OpenGL,2
Kraken,2
Microsoft Graph,2
MS Fabric,2
Debian,2
M-Files,2
Prince2,2
CAPM,2
Postgre,2
TCP/IP,2
Azure SQL,2
Verilog,2
System Verilog,2
SVA,2
CLOUD TESTING,2
Jasper,2
Siemens TIA Portal,2
CI/CD pipelines,2
Backend,2
SAP Business One,2
Sybase,2
CNAPP,2
Workday HCM,2
Greenhouse,2
Logstash,2
AWS VPCs,2
Apigee,2
Hashicorp Vault,2
Cloud Foundry,2
DLP/DSPM,2
Pega,2
Consul,2
Zookeeper,2
Tiger Lab,2
Cisco,2
IntelliJ,2
OneIdentity,2
Service Now,2
Adobe Illustrator,2
draw.io,2
TypeScript,2
Windows Server,2
DYNAMICS ERP,2
SMTP,2
SES,2
Mailgun,2
Twilio,2
Nexmo,2
FCM,2
APNs,2
NVIDIA Omniverse,2
Isaac Lab,2
OpenUSD,2
ROS2,2
ARCGIS,2
ArcGIS Enterprise,2
ArcGIS Pro,2
ArcGIS Online,2
Nightwatch,2
Gson,2
Awaitility,2
Unas,2
Wordpress,2
R,2
Keras,2
Langchain,2
Azure Monitor,2
AppDynamics,2
SonarCloud,2
RunwayML,2
Cloud technologies,2
Gemini,2
Angular 2+,2
Data Factory,2
SSRS,2
scikit-learn,2
GPT,2
Midjourney,2
IDoc,2
Fiori,2
ENTITY FRAMEWORK,2
MS Visio,2
API ACCESS,2
CPI,2
PRINCE2,2
Vitest,2
React Testing Library,2
DevOps Center,2
