Language Requirement,Count
English: B2,4213
English: C1,1442
English: B1,731
German: B2,598
Slovak: C2,331
Slovak: C1,298
German: C1,295
German: B1,123
Slovak: B2,120
English: A2,107
English: Fluent,76
Hungarian: C1,65
German: A2,54
Hungarian: B2,38
English: Basic,33
Czech: C1,29
French: B2,23
Hungarian: C2,23
English: B2+,19
Anglický jazyk: B2,18
Hungarian: Native,18
Slovak: Fluent,15
Slovak: B1,14
Czech: C2,14
English: C2,14
Slovak: Native,13
English: A1,12
English: fluent,12
German: Fluent,11
Russian: C1,10
English: Native,10
Dutch: C1,10
Czech: Native,10
Slovak,9
Italian: B2,9
Czech: B2,9
English: Advanced,9
German: C2,8
German: Advantage,8
Ukrainian: C1,8
Polish: C1,8
German: Native,8
French: C1,8
French: A2,8
English: B1-B2,8
Anglický jazyk: B1,8
English: Fluency,8
German: A1,7
Deutsch: C1,6
English: Business fluent,6
English: Intermediate,6
English: communicative,5
German: B2+,5
French: B1,5
Danish: C1-C2,5
English,5
Swedish: C1-C2,5
Slovak: C1-C2,5
Spanish: B2,5
Dutch: B2,5
French: Native,4
Polish: B2,4
Hungarian: B1,4
Slovak: C1+,4
English: Very good,4
Other European languages: B1,4
English: advanced,4
Nemecký jazyk: B2,4
German: bonus,3
English: Upper-intermediate,3
English: Business,3
English: Communicative,3
Spanish: C1,3
Italian: C1,3
Spanish: B1,3
English: active,3
Anglický jazyk: A2,3
Czech/Slovak: B2,3
Italian: B1,3
English: mandatory,3
German: optional,3
English: Proficiency,3
English: Professional,3
English: Technical,2
Dutch: A1,2
Chinese: B1,2
Ukrainian: C2,2
Slovenský jazyk: C1,2
English: B2-C1,2
Slovak: B2+,2
Český: C2,2
German: Communicative,2
Slovenský: C2,2
Anglický: B2,2
Russian: B2,2
Finnish: B1,2
Chinese: C1,2
Swedish: B1,2
Norwegian: B1,2
Dutch: B1,2
Italian: Native,2
English: Proficient,2
German: advantage,2
English: professional level,2
Český jazyk: C2,2
Ukrainian: B2,2
German: Desirable,2
German: Bonus available,2
German: B2-C1,2
Czech: Professional,2
German: B1-B2,2
Anglický jazyk: C1,2
Český jazyk: C1,2
English: Good,2
Slovak: Professional,2
Slovak: Fluency,1
Polish: Fluent,1
German: active,1
Arabic: B2,1
Slovak: C1 - C2,1
Slovak: Proficient,1
Czech: B1,1
European language: B2,1
Nemecky jazyk: výhodou,1
English: technical level,1
German: Active,1
English: intermediate,1
German: B1/B2,1
English: sufficient for effective communication,1
German: Beneficial,1
English: C,1
English: Intermediate/Advanced,1
English: business fluent,1
Portuguese: business fluent,1
English: Business-fluent,1
Czech: A1,1
Danish: C1,1
German: Bonus up to 400 EUR monthly/gross,1
Slovak/Czech: Fluent,1
Spanish: Native,1
English: Active,1
Englisch: B2,1
German: Business fluent (advantage),1
German: Basic,1
English: communication level,1
German: Business fluent,1
Russian: C2,1
Čeština: C1,1
German: CEFR,1
French: CEFR,1
German: Business,1
Französisch: A2,1
Hungarian: Advanced,1
English: C1/C2,1
German: Bonus,1
Chinese: A1,1
Slovak: communicative level,1
Angličtina: B2,1
English: passive,1
Italian: C2,1
Italian: A2,1
French: C2,1
Local language: Native or equivalent,1
German: Preferred,1
Arabic: B1,1
English: Business Fluency,1
German: intermediate,1
Latin: B1,1
Angol: B2,1
Hungarian: Fluent,1
English: High proficiency,1
Chinese: null,1
Portuguese: A2,1
French: Fluent,1
Englisch: B2-C1,1
Deutsch: C1-C2,1
Hungarian: Preferred,1
English: Communication level,1
English: written,1
German: Advanced,1
