Location,Count
Bratislava,3441
Not specified,1046
Budapest,1013
Košice,648
Žilina,293
Germany,147
Banská Bystrica,95
Berlin,81
Nitra,56
Trenčín,54
Trnava,53
Remote,46
Prague,44
Munich,33
Németország,33
Debrecen,32
Zvolen,29
München,27
Hamburg,24
Szeged,24
Prešov,24
Dubnica nad Váhom,21
Poprad,20
Vienna,20
Wien,19
HÖCHST,19
Székesfehérvár,17
Liptovský Mikuláš,16
Zurich,16
Switzerland,16
Zürich,16
Budaörs,15
Kechnec,15
Senica,14
Považská Bystrica,14
Pécs,12
Bochum,12
Kennelbach,12
Mladá Boleslav,12
Oberopfingen,12
Győr,11
Slovensko,11
"Walldorf, Berlin, Eschborn, Gerlingen, Hamburg, Garchingen, Dresden, Ratingen, Hannover",11
Nové Mesto nad Váhom,11
Komárom,11
Kecskemét,11
Brno,11
Piešťany,10
"Vienna, Linz, Graz, Berlin, Regensburg",10
Feldkirch,10
Rotkreuz,9
Svájc,9
Horná Streda,9
Sereď,9
Petržalka,9
Malacky,9
Miskolc,9
Kysucké Nové Mesto,9
Žarnovica,8
Garching or Walldorf,8
Düsseldorf,8
Karlsruhe,8
Mochovce,8
Nové Zámky,8
Martin,8
Walldorf,8
Hungary,7
Hlohovec,7
Geneva,7
Lozorno,6
Donauwörth,6
Prievidza,6
Bonaduz,6
Basel,6
Cologne,6
Garching bei München,6
Liptovský Hrádok,6
Dolný Kubín,6
Gúta,6
Nová Dubnica,6
Frankfurt,6
Nové Mesto,6
Klaus,5
Hajdú-Bihar megye,5
Ettlingen,5
Dunakeszi,5
Lučenec,5
Manching,5
Bad Honnef,5
Modřice,5
Urdorf,5
"Vienna, Linz, Graz, Berlin",5
Gbeľany,5
"Bratislava, Košice",5
Komárno,5
Michalovce,5
Svätý Jur,5
Humenné,5
Winterthur,5
Senec,5
Wiesbaden,4
Chiasso,4
Skalica,4
Šamorín,4
Krušovce,4
Krupina,4
Gerlingen-Schillerhöhe,4
Púchov,4
"Bad Honnef, Berlin",4
Stuttgart,4
Dunajská Streda,4
Vígľaš,4
Immenstaad am Bodensee,4
Verl,4
Siófok,4
Chorvátsky Grob,4
Remscheid,4
Prilly,3
Einbeck,3
Davos,3
Lednické Rovne,3
Ilava,3
Burgdorf,3
Prešovský kraj,3
Spišská Nová Ves,3
Üllő,3
Malý Krtíš,3
Partizánske,3
Pezinok,3
Nyíregyháza,3
Kiskunhalas,3
Veszprém,3
Fót,3
Vecsés,3
Potvorice,3
Cheb,3
Záborské,3
Lausanne,3
Pfäffikon,3
Thônex,3
"Slovensko, Česko",3
Veľké Úľany,3
Plavecký Štvrtok,3
Nitriansky kraj,3
Levice,3
Essen,3
Eppelheim,3
Dresden,3
Závažná Poruba,3
Innsbruck,3
Zlaté Moravce,3
Meyrin,3
Ivanka pri Dunaji,3
Slovakia,3
Hettlingen,3
Sindelfingen,3
Bardejov,3
Podbrezová,3
Környe,2
Veľké Zálužie,2
Trstená,2
"Slovak Republic, Austria, Abroad - Others",2
Triesen,2
Wetzlar,2
Hard,2
"Berlin, Verl, Baden-Baden, Oslo",2
Ružinov,2
Bernolákovo,2
Gáň,2
Bomlitz,2
Zsámbék,2
St. Leon-Rot,2
"Walldorf, Hamburg, Berlin, Ratingen, Eschborn, Gerlingen, Garching",2
Námestovo,2
Marianka,2
Biel/Bienne,2
Tallinn,2
Hoehenkirchen-Siegertsbrunn,2
Zug,2
Valaliky,2
Vysoké Tatry,2
Kolárovo,2
Schlieren,2
Wesel,2
Heidelberg,2
Hannover,2
Yverdon-les-Bains,2
Hinwil,2
Gütersloh,2
Hanover,2
Bučany,2
Bratislava/Košice,2
"Germany, Austria, Switzerland",2
Dvory nad Žitavou,2
Bytča,2
České Budějovice,2
Aarburg,2
Trenčianska Turná,2
Ivanka pri Nitre,2
Dusseldorf,2
Kaiserslautern,2
Mannheim,2
Gerlingen,2
Norderstedt,2
Galanta,2
Teplička nad Váhom,2
Böblingen,2
Boston,2
Nuremberg,2
Slovak Republic,2
Tvrdošín,2
Lungötz,2
Nižná,2
"Bratislava, Banská Bystrica, Žilina, Poprad",2
Érd,2
Szombathely,2
Renningen,2
Trier,2
Indianapolis,2
London,2
Szatymaz,2
Wietmarschen-Lohne,2
Zohor,2
"Bratislavský kraj, Žilinský kraj",2
Zavar,2
Nemecko,2
Graz,2
Istebné,2
Erlangen,2
Barcelona,2
"Bratislava region, Trnava region, Nitra region",2
Viedeň,2
Soroksár,2
Vorarlberg,2
Garching,2
Rankweil,2
Wiener Neudorf,2
Sárszentmihály,2
Kaposvár,2
Tata,2
"Paks, Budapest, Szeged",2
Mátészalka,2
Austria,2
Heves megye,2
"Bratislavský kraj, Trnavský kraj, Nitriansky kraj",2
"Slovensko, Česko, Poľsko",2
Brezno,1
Kuala Lumpur,1
Tashkent,1
Neuchâtel,1
Sárospatak,1
Pilisjászfalu,1
"Berlin, Regensburg",1
Frankfurt am Main,1
Plochingen,1
Zwingen,1
Glattpark,1
Mátranovák,1
Herzogenrath,1
"Basingstoke, London, or Bristol",1
Mödling,1
Böhlerwerk,1
Ajkai,1
Liechtenstein,1
Dunaújváros,1
Almásfüzitő,1
Békéscsaba; Budapest; Debrecen; Kaposvár; Kecskemét; Salgótarján; Szeged; Szekszárd; Szombathely; Tatabánya; Veszprém; Zalaegerszeg,1
Baranya megye,1
Bábolna,1
Szolnok,1
Sárvár,1
Zalaegerszeg,1
Ács,1
Pilisszentiván,1
Bács-Kiskun megye,1
Szany,1
Pest megye,1
Tatabánya,1
Paks,1
Dunaharaszti,1
Füzesabony,1
Hatvan,1
Újhartyán,1
Nyírtelek,1
Biel-Bienne,1
Rümlang,1
Hackensack,1
Limassol,1
Los Angeles,1
San Francisco,1
Heidenheim,1
Binningen,1
Amsterdam,1
Svidník,1
Košický kraj,1
Wels-Linz,1
Brezová pod Bradlom,1
"Bratislava, Žilina",1
Snina,1
Horná Potôň,1
Zlín,1
Moravany nad Váhom,1
Praha / Olomouc,1
Most pri Bratislave,1
Veselí nad Moravou,1
Okres Žiar nad Hronom,1
Nitra region,1
Oravská Lesná,1
Sabinov,1
Devínska Nová Ves,1
Bojnice,1
Vaďovce,1
Voderady,1
Esztergom,1
Oberkochen,1
Nänikon-Greifensee,1
"Lausanne, Zurich",1
Hagen,1
Überlingen,1
Wuerzburg,1
Baden-Daettwil,1
Flawil,1
Greifensee,1
Stupava,1
Dolný Hričov,1
Pardubice,1
Plzeň,1
Bremen,1
Slovenská republika,1
"Bratislavský kraj, Trenčiansky kraj, Trnavský kraj",1
Rumanová,1
Devín,1
Vlkanová,1
Trebatice,1
Modra,1
Uhersky Brod,1
Kežmarok,1
Stará Ľubovňa,1
Vrbové,1
Patince,1
Pusté Úľany,1
Brunovce,1
Chemnitz,1
Duisburg,1
"Bern, Thun",1
Martinsried,1
Kleinostheim,1
"Cologne, Künzelsau",1
Emmen,1
Allschwil,1
Ludwigsburg,1
Jülich/Aachen,1
Härkingen,1
Berlin / Regensburg,1
Wietmarschen-Lohne or Osnabrück,1
Trenčianske Stankovce,1
Trebišov,1
Ružomberok,1
Dunajská Lužná,1
Handlová,1
Budča,1
"Trenčiansky kraj, Česko",1
Celé Slovensko,1
Krivá,1
"Slovensko, Zahraničie - ostatné",1
"Bratislava, Žilina, Martin, Banská Bystrica",1
Bruntál,1
Gajary,1
Holíč,1
Nemšová,1
Lachen,1
"Berlin, Bonn, Borchen, Dresden, Eschborn, Essen, Hamburg, Hanover, Ilmenau, Munich, Siegen, Stuttgart",1
Stadtallendorf,1
Neu-Isenburg bei Frankfurt am Main,1
Speyer,1
Feucht,1
Zurich/Basel/Geneva,1
Vevey,1
Neckartenzlingen,1
Luxembourg,1
Thörishaus,1
Hévíz,1
"Berlin, Aschheim bei München",1
Töltéstava,1
Continental Europe,1
Gomaringen,1
Buchs,1
Wiesbaum,1
Beluša,1
"Praha, Košice",1
Varna,1
Porto,1
Trenčianska Teplá,1
Bystré,1
Svit,1
"Bratislavský kraj, Trnavský kraj",1
Gbely,1
Valaská,1
Košice - okolie,1
Kostolné Kračany,1
Linz,1
"Prešovský kraj, Košický kraj",1
Crissier,1
Austin,1
Seattle,1
Füllinsdorf,1
Kriens,1
Wangen b. Dübendorf,1
Nidau,1
Marcali,1
Seon,1
"Berlin, Baden-Baden, Verl, Tallinn",1
Freiburg (Breisgau),1
Budakalász,1
Csákvár,1
Várpalota,1
Bern,1
Balzers,1
Baden,1
Stuttgart-Vaihingen,1
Magyarország,1
Veľké Kosihy,1
Steyr,1
Nováky,1
Pravenec,1
Vráble,1
Oslany,1
Alsónémedi,1
Lippstadt,1
Lucerne,1
Köln,1
"Ansbach, Nuremberg, Bazanowice",1
Frankfurt/Main,1
Potsdam,1
Pratteln,1
Gyöngyös,1
Mosonmagyaróvár,1
Komárom-Esztergom megye,1
Attendorn,1
Jülich,1
Ulm,1
"London, Berlin or Valencia",1
Hemer,1
Aachen,1
Heerbrugg,1
Unterschleißheim,1
"Stuttgart, Budapest",1
Szlovákia,1
Jászberény,1
Kapuvár,1
Kaiseraugst,1
Oetwil am See,1
Bonn,1
Winnenden,1
"Klaus, Austria or Erlangen, Germany",1
Pest County,1
Somogy megye,1
BALATONFÜRED,1
