Programming Language,Count
Python,1670
SQL,1323
Java,976
JavaScript,852
TypeScript,534
C#,457
HTML,371
C++,331
React,324
CSS,307
Angular,277
Bash,273
.NET,258
PowerShell,226
PHP,224
Node.js,211
C,167
Go,121
Kotlin,120
Spring Boot,120
R,114
ABAP,110
REST,85
PL/SQL,80
XML,69
GIT,65
JSON,65
Vue.js,60
Git,57
Perl,55
NoSQL,55
Spring,54
Rust,54
MySQL,53
PostgreSQL,53
.NET Core,52
C/C++,51
PySpark,51
REST API,51
VBA,50
DAX,41
Next.js,40
React Native,40
ASP.NET Core,38
Scala,38
Vue,38
Laravel,38
Ansible,34
Docker,34
ASP.NET,33
MS SQL,31
Swift,30
API,28
GraphQL,27
Shell,27
REACT,25
Kubernetes,25
Hibernate,24
T-SQL,23
SOAP,23
jQuery,23
ReactJS,22
Spark,22
Terraform,21
MSSQL,21
BASH,20
bash,20
MariaDB,19
DOCKER,19
PyTorch,19
ANGULAR,19
JPA,18
Kafka,18
TensorFlow,18
J2EE,18
AWS,18
Groovy,18
Golang,17
Flutter,17
Java 17+,17
Apex,17
Power BI,17
SAP ABAP,17
Maven,15
Bootstrap,15
FastAPI,15
Ruby,15
Shell scripting,14
Quarkus,14
SignalR,14
Redis,14
SCSS,14
MATLAB,14
Pandas,13
BACKEND,13
React.js,13
Rest API,13
UML,13
Objective-C,13
MongoDB,13
Symfony,13
Selenium,13
POSTGRESQL,12
Django,12
RxJS,12
FRONTEND,12
SPRING,12
NOSQL,11
AngularJS,11
ASP.NET MVC,11
Linux,11
LINUX,11
UI5,11
Redux,11
Springboot,11
MYSQL,11
Ruby on Rails,11
Microsoft SQL Server,10
Power Query,10
Android,10
shell,10
Node,10
GO,10
Oracle,10
.NET Framework,10
Playwright,10
Web API,10
.Net,10
WebSocket,9
Visual Basic,9
DEVOPS,9
Entity Framework Core,9
ES6+,9
PLC,9
MVC,9
LabVIEW,9
DevOps,9
VUE,9
SystemVerilog,9
Spring Framework,9
SQL Server,9
PLSQL,9
CLOUD,9
RPG,8
ABAP OO,8
Blazor,8
Nuxt,8
Oracle DB,8
Cypress,8
Angular 16+,8
IOS,8
Azure,8
C#/.NET,8
VueJS,8
Entity Framework,8
Flask,8
MAVEN,8
JUnit,8
Apache Spark,8
Sass,8
Assembly,7
awk,7
Spring/SpringBoot,7
Jenkins,7
WordPress,7
Lua,7
Rest APIs,7
JIRA,7
XSLT,7
OpenAPI,7
ORACLE,7
D3.js,7
RabbitMQ,7
SASS,7
Java Spring Boot,6
XSD,6
CL,6
.NET 6+,6
Vaadin,6
