Language,Profesia,Profession,CVOnline,Total
English,4685,1739,377,6801
German,452,580,121,1153
Slovak,819,0,0,819
Hungarian,29,109,13,151
Czech,69,1,0,70
French,7,41,3,51
Italian,4,15,0,19
Dutch,1,10,8,19
Russian,9,4,0,13
Polish,8,4,1,13
Spanish,4,8,0,12
Ukrainian,10,2,0,12
Swedish,5,2,0,7
Deutsch,1,0,6,7
Chinese,0,6,0,6
Danish,6,0,0,6
Other European languages,0,4,0,4
Czech/Slovak,3,0,0,3
Anglický,2,0,0,2
Portuguese,1,0,1,2
Slovenský,2,0,0,2
Český,2,0,0,2
Englisch,1,0,1,2
Arabic,1,1,0,2
Norwegian,0,2,0,2
Finnish,0,2,0,2
Angličtina,1,0,0,1
Angol,0,1,0,1
Französisch,1,0,0,1
European language,1,0,0,1
Nemecky jazyk,1,0,0,1
Local language,0,1,0,1
Latin,0,1,0,1
Slovak/Czech,1,0,0,1
Čeština,1,0,0,1
