job_id,title,company,Programming Languages,Required Software / Tools,Language Requirements,Experience Level,Work Arrangement,Job Type,source,Location,active,Salary,first_seen,url,Education,last_seen
5162943,Account Manager,"NATEK SLOVAKIA, s.r.o.",,,English: C1,5+ years,Hybrid,Full-time,Profesia,Bratislava,False,2000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/natek-slovakia/O5162943?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,"Bachelor, Master, PhD",2025-12-17
5186473,ServiceNow Consultant,"Talent Solutions, s.r.o.","JavaScript, HTML, CSS, REST, JSON, SQL",ServiceNow,English: B2,1-3 years,Hybrid,Full-time,Profesia,Bratislava,False,2600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/talent-solutions/O5186473?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,High School with Diploma,2025-11-24
5178343,Architect / Senior SAP CO Consultant,saiworx s.r.o.,,"SAP Controlling (CO), SAP S/4HANA, SAP ECC, SAP SD, SAP MM, SAP PP, SAP FI, Microsoft Office 365","English: B2, German: B2",5+ years,Hybrid,Full-time,Profesia,Bratislava,False,6500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/saiworx/O5178343?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor,2025-11-18
5186461,Aplikačný Špecialista Java/Cloud (Openshift & AWS),"Talent Solutions, s.r.o.",Java,"OpenShift, AWS",English: B2,3-5 years,On-site,Full-time,Profesia,Bratislava,False,2700 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/talent-solutions/O5186461?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,"Bachelor, Master, PhD",2025-11-24
5122967,"Konzultant IS QI - pre obchod, odbyt, sklady, logistika","JR Group, s. r. o.",,"ERP, WMS, Microsoft Power BI",English: A2,3-5 years,Hybrid,Full-time,Profesia,Žilina,False,1450 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/jr-group/O5122967?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Master,2025-11-18
5186456,Agentic AI Developer,PwC,,"Co-Pilot Studio, Microsoft ecosystem",,5+ years,On-site with home office,Full-time,Profesia,Bratislava,False,2000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/pwc/O5186456?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,,2025-11-24
5186455,Technický konzultant železničných systémov,"Talent Solutions, s.r.o.",,,English: B2,3-5 years,Home-Office,Full-time,Profesia,,False,2000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/talent-solutions/O5186455?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor,2025-11-24
5186453,ESM ServiceNow Administrator,Swiss Re,"JavaScript, HTML, CSS, XML",ServiceNow,English: B2,5+ years,Hybrid,Full-time,Profesia,Bratislava,False,2700 - 4500 EUR/month,2025-11-04,https://www.profesia.sk/praca/swiss-re/O5186453?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Master,2026-01-06
5186449,System Engineer (Automations / Firewall),PwC,"Python, Terraform, Ansible","Palo Alto firewalls, Panorama",,3-5 years,Hybrid,Full-time,Profesia,Bratislava,False,2000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/pwc/O5186449?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,,2026-02-16
5186426,"DevOps Engineer, DevOps Administrator","SkyToll, a. s.",,"Docker, Kubernetes, Jenkins, Bash Scripting, Terraform, Prometheus, Windows PowerShell, GitLab",English: B2,1-3 years,On-site with home office,Full-time,Profesia,Bratislava,False,2800 - 3800 EUR/mesiac,2025-11-04,https://www.profesia.sk/praca/skytoll/O5186426?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,High School with Diploma,2025-11-24
