job_id,title,company,Programming Languages,Required Software / Tools,Language Requirements,Experience Level,Work Arrangement,Job Type,source,last_seen,active,Location,url,Education,Salary,first_seen
5162943,Account Manager,"NATEK SLOVAKIA, s.r.o.",,"Cisco Certified Network Associate (CCNA), Cisco Certified Network Professional (CCNP)",English: C1,5+ years,Hybrid,Full-time,Profesia,2025-12-17,False,Bratislava,https://www.profesia.sk/praca/natek-slovakia/O5162943?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,University education (Bachelor's degree),2000 EUR gross/month,2025-11-04
5186473,ServiceNow Consultant,"Talent Solutions, s.r.o.","JavaScript, HTML, CSS, REST, JSON, SQL",ServiceNow,English: B2,1.5-2 years,Hybrid,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/talent-solutions/O5186473?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,"Bachelor, Master, PhD",2600 EUR gross/month,2025-11-04
5178343,Architect / Senior SAP CO Consultant,saiworx s.r.o.,,"SAP Controlling (CO), SAP S/4HANA, ECC, Microsoft Office 365","English: B2, German: B2",7 years,Hybrid,Full-time,Profesia,2025-11-18,False,Bratislava,https://www.profesia.sk/praca/saiworx/O5178343?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor (I. stupňa),6500 EUR gross/month,2025-11-04
5186461,Aplikačný Špecialista Java/Cloud (Openshift & AWS),"Talent Solutions, s.r.o.","Java, OpenShift, AWS","EC2, S3, RDS",English: B2,,Full-time,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/talent-solutions/O5186461?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor,2700 EUR gross/month,2025-11-04
5122967,"Konzultant IS QI - pre obchod, odbyt, sklady, logistika","JR Group, s. r. o.",,"ERP systém QI, Microsoft Power BI",English: A2,3 years,Hybrid,Full-time,Profesia,2025-11-18,False,Žilina,https://www.profesia.sk/praca/jr-group/O5122967?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor,1450 EUR gross/month,2025-11-04
5186456,Agentic AI Developer,PwC,,,,3-5 years,Hybrid,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/pwc/O5186456?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,,2000 EUR gross/month,2025-11-04
5186455,Technický konzultant železničných systémov,"Talent Solutions, s.r.o.",,,English: B2,,100 percent home office with monthly visits to Poland,Full-time,Profesia,2025-11-24,False,Home-Office,https://www.profesia.sk/praca/talent-solutions/O5186455?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor,2000 EUR gross/month,2025-11-04
5186453,ESM ServiceNow Administrator,Swiss Re,"JavaScript, HTML, CSS, XML, REST API",ServiceNow,English: B2,5+ years,Hybrid,Full-time,Profesia,2026-01-06,False,Bratislava,https://www.profesia.sk/praca/swiss-re/O5186453?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,"Bachelor, Master",2700-4500 EUR gross/month,2025-11-04
5186449,System Engineer (Automations / Firewall),PwC,"Python, Terraform, Ansible","Palo Alto firewalls, Panorama",,3-5 years,Hybrid,Full-time,Profesia,2026-02-16,False,Bratislava,https://www.profesia.sk/praca/pwc/O5186449?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,,2000 EUR gross/month,2025-11-04
5186426,"DevOps Engineer, DevOps Administrator","SkyToll, a. s.",,,English: B2,2 years,Home-Office,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/skytoll/O5186426?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,High School with Diploma,2800-3800 EUR gross/month,2025-11-04
5178219,IT Projektový manažér – CEO vlastného projektu,"M2M Solutions, s.r.o.",,,"Slovenský jazyk: C1, Anglický jazyk: B2",3-5 years,Home-Office,Full-time,Profesia,2025-11-18,False,Žilina,https://www.profesia.sk/praca/m2m-solutions/O5178219?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor,2500 EUR gross/month,2025-11-04
5186418,Product Manager,Sygic a. s.,,,,5+ years,Job with occasional home office,Full-time,Profesia,2025-11-17,False,Bratislava,https://www.profesia.sk/praca/sygic/O5186418?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Secondary with school-leaving examination,3500 EUR gross/month,2025-11-04
5186413,IT Technik - ponuka pre juniorov! :,Hemmersbach Czech s.r.o.,,"Microsoft Office (Outlook, Word, Excel)","English: B1, Slovak: C2",0-1 years,On-site with home office,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/hemmersbach-czech/O5186413?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,High School with Diploma,600 - 650 EUR gross/month,2025-11-04
5169530,Software Engineering Manager,"Caterpillar Slovakia, s. r. o.",,,English: B2,5+ years,On-site with home office,Full-time,Profesia,2025-11-24,False,Košice,https://www.profesia.sk/praca/caterpillar-slovakia/O5169530?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,"University education (Bachelor's degree), University education (Master's degree), Postgraduate (Doctorate)",5500 EUR gross/month,2025-11-04
