Programming Language,Profesia,Profession,CVOnline,Total
Python,1148,477,45,1670
SQL,894,376,53,1323
Java,688,255,33,976
JavaScript,625,192,35,852
TypeScript,408,113,13,534
C#,326,100,31,457
HTML,253,106,12,371
C++,163,148,20,331
React,232,86,6,324
CSS,213,81,13,307
Angular,214,56,7,277
Bash,239,30,4,273
.NET,204,36,18,258
PowerShell,170,34,22,226
PHP,157,63,4,224
Node.js,139,67,5,211
C,52,110,5,167
Go,75,46,0,121
Spring Boot,106,13,1,120
Kotlin,83,36,1,120
R,78,35,1,114
ABAP,62,35,13,110
REST,42,42,1,85
PL/SQL,62,16,2,80
XML,54,14,1,69
JSON,48,17,0,65
GIT,34,31,0,65
Vue.js,41,18,1,60
Git,29,27,1,57
NoSQL,41,11,3,55
Perl,39,15,1,55
Rust,17,32,5,54
Spring,39,14,1,54
MySQL,39,12,2,53
PostgreSQL,35,18,0,53
.NET Core,39,12,1,52
PySpark,42,7,2,51
C/C++,37,12,2,51
REST API,37,9,5,51
VBA,34,15,1,50
DAX,26,12,3,41
Next.js,34,6,0,40
React Native,34,6,0,40
Laravel,29,9,0,38
Vue,26,11,1,38
ASP.NET Core,31,2,5,38
Scala,32,6,0,38
Docker,26,8,0,34
Ansible,31,2,1,34
ASP.NET,24,8,1,33
MS SQL,22,6,3,31
Swift,17,12,1,30
API,1,27,0,28
GraphQL,24,3,0,27
Shell,23,3,1,27
Kubernetes,15,10,0,25
REACT,4,21,0,25
Hibernate,19,4,1,24
SOAP,19,4,0,23
jQuery,21,2,0,23
T-SQL,20,2,1,23
ReactJS,19,1,2,22
Spark,17,5,0,22
MSSQL,11,10,0,21
Terraform,15,2,4,21
bash,20,0,0,20
BASH,5,14,1,20
DOCKER,0,19,0,19
ANGULAR,0,19,0,19
MariaDB,15,4,0,19
PyTorch,12,7,0,19
J2EE,13,5,0,18
Groovy,13,5,0,18
Kafka,13,5,0,18
JPA,17,1,0,18
AWS,4,14,0,18
TensorFlow,12,6,0,18
Java 17+,16,1,0,17
Apex,6,6,5,17
SAP ABAP,1,13,3,17
Flutter,9,8,0,17
Golang,16,1,0,17
Power BI,6,10,1,17
Bootstrap,12,3,0,15
FastAPI,15,0,0,15
Maven,11,4,0,15
Ruby,10,5,0,15
SignalR,14,0,0,14
Shell scripting,5,7,2,14
SCSS,12,2,0,14
Redis,13,1,0,14
Quarkus,12,2,0,14
MATLAB,2,12,0,14
MongoDB,11,2,0,13
Selenium,9,4,0,13
UML,10,3,0,13
Symfony,9,4,0,13
Objective-C,11,2,0,13
Pandas,5,8,0,13
BACKEND,0,13,0,13
Rest API,13,0,0,13
React.js,11,2,0,13
RxJS,10,2,0,12
FRONTEND,0,12,0,12
Django,9,3,0,12
SPRING,0,12,0,12
POSTGRESQL,0,12,0,12
Ruby on Rails,11,0,0,11
ASP.NET MVC,10,1,0,11
UI5,8,3,0,11
Linux,8,3,0,11
NOSQL,0,11,0,11
Redux,10,1,0,11
AngularJS,10,1,0,11
LINUX,0,11,0,11
Springboot,8,3,0,11
MYSQL,0,11,0,11
Oracle,5,5,0,10
Android,8,2,0,10
GO,7,3,0,10
Web API,8,2,0,10
Power Query,6,4,0,10
Playwright,5,5,0,10
.NET Framework,9,0,1,10
Microsoft SQL Server,8,2,0,10
.Net,6,2,2,10
shell,10,0,0,10
Node,9,1,0,10
SQL Server,7,0,2,9
PLSQL,0,8,1,9
DEVOPS,0,9,0,9
WebSocket,7,2,0,9
ES6+,7,2,0,9
DevOps,3,6,0,9
Spring Framework,9,0,0,9
MVC,6,3,0,9
VUE,1,8,0,9
PLC,5,3,1,9
Visual Basic,5,4,0,9
SystemVerilog,1,8,0,9
LabVIEW,7,0,2,9
CLOUD,0,9,0,9
Entity Framework Core,7,2,0,9
Sass,5,3,0,8
MAVEN,0,8,0,8
Azure,7,1,0,8
Entity Framework,5,2,1,8
Nuxt,8,0,0,8
Angular 16+,8,0,0,8
RPG,6,2,0,8
Apache Spark,7,1,0,8
C#/.NET,5,2,1,8
Cypress,7,1,0,8
Flask,8,0,0,8
IOS,0,8,0,8
JUnit,8,0,0,8
Blazor,4,0,4,8
VueJS,6,2,0,8
ABAP OO,2,5,1,8
Oracle DB,8,0,0,8
D3.js,7,0,0,7
OpenAPI,7,0,0,7
ORACLE,0,7,0,7
Assembly,0,7,0,7
Lua,7,0,0,7
WordPress,5,2,0,7
awk,7,0,0,7
Jenkins,6,1,0,7
Rest APIs,7,0,0,7
JIRA,3,4,0,7
Spring/SpringBoot,7,0,0,7
RabbitMQ,5,2,0,7
SASS,6,1,0,7
XSLT,5,2,0,7
ANDROID,0,6,0,6
Azure CLI,6,0,0,6
ES6,5,1,0,6
WebApi,6,0,0,6
AZURE,0,6,0,6
Camunda,5,1,0,6
Jest,4,2,0,6
Java Spring Boot,5,1,0,6
Java EE,5,1,0,6
Vaadin,6,0,0,6
XSD,6,0,0,6
HTML 5,5,1,0,6
PowerCLI,2,1,3,6
React JS,6,0,0,6
CL,5,0,1,6
MONGODB,0,6,0,6
noSQL,6,0,0,6
OpenStack,5,1,0,6
MACHINE LEARNING,0,6,0,6
.NET 6+,3,2,1,6
OData,2,4,0,6
GoLang,5,1,0,6
Express,6,0,0,6
JavaScript/TypeScript,5,1,0,6
Elasticsearch,5,1,0,6
Fiori,4,2,0,6
VHDL,1,5,0,6
NumPy,5,1,0,6
SPSS,1,4,0,5
GitLab,4,1,0,5
Visualforce,1,1,3,5
JS/TS,5,0,0,5
Bash/Shell,5,0,0,5
LARAVEL,0,5,0,5
LWC,3,2,0,5
NATS.IO,5,0,0,5
JSF,5,0,0,5
Shell/Bash,4,0,1,5
REST APIs,3,2,0,5
Jasmine,3,2,0,5
Chart.js,5,0,0,5
Recharts,5,0,0,5
Postman,4,1,0,5
EF Core,5,0,0,5
QML,3,2,0,5
object-oriented programming,5,0,0,5
scripting language,5,0,0,5
WCF,3,2,0,5
Svelte,5,0,0,5
Java 8+,5,0,0,5
JUNIT,0,5,0,5
OOP,3,2,0,5
.NET (C#),1,0,4,5
Spring MVC,5,0,0,5
C+,5,0,0,5
Expo,5,0,0,5
Robot Framework,5,0,0,5
M,2,2,1,5
ASP.Net,2,1,2,5
NextJS,2,3,0,5
TCP/IP,5,0,0,5
UNIX,1,4,0,5
Angular 2+,4,1,0,5
TestNG,3,2,0,5
Delta Lake,4,1,0,5
AGILE,0,4,0,4
AGILIS,0,4,0,4
JMeter,4,0,0,4
RAP,1,3,0,4
.C.,0,4,0,4
.NET Core 6+,4,0,0,4
Oracle PL/SQL,3,1,0,4
Object-oriented programming,4,0,0,4
Webpack,4,0,0,4
ACCESS,0,4,0,4
.net,0,4,0,4
.NET/C#,3,0,1,4
WPF,3,1,0,4
Websocket,4,0,0,4
SpringBoot,3,1,0,4
JQuery,2,2,0,4
JENKINS,0,4,0,4
SCRUM,0,4,0,4
SOAP/REST,4,0,0,4
Matlab,4,0,0,4
HTML/CSS,4,0,0,4
Gradle,2,2,0,4
PromQL,4,0,0,4
Java 11+,2,2,0,4
