job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level
1854188,Feljesztőmérnök,FUX Zrt.,https://www.cvonline.hu/hu/master/allas/fejlesztomernok-1854188,2026-03-09,2026-03-25,True,,,English: C1,Bachelor,,"MS Office, AutoCAD",On-site,Full-time,3-5 years
1858566,"IT-Service Continuity Manager (m,w,d)",Vienna,https://www.cvonline.hu/hu/allas/it-service-continuity-manager-mwd-1858566,2026-03-09,2026-03-25,True,,60000 EUR gross/year,"German: C1, English: B2",Bachelor,,"Excel, PowerPoint",Hybrid,Full-time,3-5 years
1854055,IT hálózati mérnök,Mavir Zrt.,https://www.cvonline.hu/hu/allas/it-halozati-mernok-1854055,2026-03-09,2026-03-25,True,Budapest,,English: A2,Bachelor,,,Hybrid,Full-time,5+ years
1858593,ADATBÁZIS ÜZEMELTETÉSI SZAKÉRTŐ (ORACLE/MSSQL),BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/adatbazis-uzemeltetesi-szakerto-oracle-mssql-1858593,2026-03-09,2026-03-25,True,Budapest,,English: C1,,,"Oracle 11g–19c, MSSQL, Oracle Exadata Cloud@Customer, RMAN, Oracle RAC, Data Guard, ASM, Enterprise Manager Cloud Control, PostgreSQL",Hybrid,Full-time,5+ years
1858586,Diákmunka - DevOps,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-devops-1858586,2026-03-09,2026-03-25,True,,3000-5000 HUF/hour,,,"NodeJS, React","Docker, Podman, containerd, cri-o, Kubernetes, AWS, Azure, Jenkins, Travis, Bamboo, CircleCI, Helm Charts, NGINX, GitLab CI/CD, GitHub Actions, GHAS, CodeQL",Hybrid,Full-time,0-1 years
1849682,Számítógép szerelő technikus,Pannon-Work Cégcsoport,https://www.cvonline.hu/hu/allas/szamitogep-szerelo-technikus-1849682,2026-03-09,2026-03-23,False,Komárom,,,High School with Diploma,,,On-site,Full-time,
1712134,SPS-Softwareentwickler für Modernisierungs- und Supportprojekte (m/w/d),Laendle,https://www.cvonline.hu/hu/allas/sps-softwareentwickler-fur-modernisierungs-und-supportprojekte-m-w-d-1712134,2026-03-09,2026-03-09,False,,,,Bachelor,"Siemens S7, TIA",,On-site,Full-time,1-3 years
1853989,SAP IBP Consultant (Supply Chain Planning),Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/sap-ibp-consultant-supply-chain-planning-1853989,2026-03-09,2026-03-25,True,,,English: C1,Bachelor,"SAP ABAP OO, ODATA, CDS view, Python","SAP IBP, SAP S4/HANA, SAP CI-DS, SAP APO, SAP SD, SAP VC, SAP MM, SAP PP",Home-Office,Full-time,5+ years
1844333,"Web&ERP támogató konzulens (Web, Backend)",Hire-One Kft.,https://www.cvonline.hu/hu/allas/weberp-tamogato-konzulens-web-backend-1844333,2026-03-09,2026-03-17,False,,,English: B2,Bachelor,"HTML, CSS, JavaScript, .NET (C#), REST API, SQL","CMS, Microsoft Dynamics 365",,Full-time,3-5 years
1858621,IT TECHNIKUS,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/it-technikus-1858621,2026-03-09,2026-03-23,False,Győr,,English: Basic,High School with Diploma,,"Microsoft Active Directory, M365, Azure, Ticketing system",On-site,Full-time,1-3 years
1844225,"Customer Technology Advisor - Cloud 


(m/w/d)",Vienna,https://www.cvonline.hu/hu/allas/customer-technology-advisor-cloud-m-w-d-1844225,2026-03-09,2026-03-17,False,,110000 EUR gross/year,"German: C1, English: C1",,,,Home-Office,Full-time,5+ years
1844158,Senior rendszermérnök (Adatbázis adminisztrátor),Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/senior-rendszermernok-adatbazis-adminisztrator-1844158,2026-03-09,2026-03-17,False,Budapest,,English: Basic,Bachelor,"SQL, PLSQL, pgSQL","PostgreSQL, Linux",Hybrid,Full-time,3-5 years
1849451,ADATBÁZIS ÜZEMELTETÉSI SZAKÉRTŐ (ORACLE/MSSQL),BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/adatbazis-uzemeltetesi-szakerto-oracle-mssql-1849451,2026-03-09,2026-03-23,False,Budapest,,English: C1,,,"Oracle 11g–19c, MSSQL, Oracle Exadata Cloud@Customer, RMAN, Oracle RAC, Data Guard, ASM, Enterprise Manager Cloud Control, PostgreSQL",Hybrid,Full-time,5+ years
1858168,Business Consultant (m/w/d),Vienna,https://www.cvonline.hu/hu/allas/business-consultant-m-w-d-1858168,2026-03-09,2026-03-25,True,Wien,50000 EUR gross/year,,Master,,,On-site with home office,Full-time,1-3 years
1853685,Műszaki üzemeltető és karbantartó technikus - Budapest (Országos lefedettség),Man at Work Humánszolgáltató és Személyzeti Tanácsadó Kft.,https://www.cvonline.hu/hu/allas/muszaki-uzemelteto-es-karbantarto-technikus-budapest-orszagos-lefedettseg-1853685,2026-03-09,2026-03-25,True,Budapest,750000-85000000 Ft/hó gross,,High School with Diploma,,,On-site,Full-time,3-5 years
1858319,Diákmunka - Beágyazott Szoftverfejlesztő Gyakornok,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-beagyazott-szoftverfejleszto-gyakornok-1858319,2026-03-09,2026-03-25,True,,2390 HUF/hour,English: B2,Bachelor,C,,On-site,Half-time,0-1 years
1853682,IT Manager,HSA Kft.,https://www.cvonline.hu/hu/allas/it-manager-1853682,2026-03-09,2026-03-25,True,,,"English: C1, German: C1",Bachelor,,"ERP, Microsoft Windows, Microsoft Office",On-site,Full-time,5+ years
1843994,Senior/Principal Software Engineer,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/senior-principal-software-engineer-1843994,2026-03-09,2026-03-17,False,Debrecen,,English: C1,Bachelor,"C++, LabVIEW, LabVIEW FPGA","VeriStand, Azure DevOps",Hybrid,Full-time,5+ years
1843982,IT szakértő,MÁV Szolgáltató Központ Zrt.,https://www.cvonline.hu/hu/allas/it-szakerto-1843982,2026-03-09,2026-03-17,False,Budapest,,English: Basic,Bachelor,,"MS Windows, Android, MDM, AD, SCCM, MS Office, MS Excel",On-site,Full-time,3-5 years
1838728,Junior BI Developer,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/bi-developer-1838728,2026-03-09,2026-03-10,False,Budapest,,English: C1,Bachelor,,"Power BI, Power Automate, MS Excel",Hybrid,Full-time,1-3 years
1858273,Hálózati rendszermérnök (medior vagy senior),MÁV Szolgáltató Központ Zrt.,https://www.cvonline.hu/hu/allas/halozati-rendszermernok-medior-vagy-senior-1858273,2026-03-09,2026-03-25,True,Budapest,,,Bachelor,,"Cisco, Fortinet, F5, Linux, Docker, PAM, ZTNA, SIEM (Logpoint), Vectra",On-site,Full-time,3-5 years
1858140,Intermediate QA Automation Engineer,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/intermediate-qa-automation-engineer-1858140,2026-03-09,2026-03-25,True,Budapest,,,,"SQL, Scripting Language","Postman, Bruno, JMeter, Git, Jira, Confluence",On-site,Full-time,3-5 years
1858163,System Test Engineer (m/f/x),Vienna,https://www.cvonline.hu/hu/allas/system-test-engineer-m-f-x-1858163,2026-03-09,2026-03-09,False,Wien,3300 EUR gross/month,"Deutsch: C1, English: B2",Bachelor,,,Hybrid,Full-time,3-5 years
1723529,Software Developer (m/w/d)*,Laendle,https://www.cvonline.hu/hu/allas/software-developer-m-w-d-1723529,2026-03-09,2026-03-09,False,Kennelbach,37289 EUR gross/year,"German: C1, English: B2",High School with Diploma,"PL/SQL, Perl","JIRA, Confluence",Hybrid,Full-time,1-3 years
1723530,EDI/API Projektkoordinator*in,Laendle,https://www.cvonline.hu/hu/allas/edi-api-projektkoordinatorin-1723530,2026-03-09,2026-03-09,False,Kennelbach,37289 EUR gross/year,"German: C1, English: B2",High School with Diploma,,"Jira, Confluence, Kanban, Scrum",Hybrid,Full-time,1-3 years
1719935,DevOps Engineer Embedded Systems m/w/d,Laendle,https://www.cvonline.hu/hu/allas/devops-engineer-embedded-systems-m-w-d-1719935,2026-03-09,2026-03-09,False,,,,,,,,Full-time,
1719936,Embedded Software Developer m/w/d,Laendle,https://www.cvonline.hu/hu/allas/embedded-software-developer-m-w-d-1719936,2026-03-09,2026-03-09,False,,,,,,,,Full-time,5+ years
1719937,IT Systemadministrator:in,Laendle,https://www.cvonline.hu/hu/allas/it-technikerin-systemadministratorin-it-system-engineer-1719937,2026-03-09,2026-03-09,False,,,,,,,,Full-time,
