Language Requirement,Count
English: C1,180
English: B2,137
German: C1,94
English: A2,21
German: B2,19
English: B1,18
Hungarian: C1,9
Dutch: C1,8
English: Fluent,6
English: Basic,6
Deutsch: C1,5
English: Business,2
German: B1,2
German: B2-C1,2
German: Fluent,2
English: Proficient,2
English: Native,1
Hungarian: Fluent,1
Portuguese: A2,1
French: Fluent,1
German: Native,1
English: B2-C1,1
Englisch: B2-C1,1
Hungarian: Native,1
French: B1,1
Deutsch: C1-C2,1
Hungarian: Preferred,1
French: C1,1
English: Communication level,1
English: written,1
Polish: C1,1
English: Advanced,1
German: Advanced,1
Hungarian: C2,1
