Tool / Technology,Count
Microsoft Office,64
Microsoft Excel,36
Power BI,31
Docker,30
Azure,30
Kubernetes,29
Git,28
Jira,27
Azure DevOps,21
Confluence,21
AWS,21
PostgreSQL,17
Active Directory,16
Linux,15
Kafka,15
VMware,14
Terraform,14
SAP S/4HANA,13
ERP,13
SAP TM,12
SAP,11
REST API,11
Grafana,10
Power Automate,10
Microsoft Word,10
Windows,10
SharePoint,10
MS Windows,10
SAP EWM,10
SAP LE,10
PowerPoint,10
SAP MM,9
Jenkins,9
MS SQL,9
CI/CD,9
Ansible,9
Outlook,8
WLAN,8
Bluetooth,8
Windows Server,8
Salesforce,8
M365,7
Cisco,7
SAP SD,7
Power Apps,7
Android,6
SQL,6
Microsoft Server,6
SOAP,6
GitHub,6
SAP ERP,6
CRM,6
Microsoft Dynamics 365,6
SAP WM,6
Microsoft Power Platform,6
S/4 HANA,6
SAP PP,6
GitLab,6
AD,5
SAP HANA,5
Solr,5
Spring Boot,5
Exchange,5
Selenium,5
SAP CO,5
MongoDB,5
Snowflake,5
ServiceNow,5
Teams,5
Bitbucket,5
Unreal Engine,5
SAP ECC,5
SAP IBP,5
SAP APO,5
ITIL,5
XML,4
CMS,4
Google Cloud,4
Oracle RAC,4
Data Guard,4
ASM,4
MDM,4
Microsoft Windows Scripting,4
SAP S/4 HANA,4
SAP Fiori,4
Microsoft Azure Active Directory,4
SCCM,4
Oracle,4
Dataverse,4
UML,4
Prometheus,4
Mainframe,4
Redis,4
EWM,4
React,4
Hyper-V,4
S/4HANA,4
SAP ERP WM,4
Artifactory,4
Azure AD,4
Spark,4
Salesforce CRM,4
RabbitMQ,4
Oracle Exadata Cloud@Customer,4
RMAN,4
Storm,4
NFS,4
Veeam,4
JUnit,4
CloudWatch,4
GitLab CI/CD,3
Zabbix,3
Enterprise Manager Cloud Control,3
Oracle 11g–19c,3
ManageEngine,3
SAP FI,3
SVN,3
No-SQL,3
Power Platform,3
Helm,3
Tableau,3
Exchange Online,3
MES,3
Scrum,3
Intune,3
GraphQL,3
SAP Analytics Cloud,3
Splunk,3
Dynatrace,3
SAP 4/HANA,3
JPA,3
Azure Data Factory,3
ticketing system,3
DevOps,3
Spring,3
Argo CD,3
Playwright,3
Ticketing system,3
VDI,3
Postman,3
JMeter,3
Office,3
Google Workspace,3
SIEM,3
Office 365,3
PowerShell,3
Azure services,2
CAD,2
SAP Commerce Cloud,2
JSON,2
Copilot Studio,2
SAP SuccessFactors,2
BPMN,2
MQ,2
XSD,2
Maya,2
Blender,2
Power Point,2
Google BigQuery,2
Fiori,2
Enterprise Architect,2
Spinnaker,2
Microsoft Dynamics 365 Finance & Operations,2
Lifecycle Services,2
Easreserve,2
Group Policies,2
PowerApps,2
Fidelio Suite8,2
Oracle Simphony,2
Salto ProAccess Space,2
Microsoft Hyper-V,2
Power Platform Admin Center,2
SAP R/3,2
Tyk.IO,2
Visual Studio,2
Kanban,2
Fortinet,2
Microsoft Windows,2
VeriStand,2
Azure Cloud,2
Maven,2
SQS,2
3ds Max,2
MS Project,2
SAP FIORI,2
Mockito,2
MS Visio,2
BPMN 2.0,2
SNS,2
BIM,2
SwiftUI,2
3D CAD,2
Appium,2
TestNG,2
Datadog,2
SSO,2
Spotfire,2
Qt,2
SAML,2
OIDC,2
UIKit,2
SplitIO,2
Clearcase,2
