Language Requirement,Count
English: B2,2816
English: C1,882
English: B1,693
Slovak: C2,331
Slovak: C1,298
German: B2,244
Slovak: B2,120
German: B1,83
German: C1,73
English: A2,63
English: Fluent,58
Czech: C1,29
Anglický jazyk: B2,18
English: B2+,18
Slovak: Fluent,15
Slovak: B1,14
Czech: C2,14
Hungarian: B2,13
Slovak: Native,13
English: C2,12
English: A1,11
Czech: Native,10
English: Basic,10
English: fluent,9
Slovak,9
Anglický jazyk: B1,8
Russian: C1,8
English: Fluency,8
Czech: B2,8
English: Advanced,8
Hungarian: C1,8
Polish: C1,7
German: A2,7
Ukrainian: C1,7
English: Business fluent,6
German: Advantage,5
English: communicative,5
English: B1-B2,5
English,5
Swedish: C1-C2,5
Slovak: C1-C2,5
German: B2+,5
Danish: C1-C2,5
French: B2,4
English: advanced,4
Nemecký jazyk: B2,4
English: Intermediate,4
Slovak: C1+,4
Hungarian: B1,4
English: Very good,4
English: mandatory,3
German: optional,3
English: Proficiency,3
Anglický jazyk: A2,3
English: active,3
Czech/Slovak: B2,3
English: Communicative,3
German: bonus,3
German: C2,3
Hungarian: C2,3
English: Upper-intermediate,3
Český jazyk: C1,2
Anglický jazyk: C1,2
Slovak: Professional,2
Czech: Professional,2
German: Bonus available,2
English: Technical,2
Italian: B2,2
Italian: B1,2
Slovak: B2+,2
English: professional level,2
German: advantage,2
Slovenský: C2,2
German: Communicative,2
Český: C2,2
Anglický: B2,2
German: A1,2
French: C1,2
English: Good,2
Ukrainian: C2,2
Slovenský jazyk: C1,2
German: Fluent,2
Český jazyk: C2,2
Polish: Fluent,1
German: B1-B2,1
English: B2-C1,1
German: Desirable,1
English: Business-fluent,1
Spanish: B2,1
Dutch: B2,1
Slovak: Fluency,1
Spanish: B1,1
Ukrainian: B2,1
English: business fluent,1
Portuguese: business fluent,1
English: Professional,1
Spanish: Native,1
Slovak/Czech: Fluent,1
French: B1,1
German: Bonus up to 400 EUR monthly/gross,1
Czech: A1,1
Danish: C1,1
English: Active,1
German: Active,1
English: Intermediate/Advanced,1
English: C,1
English: sufficient for effective communication,1
German: Beneficial,1
English: intermediate,1
German: B1/B2,1
Slovak: Proficient,1
Czech: B1,1
Arabic: B2,1
Slovak: C1 - C2,1
German: active,1
English: technical level,1
European language: B2,1
Nemecky jazyk: výhodou,1
Hungarian: Native,1
German: Native,1
Russian: C2,1
Čeština: C1,1
Angličtina: B2,1
Slovak: communicative level,1
English: communication level,1
English: passive,1
Spanish: C1,1
German: Basic,1
German: Business fluent (advantage),1
German: Business fluent,1
Deutsch: C1,1
Englisch: B2,1
Französisch: A2,1
German: Bonus,1
