Programming Language,Count
Python,1148
SQL,894
Java,688
JavaScript,625
TypeScript,408
C#,326
HTML,253
Bash,239
React,232
Angular,214
CSS,213
.NET,204
PowerShell,170
C++,163
PHP,157
Node.js,139
Spring Boot,106
Kotlin,83
R,78
Go,75
PL/SQL,62
ABAP,62
XML,54
C,52
JSON,48
REST,42
PySpark,42
Vue.js,41
NoSQL,41
MySQL,39
.NET Core,39
Spring,39
Perl,39
C/C++,37
REST API,37
PostgreSQL,35
VBA,34
GIT,34
Next.js,34
React Native,34
Scala,32
ASP.NET Core,31
Ansible,31
Git,29
Laravel,29
Vue,26
DAX,26
Docker,26
GraphQL,24
ASP.NET,24
Shell,23
MS SQL,22
jQuery,21
bash,20
T-SQL,20
Hibernate,19
SOAP,19
ReactJS,19
Rust,17
JPA,17
Spark,17
Swift,17
Golang,16
Java 17+,16
MariaDB,15
Terraform,15
FastAPI,15
Kubernetes,15
SignalR,14
Redis,13
Groovy,13
Rest API,13
J2EE,13
Kafka,13
SCSS,12
Bootstrap,12
Quarkus,12
TensorFlow,12
PyTorch,12
Maven,11
Ruby on Rails,11
MSSQL,11
MongoDB,11
React.js,11
Objective-C,11
ASP.NET MVC,10
shell,10
UML,10
AngularJS,10
Ruby,10
RxJS,10
Redux,10
Django,9
Spring Framework,9
.NET Framework,9
Symfony,9
Flutter,9
Node,9
Selenium,9
Web API,8
UI5,8
Nuxt,8
Flask,8
Linux,8
Angular 16+,8
Microsoft SQL Server,8
JUnit,8
Springboot,8
Oracle DB,8
Android,8
Entity Framework Core,7
OpenAPI,7
GO,7
ES6+,7
LabVIEW,7
Azure,7
Apache Spark,7
D3.js,7
WebSocket,7
Lua,7
SQL Server,7
Spring/SpringBoot,7
Rest APIs,7
Cypress,7
awk,7
XSD,6
Apex,6
WebApi,6
Jenkins,6
.Net,6
SASS,6
React JS,6
RPG,6
Azure CLI,6
Vaadin,6
Power BI,6
VueJS,6
MVC,6
Express,6
Power Query,6
noSQL,6
RabbitMQ,5
scripting language,5
JavaScript/TypeScript,5
Chart.js,5
Java 8+,5
Camunda,5
XSLT,5
Oracle,5
Recharts,5
JSF,5
Playwright,5
ES6,5
GoLang,5
C+,5
Svelte,5
PLC,5
HTML 5,5
NumPy,5
EF Core,5
WordPress,5
Java Spring Boot,5
BASH,5
Visual Basic,5
Shell scripting,5
CL,5
Elasticsearch,5
JS/TS,5
Expo,5
NATS.IO,5
OpenStack,5
Java EE,5
Spring MVC,5
Bash/Shell,5
Entity Framework,5
TCP/IP,5
object-oriented programming,5
Sass,5
Pandas,5
Robot Framework,5
C#/.NET,5
Blazor,4
SOAP/REST,4
Webpack,4
React Native Web,4
Embedded C++,4
AWS,4
SQL: Advanced,4
Jinja,4
Fiori,4
PHP 8+,4
PromQL,4
Matlab,4
NestJS,4
HTML/CSS,4
Object-oriented programming,4
Angular 2+,4
JAVA EE,4
GitLab,4
Polymer,4
Express.js,4
Postman,4
Jest,4
REACT,4
Shell/Bash,4
.NET Core 6+,4
Websocket,4
Salt,4
Delta Lake,4
JMeter,4
Databricks,3
BPMN,3
XPath,3
WPF,3
DB2,3
Siemens PLC,3
Cache,3
Siemens,3
REST APIs,3
ASP.NET Razor,3
WCF,3
Jquery,3
Jasmine,3
MsSQL Server,3
.NET 6+,3
QML,3
Scripting,3
Nest.js,3
REXX,3
JWT,3
SQL DBA,3
AJAX,3
LWC,3
Unity,3
Oracle SQL,3
Pyspark,3
Java 21+,3
TCL,3
VBScript,3
Blade,3
Twig,3
Power Query (M),3
Windows PowerShell,3
Microservices,3
TestNG,3
OOP,3
DevOps,3
Nette,3
Keras,3
SpringBoot,3
Spring Cloud,3
JIRA,3
SOAP UI,3
OPC UA,3
Oracle PL/SQL,3
webservices,3
oData,3
YAML,3
.NET/C#,3
COBOL,3
Shell scripts,3
Next JS,3
vue.js,3
ABAP cloud,3
Java SE,3
X++,2
FastAPI: Advanced,2
Camel,2
Apache Kafka,2
Azure Data Factory,2
Java: Advanced,2
