Location,Count
Budapest,900
Not specified,255
Germany,147
Berlin,81
Németország,33
Munich,32
München,27
Hamburg,24
Szeged,22
Switzerland,16
Zurich,16
Debrecen,16
Zürich,15
Székesfehérvár,15
Oberopfingen,12
Bochum,12
"Walldorf, Berlin, Eschborn, Gerlingen, Hamburg, Garchingen, Dresden, Ratingen, Hannover",11
"Vienna, Linz, Graz, Berlin, Regensburg",10
Győr,9
Budaörs,9
Svájc,9
Rotkreuz,9
Pécs,9
Walldorf,8
Düsseldorf,8
Karlsruhe,8
Garching or Walldorf,8
Komárom,7
Kecskemét,7
Garching bei München,6
Geneva,6
Basel,6
Cologne,6
Frankfurt,6
Donauwörth,6
Bonaduz,6
Bad Honnef,5
Winterthur,5
Manching,5
Dunakeszi,5
Urdorf,5
"Vienna, Linz, Graz, Berlin",5
Ettlingen,5
"Bad Honnef, Berlin",4
Gerlingen-Schillerhöhe,4
Immenstaad am Bodensee,4
Chiasso,4
Stuttgart,4
Wiesbaden,4
Hungary,4
Verl,4
Miskolc,4
Remscheid,4
Innsbruck,3
Thônex,3
Meyrin,3
Essen,3
Eppelheim,3
Veszprém,3
Fót,3
Nyíregyháza,3
Lausanne,3
Burgdorf,3
Pfäffikon,3
Dresden,3
Davos,3
Einbeck,3
Hettlingen,3
Prilly,3
Sindelfingen,3
London,2
Wietmarschen-Lohne,2
Schlieren,2
Wesel,2
Heidelberg,2
Boston,2
Böblingen,2
Erlangen,2
Barcelona,2
Indianapolis,2
Heves megye,2
Triesen,2
Garching,2
St. Leon-Rot,2
Zsámbék,2
Környe,2
Biel/Bienne,2
"Berlin, Verl, Baden-Baden, Oslo",2
Hoehenkirchen-Siegertsbrunn,2
Norderstedt,2
Aarburg,2
Hanover,2
Yverdon-les-Bains,2
Kaiserslautern,2
Dusseldorf,2
Zug,2
Mannheim,2
Gerlingen,2
Szombathely,2
Nuremberg,2
Érd,2
Üllő,2
Sárszentmihály,2
"Paks, Budapest, Szeged",2
Renningen,2
Kaposvár,2
Gütersloh,2
Hinwil,2
Hannover,2
Tallinn,2
Wetzlar,2
"Walldorf, Hamburg, Berlin, Ratingen, Eschborn, Gerlingen, Garching",2
Szatymaz,2
Trier,2
Dunaújváros,1
Bábolna,1
Szany,1
Bács-Kiskun megye,1
Újhartyán,1
Nyírtelek,1
Jülich/Aachen,1
Ludwigsburg,1
Emmen,1
Allschwil,1
"Cologne, Künzelsau",1
Kleinostheim,1
"Bern, Thun",1
Martinsried,1
Duisburg,1
Baden-Daettwil,1
Greifensee,1
Chemnitz,1
Flawil,1
"Lausanne, Zurich",1
Überlingen,1
Wuerzburg,1
Oberkochen,1
Amsterdam,1
Binningen,1
Hackensack,1
Los Angeles,1
Limassol,1
San Francisco,1
Heidenheim,1
Hagen,1
Nänikon-Greifensee,1
Füzesabony,1
Hatvan,1
Dunaharaszti,1
Paks,1
Biel-Bienne,1
Rümlang,1
Tatabánya,1
Tata,1
Pest megye,1
Zalaegerszeg,1
Ács,1
Pilisszentiván,1
Hajdú-Bihar megye,1
Sárvár,1
Esztergom,1
Almásfüzitő,1
Vienna,1
Szolnok,1
Baranya megye,1
Békéscsaba; Budapest; Debrecen; Kaposvár; Kecskemét; Salgótarján; Szeged; Szekszárd; Szombathely; Tatabánya; Veszprém; Zalaegerszeg,1
Lachen,1
Feucht,1
Buchs,1
Gomaringen,1
Töltéstava,1
Continental Europe,1
"Berlin, Aschheim bei München",1
"Berlin, Bonn, Borchen, Dresden, Eschborn, Essen, Hamburg, Hanover, Ilmenau, Munich, Siegen, Stuttgart",1
Berlin / Regensburg,1
Wietmarschen-Lohne or Osnabrück,1
Härkingen,1
Speyer,1
Stadtallendorf,1
Neu-Isenburg bei Frankfurt am Main,1
Thörishaus,1
Neckartenzlingen,1
Vevey,1
Zurich/Basel/Geneva,1
Seon,1
Marcali,1
Wangen b. Dübendorf,1
Nidau,1
Kriens,1
Austin,1
Crissier,1
Füllinsdorf,1
Seattle,1
Luxembourg,1
Hévíz,1
Bern,1
Csákvár,1
Várpalota,1
Budakalász,1
"Berlin, Baden-Baden, Verl, Tallinn",1
Magyarország,1
Siófok,1
Lippstadt,1
Alsónémedi,1
Köln,1
"Ansbach, Nuremberg, Bazanowice",1
Frankfurt/Main,1
Lucerne,1
Potsdam,1
Pratteln,1
Mosonmagyaróvár,1
Balzers,1
Baden,1
Wien,1
Stuttgart-Vaihingen,1
Freiburg (Breisgau),1
Ulm,1
Jülich,1
Attendorn,1
Komárom-Esztergom megye,1
Gyöngyös,1
Unterschleißheim,1
Heerbrugg,1
"London, Berlin or Valencia",1
Szlovákia,1
"Stuttgart, Budapest",1
Jászberény,1
Kapuvár,1
Oetwil am See,1
Kaiseraugst,1
Aachen,1
Hemer,1
Winnenden,1
Bonn,1
Tashkent,1
Kuala Lumpur,1
Sárospatak,1
Pilisjászfalu,1
"Berlin, Regensburg",1
Neuchâtel,1
Frankfurt am Main,1
Plochingen,1
Glattpark,1
Zwingen,1
Mátranovák,1
Vecsés,1
Herzogenrath,1
"Basingstoke, London, or Bristol",1
