job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Suitable for,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level
5162943,Account Manager,"NATEK SLOVAKIA, s.r.o.",https://www.profesia.sk/praca/natek-slovakia/O5162943?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-12-17,False,Bratislava,2000 EUR gross/month,English: C1,Bachelor,,,Hybrid,Full-time,5+ years
5186473,ServiceNow Consultant,"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186473?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2600 EUR gross/month,English: B2,"Bachelor, Master","JavaScript, HTML, CSS, REST, JSON, SQL",ServiceNow,Hybrid,Full-time,1.5-2 years
5178343,Architect / Senior SAP CO Consultant,saiworx s.r.o.,https://www.profesia.sk/praca/saiworx/O5178343?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Bratislava,6500 EUR gross/month,"English: B2, German: B2",Bachelor,,"SAP S/4HANA, ECC, Microsoft Office 365",Hybrid,Full-time,7 years
5186461,Aplikačný Špecialista Java/Cloud (Openshift & AWS),"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186461?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2700 EUR gross/month,English: B2,"Bachelor, Master, PhD",Java,"OpenShift, AWS",Hybrid,Full-time,
5122967,"Konzultant IS QI - pre obchod, odbyt, sklady, logistika","JR Group, s. r. o.",https://www.profesia.sk/praca/jr-group/O5122967?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Žilina,1450 EUR gross/month,English: A2,Post-secondary / Higher Vocational,,"ERP systém QI, Microsoft Power BI",Hybrid,Full-time,3 years
5186456,Agentic AI Developer,PwC,https://www.profesia.sk/praca/pwc/O5186456?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2000 EUR gross/month,,Bachelor,"Python, SQL",Co-Pilot Studio,Hybrid,Full-time,0-1 years
5186455,Technický konzultant železničných systémov,"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186455?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2000 EUR gross/month,English: B2,"Bachelor, Master",,,Home-Office,Full-time,
5186453,ESM ServiceNow Administrator,Swiss Re,https://www.profesia.sk/praca/swiss-re/O5186453?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-01-06,False,Bratislava,2700 - 4500 EUR gross/month,English: B2,High School with Diploma,,,Hybrid,Full-time,5+ years
5186449,System Engineer (Automations / Firewall),PwC,https://www.profesia.sk/praca/pwc/O5186449?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-02-16,False,Bratislava,2000 EUR gross/month,,,"Python, Terraform, Ansible","Palo Alto firewalls, Panorama, Docker",Hybrid with occasional home office,Full-time,3-5 years
5186426,"DevOps Engineer, DevOps Administrator","SkyToll, a. s.",https://www.profesia.sk/praca/skytoll/O5186426?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2800 - 3800 EUR gross/month,English: B2,High School with Diploma,"Jenkins, Bash Scripting, Terraform, Prometheus, Windows PowerShell, GitLab","Docker, Kubernetes, ArgoCD, Flux, Vault, AWS Secret Manager",Hybrid,Full-time,2 years
5178219,IT Projektový manažér – CEO vlastného projektu,"M2M Solutions, s.r.o.",https://www.profesia.sk/praca/m2m-solutions/O5178219?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Žilina,2500 EUR brutto/month,"Slovak: C1, English: B2","Bachelor, Master, PhD",,,Hybrid,Full-time,3+ years
5186418,Product Manager,Sygic a. s.,https://www.profesia.sk/praca/sygic/O5186418?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-17,False,Bratislava,3500 EUR gross/month,,High School with Diploma,,,Hybrid,Full-time,5+ years
5186413,IT Technik - ponuka pre juniorov! :,Hemmersbach Czech s.r.o.,https://www.profesia.sk/praca/hemmersbach-czech/O5186413?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,600 - 650 EUR gross/month,"English: B1, Slovak: C2",High School with Diploma,,"Microsoft Office (Outlook, Word, Excel), Windows",Hybrid,Full-time,
5169530,Software Engineering Manager,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169530?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Košice,5500 EUR gross/month,,,,,Hybrid (occasional home office),Full-time,
5186406,Backend Developer (Symfony + Flask),VIZIO s.r.o.,https://www.profesia.sk/praca/vizio/O5186406?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,3000 EUR gross/month,English: B2,High School with Diploma,"Symfony, Flask, Python, SQL","Git, Linux",Hybrid,Full-time,3-5 years
