job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education Requirements,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level
5162943,Account Manager,"NATEK SLOVAKIA, s.r.o.",https://www.profesia.sk/praca/natek-slovakia/O5162943?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-12-17,False,Bratislava,2000 EUR gross/month,English: Advanced (C1),Bachelor's degree | Master's degree | Postgraduate (Doctorate),,"Cisco Certified Network Associate (CCNA), Cisco Certified Network Professional (CCNP), SD-WAN, VPN, Multiprotocol Label Switching (MPLS), IoT, 5G networks, Billing",Hybrid,Full-time,5+ years
5186473,ServiceNow Consultant,"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186473?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2600 EUR gross/month,"English: B2, German: Intermediate, French: Intermediate",,"JavaScript, HTML, CSS, REST, JSON, SQL",ServiceNow CSA,Hybrid,Full-time,1-3 years
5178343,Architect / Senior SAP CO Consultant,saiworx s.r.o.,https://www.profesia.sk/praca/saiworx/O5178343?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Bratislava,6500 EUR/month,"English: B2, German: B2","Bachelor | IT, Economics, Business",,"SAP Controlling (CO) configuration and processes - Advanced, SAP S/4HANA and ECC - Advanced, SAP SD, MM, PP, FI - Intermediate, Microsoft Office 365 - Advanced",Hybrid,Full-time,7+ years
5186461,Aplikačný Špecialista Java/Cloud (Openshift & AWS),"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186461?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2700 EUR/month,English: B2,,"Java, OpenShift, AWS","CI/CD pipelines, Monitoring, DevOps practices",,Full-time,3-5 years
5122967,"Konzultant IS QI - pre obchod, odbyt, sklady, logistika","JR Group, s. r. o.",https://www.profesia.sk/praca/jr-group/O5122967?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Žilina,1450 EUR/month,English: A2,,,"ERP, WMS, Microsoft Power BI",Hybrid,Full-time,3-5 years
5186456,Agentic AI Developer,PwC,https://www.profesia.sk/praca/pwc/O5186456?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2000 EUR gross/month,,,"Python, JavaScript",Co-Pilot Studio,Hybrid,Full-time,
5186455,Technický konzultant železničných systémov,"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186455?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,,2000 EUR/month,"English: B2, Polish: Advanced",Bachelor's Degree | Technical Field,,,Home-Office,Full-time,
5186453,ESM ServiceNow Administrator,Swiss Re,https://www.profesia.sk/praca/swiss-re/O5186453?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-01-06,False,Bratislava,2700-4500 EUR gross/month,English: Upper intermediate (B2),"Bachelor's degree | Master's degree in Engineering, Computer Science or equivalent experience","JavaScript, HTML, CSS, XML, REST API","ServiceNow, Perspectium",Hybrid,Full-time,5+ years
5186449,System Engineer (Automations / Firewall),PwC,https://www.profesia.sk/praca/pwc/O5186449?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-02-16,False,Bratislava,2000 EUR gross/month,,,"Python, Terraform, Ansible","Git, Docker, Palo Alto firewalls, Panorama, OSPF, Static Routes, BGP",Hybrid,Full-time,3-5 years
5186426,"DevOps Engineer, DevOps Administrator","SkyToll, a. s.",https://www.profesia.sk/praca/skytoll/O5186426?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2800-3800 EUR/month,English: B2,,"Bash Scripting, GitLab, Prometheus, Terraform, Jenkins","Docker, Kubernetes, ArgoCD, Flux, Vault, AWS Secret Manager, OCI, Azure, GCP, VMware, Linus, Windows",Hybrid,Full-time,2 years
