job_id,url,first_seen,last_seen,active,Job Title,Location,Salary,Language Requirements,Education Requirements,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,Company Name
5162943,https://www.profesia.sk/praca/natek-slovakia/O5162943?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-12-17,False,Account Manager,Bratislava,2000 EUR gross,English - Advanced (C1),University education (Bachelor's degree),,,Hybrid (2-3x per week in the office),Full-time,5+ years of experience,"NATEK SLOVAKIA, s.r.o."
5186473,https://www.profesia.sk/praca/talent-solutions/O5186473?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,ServiceNow Consultant,Bratislava,2600 EUR gross,"English - B2, German/French - optional",University degree in relevant field,"JavaScript, HTML, CSS, REST, JSON, SQL",ServiceNow platform,"Hybrid (2 days on-site, 3 days home office)",Full-time,1.5-2 years in ServiceNow or similar platforms,"Talent Solutions, s.r.o."
5178343,https://www.profesia.sk/praca/saiworx/O5178343?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Architect / Senior SAP CO Consultant,Bratislava,6500 EUR gross,"English - Advanced (C1/B2), German - Advanced (C1/B2)","University + degree + IT, Economy, Business",,Microsoft Office 365,Hybrid (up to 3 days/week remote),Full-time,7 years of experience in SAP CO consulting and implementation,saiworx s.r.o.
5186461,https://www.profesia.sk/praca/talent-solutions/O5186461?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Java/Cloud Application Specialist,Bratislava,3000 EUR gross,English - Intermediate (B2),University degree in a relevant field,"Java, OpenShift, AWS","OpenShift, AWS services (EC2, S3, RDS), CI/CD pipelines",,Full-time,Mid-level to Senior,"Talent Solutions, s.r.o."
5122967,https://www.profesia.sk/praca/jr-group/O5122967?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,"Consultant IS QI - Trade, Sales, Warehouse, Logistics","Dolné Rudiny 1, Žilina",1450 EUR gross,"English, A2",University degree in relevant field,,ERP system QI,Hybrid,Full-time,3 years of experience in Sales or Purchase,"JR Group, s. r. o."
5186456,https://www.profesia.sk/praca/pwc/O5186456?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Agentic AI Developer,"Bratislava, Slovakia",From 2 000 EUR/month (gross),English - Professional,University degree in Computer Science or a related field.,"Python, JavaScript, TypeScript","Co-Pilot Studio, Microsoft Teams",Hybrid (On-site with home office),Full-time,Mid to Senior level,PwC
5186455,https://www.profesia.sk/praca/talent-solutions/O5186455?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Technický konzultant železničných systémov,,2000 EUR gross,English - B2,University + degree + technical field,,,Home-Office with on-site visits to Poland,Full-time,,"Talent Solutions, s.r.o."
5186453,https://www.profesia.sk/praca/swiss-re/O5186453?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-01-06,False,ESM ServiceNow Administrator II,"Bratislava, Slovakia",2700 - 4500 EUR gross/month,English - Upper intermediate (B2),University education (Bachelor's degree),"JavaScript, HTML, CSS, XML, REST API",ServiceNow,Hybrid,Full-time,5+ years of ServiceNow administration/development experience in an enterprise environment,Swiss Re
5186449,https://www.profesia.sk/praca/pwc/O5186449?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-02-16,True,Security Engineer - Automations / Firewall,"Bratislava, Slovakia",From 2 000 EUR/month (gross),English - Professional,University degree in Computer Science or a related field.,"Python, Terraform, Ansible","Palo Alto firewalls, Panorama, OSPF, Static Routes, BGP",Hybrid (On-site with home office),Full-time,3-5 years of hands-on automation experience,"PricewaterhouseCoopers Slovakia, Ltd."
5186426,https://www.profesia.sk/praca/skytoll/O5186426?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,DevOps Engineer,Bratislava,2800 - 3800 EUR gross,"English, B2","University degree in Informatics, telecommunications",,"CI/CD pipeline, Jenkins, Bash Scripting, Terraform, Prometheus, Windows PowerShell, GitLab",On-site with home office,Full-time,2 years,"SkyToll, a. s."
