job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,location,salary,employment_type,work_hours,responsibilities,requirements,benefits,contact,jobTitle,employmentType,applyUrl,jobDescription,companyInfo,schedule,tech_stack
1854188,Feljesztőmérnök,FUX Zrt.,https://www.cvonline.hu/hu/master/allas/fejlesztomernok-1854188,2026-03-09,2026-03-25,True,,,English: B2,Master,,AutoCAD,,,,,,,,,,,,,,,,,,
1858566,"IT-Service Continuity Manager (m,w,d)",Vienna,https://www.cvonline.hu/hu/allas/it-service-continuity-manager-mwd-1858566,2026-03-09,2026-03-25,True,not specified,60000 EUR gross/year,"German: Native, English: Good",High School with Diploma,,"Excel, PowerPoint",Hybrid (2 days per week),Full-time,3-5 years,,,,,,,,,,,,,,,
1854055,IT hálózati mérnök,Mavir Zrt.,https://www.cvonline.hu/hu/allas/it-halozati-mernok-1854055,2026-03-09,2026-03-25,True,,,English: B,,,,On-site,Full-time,7+ years,,,,,,,,,,,,,,,
1858593,ADATBÁZIS ÜZEMELTETÉSI SZAKÉRTŐ (ORACLE/MSSQL),BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/adatbazis-uzemeltetesi-szakerto-oracle-mssql-1858593,2026-03-09,2026-03-25,True,Budapest,,English: B2,,,"Oracle (11g–19c), MSSQL, RMAN, Oracle RAC, Data Guard, ASM, Enterprise Manager Cloud Control",Home-Office,Full-time,5+ years,,,,,,,,,,,,,,,
1858586,Diákmunka - DevOps,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-devops-1858586,2026-03-09,2026-03-25,True,,3000-5000 Ft/hora,Hungarian: Native,High School with Diploma,"NodeJS, React","Docker/Podman/containerd/cri-o, Kubernetes, AWS, Azure, Jenkins/Travis/Bamboo/CircleCI, GitLab CI/CD, GitHub Actions, Helm Charts, NGINX, GitHub Advanced Security (GHAS)",Hybrid,Short-term,1-3 years,,,,,,,,,,,,,,,
1849682,Számítógép szerelő technikus,Pannon-Work Cégcsoport,https://www.cvonline.hu/hu/allas/szamitogep-szerelo-technikus-1849682,2026-03-09,2026-03-23,False,Komárom,,,High School with Diploma,,,On-site,Full-time,,,,,,,,,,,,,,,,
1712134,SPS-Softwareentwickler für Modernisierungs- und Supportprojekte (m/w/d),Laendle,https://www.cvonline.hu/hu/allas/sps-softwareentwickler-fur-modernisierungs-und-supportprojekte-m-w-d-1712134,2026-03-09,2026-03-09,False,,,German: C1,"Bachelor, Master","Siemens S7, TIA",,On-site with home office,Full-time,1-3 years,,,,,,,,,,,,,,,
1853989,SAP IBP Consultant (Supply Chain Planning),Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/sap-ibp-consultant-supply-chain-planning-1853989,2026-03-09,2026-03-25,True,,,English: B2,"Bachelor, Master","ABAP OO, ODATA, CDS view, Python","SAP IBP, SAP S4/HANA, SAP APO, SD, VC, MM, PP",Home-Office,Full-time,5+ years,,,,,,,,,,,,,,,
1844333,"Web&ERP támogató konzulens (Web, Backend)",Hire-One Kft.,https://www.cvonline.hu/hu/allas/weberp-tamogato-konzulens-web-backend-1844333,2026-03-09,2026-03-17,False,,,English: Intermediate,"Bachelor, Master","HTML, CSS, JavaScript, .NET (C#), REST API, SQL",Microsoft Dynamics 365,,,3-5 years,,,,,,,,,,,,,,,
1858621,IT TECHNIKUS,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/it-technikus-1858621,2026-03-09,2026-03-23,False,Győr,,English: A1,High School with Diploma,,"Microsoft Active Directory, M365, Azure",On-site,Full-time,1-3 years,,,,,,,,,,,,,,,
1844225,"Customer Technology Advisor - Cloud 


(m/w/d)",Vienna,https://www.cvonline.hu/hu/allas/customer-technology-advisor-cloud-m-w-d-1844225,2026-03-09,2026-03-17,False,,110000 EUR gross/year,"English: B2, German: C1",,,,Home-Office,Full-time,5+ years,,,,,,,,,,,,,,,
1844158,Senior rendszermérnök (Adatbázis adminisztrátor),Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/senior-rendszermernok-adatbazis-adminisztrator-1844158,2026-03-09,2026-03-17,False,Budapest,,English: A1,,,"bash, Python, EnterpriseDB, Ansible, pgbadger",On-site with home office,Full-time,3-5 years,,,,,,,,,,,,,,,
1849451,ADATBÁZIS ÜZEMELTETÉSI SZAKÉRTŐ (ORACLE/MSSQL),BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/adatbazis-uzemeltetesi-szakerto-oracle-mssql-1849451,2026-03-09,2026-03-23,False,Budapest,,English: B2,,,"Oracle (11g–19c), MSSQL, RMAN, Oracle RAC, Data Guard, ASM, Enterprise Manager Cloud Control",Home-Office,Full-time,5+ years,,,,,,,,,,,,,,,
1858168,Business Consultant (m/w/d),Vienna,https://www.cvonline.hu/hu/allas/business-consultant-m-w-d-1858168,2026-03-09,2026-03-25,True,Wien,50000 EUR gross/year,German: Native,Bachelor,,,Home-Office with on-site at customers,Full-time,1-3 years,,,,,,,,,,,,,,,
1853685,Műszaki üzemeltető és karbantartó technikus - Budapest (Országos lefedettség),Man at Work Humánszolgáltató és Személyzeti Tanácsadó Kft.,https://www.cvonline.hu/hu/allas/muszaki-uzemelteto-es-karbantarto-technikus-budapest-orszagos-lefedettseg-1853685,2026-03-09,2026-03-25,True,Budapest,,Hungarian: Native,High School with Diploma,,,On-site with home office,Full-time,1-3 years,,,,,,,,,,,,,,,
1858319,Diákmunka - Beágyazott Szoftverfejlesztő Gyakornok,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-beagyazott-szoftverfejleszto-gyakornok-1858319,2026-03-09,2026-03-25,True,,2390 HUF/hora,English: Unknown,High School with Diploma,C,,On-site,Short-term,0-1 years,,,,,,,,,,,,,,,
1853682,IT Manager,HSA Kft.,https://www.cvonline.hu/hu/allas/it-manager-1853682,2026-03-09,2026-03-25,True,,,"English, German",Bachelor,,,,Full-time,5+ years,,,,,,,,,,,,,,,
1843994,Senior/Principal Software Engineer,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/senior-principal-software-engineer-1843994,2026-03-09,2026-03-17,False,,,English: B2,BSc/MSc,"C++, LabVIEW, LabVIEW FPGA, VeriStand",Azure DevOps,Hybrid,,5+ years,,,,,,,,,,,,,,,
1843982,IT szakértő,MÁV Szolgáltató Központ Zrt.,https://www.cvonline.hu/hu/allas/it-szakerto-1843982,2026-03-09,2026-03-17,False,Budapest,,English: A1,Master,,"MS Windows, Android, MDM, AD, SCCM, MS Office, Excel",On-site,Full-time,3-5 years,,,,,,,,,,,,,,,
1838728,Junior BI Developer,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/bi-developer-1838728,2026-03-09,2026-03-10,False,Budapest,,English: unknown,,,"Power BI, Power Automate, MS Excel",Hybrid,Full-time,1-3 years,,,,,,,,,,,,,,,
1858273,Hálózati rendszermérnök (medior vagy senior),MÁV Szolgáltató Központ Zrt.,https://www.cvonline.hu/hu/allas/halozati-rendszermernok-medior-vagy-senior-1858273,2026-03-09,2026-03-25,True,Budapest,,Hungarian: Native,Bachelor,,"Cisco, Fortinet, F5, Linux, Docker, Logpoint, Vectra",On-site with home office,Full-time,3-5 years,,,,,,,,,,,,,,,
1858140,Intermediate QA Automation Engineer,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/intermediate-qa-automation-engineer-1858140,2026-03-09,2026-03-25,True,,,English: B2,,,"Postman, Bruno, JMeter, Git, Jira, Confluence",,Full-time,3-5 years,,,,,,,,,,,,,,,
1858163,System Test Engineer (m/f/x),Vienna,https://www.cvonline.hu/hu/allas/system-test-engineer-m-f-x-1858163,2026-03-09,2026-03-09,False,Wien,3300 EUR gross/month,"German: Native, English: B2",Bachelor,,,Hybrid,Full-time,1-3 years,,,,,,,,,,,,,,,
1723529,Software Developer (m/w/d)*,Laendle,https://www.cvonline.hu/hu/allas/software-developer-m-w-d-1723529,2026-03-09,2026-03-09,False,Kennelbach,,"German: Native, English: Fluent",High School with Diploma,"PLSQL, Perl","JIRA, Confluence",On-site,Full-time,3-5 years,,,,,,,,,,,,,,,
1723530,EDI/API Projektkoordinator*in,Laendle,https://www.cvonline.hu/hu/allas/edi-api-projektkoordinatorin-1723530,2026-03-09,2026-03-09,False,Kennelbach,,"German: Native, English: B2",High School with Diploma,,"Jira, Confluence",On-site,Full-time,1-3 years,,,,,,,,,,,,,,,
1719935,DevOps Engineer Embedded Systems m/w/d,Laendle,https://www.cvonline.hu/hu/allas/devops-engineer-embedded-systems-m-w-d-1719935,2026-03-09,2026-03-09,False,,,German: Native,"Bachelor, Master",,,On-site,Full-time,3-5 years,,,,,,,,,,,,,,,
1719936,Embedded Software Developer m/w/d,Laendle,https://www.cvonline.hu/hu/allas/embedded-software-developer-m-w-d-1719936,2026-03-09,2026-03-09,False,,,German: Native,"Bachelor, Master",,,On-site,Full-time,3-5 years,,,,,,,,,,,,,,,
1719937,IT Systemadministrator:in,Laendle,https://www.cvonline.hu/hu/allas/it-technikerin-systemadministratorin-it-system-engineer-1719937,2026-03-09,2026-03-09,False,,,German: Native,"High School with Diploma, Bachelor",,,On-site,Full-time,1-3 years,,,,,,,,,,,,,,,
1719939,Modern Workplace Consultant (m/w/d)*,Laendle,https://www.cvonline.hu/hu/allas/modern-workplace-consultant-m-w-d-1719939,2026-03-09,2026-03-09,False,Kennelbach,,"German: Native, English: Fluent",,,Microsoft 365,On-site with home office,Full-time,3-5 years,,,,,,,,,,,,,,,
