job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,job_title,location,salary_range,work_schedule,responsibilities,requirements,benefits,contact,salary,application_link,company_name,job_description
1854188,Feljesztőmérnök,FUX Zrt.,https://www.cvonline.hu/hu/master/allas/fejlesztomernok-1854188,2026-03-09,2026-03-25,True,,,English: B2,Bachelor,,"AutoCAD, Windows, MS Office",,Full-time,0-1 years,,,,,,,,,,,,
1858566,"IT-Service Continuity Manager (m,w,d)",Vienna,https://www.cvonline.hu/hu/allas/it-service-continuity-manager-mwd-1858566,2026-03-09,2026-03-25,True,,60000 EUR gross/year,"German: C1, English: B2",Bachelor,,,Home-Office,Full-time,3-5 years,,,,,,,,,,,,
1854055,IT hálózati mérnök,Mavir Zrt.,https://www.cvonline.hu/hu/allas/it-halozati-mernok-1854055,2026-03-09,2026-03-25,True,,,English: B2,,,,On-site,Full-time,3-5 years,,,,,,,,,,,,
1858593,ADATBÁZIS ÜZEMELTETÉSI SZAKÉRTŐ (ORACLE/MSSQL),BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/adatbazis-uzemeltetesi-szakerto-oracle-mssql-1858593,2026-03-09,2026-03-25,True,Budapest,,English: B2,,,"Oracle Exadata Cloud@Customer, MSSQL, RMAN, Oracle RAC, Data Guard, ASM, Enterprise Manager Cloud Control",Home-Office,Full-time,5+ years,,,,,,,,,,,,
1858586,Diákmunka - DevOps,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-devops-1858586,2026-03-09,2026-03-25,True,,,,Bachelor,,"Jenkins, Travis, Bamboo, CircleCI, Helm Chart, GitHub Actions, GitLab CI/CD, CodeQL",Hybrid,Full-time,3-5 years,,,,,,,,,,,,
1849682,Számítógép szerelő technikus,Pannon-Work Cégcsoport,https://www.cvonline.hu/hu/allas/szamitogep-szerelo-technikus-1849682,2026-03-09,2026-03-23,False,Komárno,,,High School with Diploma,,,,Full-time,0-1 years,,,,,,,,,,,,
1712134,SPS-Softwareentwickler für Modernisierungs- und Supportprojekte (m/w/d),Laendle,https://www.cvonline.hu/hu/allas/sps-softwareentwickler-fur-modernisierungs-und-supportprojekte-m-w-d-1712134,2026-03-09,2026-03-09,False,,,None,Bachelor,"Siemens S7, TIA",,,Full-time,1-3 years,,,,,,,,,,,,
1853989,SAP IBP Consultant (Supply Chain Planning),Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/sap-ibp-consultant-supply-chain-planning-1853989,2026-03-09,2026-03-25,True,,,"English: C1, German: B2",Bachelor,"ABAP OO, ODATA, CDS view","SAP IBP, SAP S4/HANA, Python",Home-Office,Full-time,5+ years,,,,,,,,,,,,
1844333,"Web&ERP támogató konzulens (Web, Backend)",Hire-One Kft.,https://www.cvonline.hu/hu/allas/weberp-tamogato-konzulens-web-backend-1844333,2026-03-09,2026-03-17,False,,,English: B1,Bachelor,"HTML, CSS, JavaScript, .NET (C#)","REST API, SQL, Microsoft Dynamics 365",,Full-time,3-5 years,,,,,,,,,,,,
1858621,IT TECHNIKUS,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/it-technikus-1858621,2026-03-09,2026-03-23,False,Győr,,English: B1,,,,On-site,Full-time,1-3 years,,,,,,,,,,,,
1844225,"Customer Technology Advisor - Cloud 


(m/w/d)",Vienna,https://www.cvonline.hu/hu/allas/customer-technology-advisor-cloud-m-w-d-1844225,2026-03-09,2026-03-17,False,,110000 EUR brutto/year + 20% bonus,"German: C1, English: B2",,,,Home-Office,Full-time,5+ years,,,,,,,,,,,,
1844158,Senior rendszermérnök (Adatbázis adminisztrátor),Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/senior-rendszermernok-adatbazis-adminisztrator-1844158,2026-03-09,2026-03-17,False,Budapest,,English: B1,,"PLSQL, pgSQL, bash script, Python","Ansible, pgbadger",Home-Office,Full-time,3-5 years,,,,,,,,,,,,
1849451,ADATBÁZIS ÜZEMELTETÉSI SZAKÉRTŐ (ORACLE/MSSQL),BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/adatbazis-uzemeltetesi-szakerto-oracle-mssql-1849451,2026-03-09,2026-03-23,False,Budapest,,English: B2,,,"Oracle Exadata Cloud@Customer, MSSQL, RMAN, Oracle RAC, Data Guard, ASM, Enterprise Manager Cloud Control",Home-Office,Full-time,5+ years,,,,,,,,,,,,
1858168,Business Consultant (m/w/d),Vienna,https://www.cvonline.hu/hu/allas/business-consultant-m-w-d-1858168,2026-03-09,2026-03-25,True,,50000 EUR gross/year,English: B2,Bachelor,,,Home-Office,Full-time,0-1 years,,,,,,,,,,,,
1853685,Műszaki üzemeltető és karbantartó technikus - Budapest (Országos lefedettség),Man at Work Humánszolgáltató és Személyzeti Tanácsadó Kft.,https://www.cvonline.hu/hu/allas/muszaki-uzemelteto-es-karbantarto-technikus-budapest-orszagos-lefedettseg-1853685,2026-03-09,2026-03-25,True,Budapest,,,,,,On-site,Full-time,3-5 years,,,,,,,,,,,,
1858319,Diákmunka - Beágyazott Szoftverfejlesztő Gyakornok,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-beagyazott-szoftverfejleszto-gyakornok-1858319,2026-03-09,2026-03-25,True,,,English: B2,Bachelor,C,,Hybrid,Short-term,0-1 years,,,,,,,,,,,,
1853682,IT Manager,HSA Kft.,https://www.cvonline.hu/hu/allas/it-manager-1853682,2026-03-09,2026-03-25,True,,,"English: C1, German: C1",Bachelor,,"Microsoft Windows, Microsoft Office",,Full-time,5+ years,,,,,,,,,,,,
1843994,Senior/Principal Software Engineer,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/senior-principal-software-engineer-1843994,2026-03-09,2026-03-17,False,,,English: B2,Bachelor,"C++, LabVIEW, VeriStand","LabVIEW FPGA, ADAS, HIL rendszerek, járműbusz architektúrák, Azure DevOps",Hybrid,Full-time,5+ years,,,,,,,,,,,,
1843982,IT szakértő,MÁV Szolgáltató Központ Zrt.,https://www.cvonline.hu/hu/allas/it-szakerto-1843982,2026-03-09,2026-03-17,False,Budapest,,English: B2,Bachelor,,"MS Windows operációs és irodai rendszerek, Android mobil operációs rendszer, MDM szoftver, AD tartományi környezet, SCCM szoftver, MS Office szoftvercsomag, MS Excel",,Full-time,3-5 years,,,,,,,,,,,,
1838728,Junior BI Developer,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/bi-developer-1838728,2026-03-09,2026-03-10,False,Budapest,,English: B2,,"Power BI, Power Automate, MS Excel","Power BI, Power Automate, MS Excel",Hybrid,Full-time,1-3 years,,,,,,,,,,,,
1858273,Hálózati rendszermérnök (medior vagy senior),MÁV Szolgáltató Központ Zrt.,https://www.cvonline.hu/hu/allas/halozati-rendszermernok-medior-vagy-senior-1858273,2026-03-09,2026-03-25,True,Budapest,,,,,"Cisco hálózati eszközök, Cisco alkalmazások, Fortinet termékek, F5 termékek, Linux operációs rendszer, Docker",On-site,Full-time,3-5 years,,,,,,,,,,,,
1858140,Intermediate QA Automation Engineer,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/intermediate-qa-automation-engineer-1858140,2026-03-09,2026-03-25,True,,,,,"Python, JavaScript","Postman, Bruno, JMeter",,Full-time,5+ years,,,,,,,,,,,,
1858163,System Test Engineer (m/f/x),Vienna,https://www.cvonline.hu/hu/allas/system-test-engineer-m-f-x-1858163,2026-03-09,2026-03-09,False,Wien,,"Deutsch: C1, Englisch: B2","HTL, FH, Universität",,,Home-Office,Full-time,3-5 years,,,,,,,,,,,,
1723529,Software Developer (m/w/d)*,Laendle,https://www.cvonline.hu/hu/allas/software-developer-m-w-d-1723529,2026-03-09,2026-03-09,False,Knellel,,"German: C1, English: B2",Bachelor,"PLSQL, Perl","JIRA, Confluence",On-site,Full-time,1-3 years,,,,,,,,,,,,
1723530,EDI/API Projektkoordinator*in,Laendle,https://www.cvonline.hu/hu/allas/edi-api-projektkoordinatorin-1723530,2026-03-09,2026-03-09,False,Knellel,,"Deutsch: C1, Englisch: B2","HTL, HAK, Lehre",,"Jira, Confluence, Kanban, Scrum",,Full-time,1-3 years,,,,,,,,,,,,
1719935,DevOps Engineer Embedded Systems m/w/d,Laendle,https://www.cvonline.hu/hu/allas/devops-engineer-embedded-systems-m-w-d-1719935,2026-03-09,2026-03-09,False,,,,,,,,Full-time,3-5 years,,,,,,,,,,,,
1719936,Embedded Software Developer m/w/d,Laendle,https://www.cvonline.hu/hu/allas/embedded-software-developer-m-w-d-1719936,2026-03-09,2026-03-09,False,,,,Bachelor,,,,Full-time,3-5 years,,,,,,,,,,,,
