job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,"Bachelor of Science in Informatics or related field with IT focus, or equivalent experience in IT analysis and design with at least two years of practical experience in the IT sector or IT analysis and design fields. Maturita with 2-year experience in IT analysis is also acceptable but not preferred over a Bachelor's degree.",Bachelor,Master,PhD,"Bachelor of Science in Information Technology or similar field with focus on IT technologies, practical experience in managing and maintaining information, security and communication technologies in an industrial environment (software and hardware), good knowledge of MS Windows - installation, configuration, management, good knowledge of MS Office, knowledge in the area of LAN, WLAN, communicative knowledge of German or English language, knowledge of legislation in the field of GDPR is an advantage, independent, responsible, thorough and committed type of person.",Bachelor of Science in IT or related field (preferred but not required for internship/stage position) or equivalent combination of education and experience in IT field. Students graduating soon are encouraged to apply as well.,"University education (Bachelor's degree) or higher is preferred but not required for this role as per the job description mentioning 'suitable' candidates having secondary education only, so it's marked as null if no higher education is explicitly mentioned: null","Bachelor or Higher (preferred, but not required for junior position) in technical, automation or electrical engineering fields. Students are welcome to apply too.","Bachelor of Science in Electrical Engineering, IT, Technical / Economics/Marketing","Bachelor or Higher (I. Stupňa, II. Stupňa, III. Stupňa) in Electrotechnické, IT, technical/Economics/marketing fields preferred but not required for consideration of the position as Business Analyst at SmartFish s.r.o., Košice, Slovakia with expected salary of 2500 EUR gross/month and possibility of occasional home office work. The position offers full-time employment or freelance basis with immediate start date and final salary depending on individual skills and seniority level. The role involves data analysis and transformation into clear recommendations for sales, marketing, and customer support, evaluation of existing business systems, identification of weaknesses and improvement proposals, exploration and proposal of new trade methods and channels including onboarding processes, documentation of business processes, system architecture and data standards, proposal and implementation of digital transformation solutions, preparation of analyses, benchmark studies and market research for development and strategy areas, participation in projects with social impact and facilitation of workshops or training. The ideal candidate should have advanced knowledge of CRM (Customer Relationship Management), intermediate to advanced knowledge of Commercial Analytics, intermediate knowledge of Digital Marketing and Business Process Optimization, and at least 3 years of experience in the field with strong analytical thinking skills and business analysis experience preferred. The company offers work with innovative technological tools that change businesses for better, collaboration on projects with positive impact on Slovakia, shared bonus system (pool), flexible working hours, music rehearsal room (in preparation) and expected end date of selection process on 13.2.2026. The position is open to applicants with intermediate advanced English language skills (B2 level). The company SmartFish s.r.o. focuses on supporting projects with positive social impact, especially in education, creative industries, culture, sports, digitalization and employment support. It provides consulting services, connects entrepreneurs with potential partners and offers financing for sustainable business initiatives. Among its services are Networking Hub for connecting with future partners, advisory services for optimization and growth of businesses and provision of micro-loans for start-ups and small businesses. The company also specializes in implementation, administration and optimization of CRM solutions with focus on Salesforce and Raynet platforms, offering comprehensive services from needs analysis to user training to help companies effectively manage customer relationships and automate business processes. The contact person is Valér Dunda, reachable at poslat@zivotopis.sk. Please apply by sending your CV or share the job offer on social media.",Bachelor of Science in Technical/Electrotechnics/Automatization/Informatics (I. or II. degree level required)),University student,University education (not specified),"Bachelor of Science in Technical Studies - Electrotechnics, Automation, Informatics or similar field of study (I. and II. degree) or equivalent professional experience and skills in the relevant field of study for the position offered.","Bachelor of Science in Technical/Electrotechnics/Automation/Informatics or equivalent degree program (I. and II. level) or higher education degree program in the same field of study or related field of study, e.g., Master's Degree, PhD, etc.",Bachelor's degree,"Bachelor of Science in Technical/Electrotechnics/Automation/Informatics or equivalent degree program (I. and II. level) or higher education degree program in the same field of study or related field of study, e.g., Master's degree, PhD degree program etc.","Bachelor or Higher (I. Stupňa, II. Stupňa, III. Stupňa)"
5162943,Account Manager,"NATEK SLOVAKIA, s.r.o.",https://www.profesia.sk/praca/natek-slovakia/O5162943?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-12-17,False,Bratislava,2000 EUR gross/month,English: C1,"Bachelor, Master, PhD",,,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,
5186473,ServiceNow Consultant,"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186473?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2600 EUR gross/month,English: B2,Master,JavaScript,ServiceNow,Hybrid,Full-time,1-3 years,,,,,,,,,,,,,,,,,,
5178343,Architect / Senior SAP CO Consultant,saiworx s.r.o.,https://www.profesia.sk/praca/saiworx/O5178343?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Bratislava,6500 EUR gross/month,English: B2,Master,,"SAP CO, SAP S/4HANA, SAP ECC, Microsoft Office 365",Hybrid (up to 3 days/week remote),Full-time,7 years,,,,,,,,,,,,,,,,,,
5186461,Aplikačný Špecialista Java/Cloud (Openshift & AWS),"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186461?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2700 EUR gross/month,English: B2,Master,Java,"OpenShift, AWS (EC2, S3, RDS)",,,,,,,,,,,,,,,,,,,,,
5122967,"Konzultant IS QI - pre obchod, odbyt, sklady, logistika","JR Group, s. r. o.",https://www.profesia.sk/praca/jr-group/O5122967?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Žilina,1450 EUR gross/month,English: A2,Master,,"ERP, WMS",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5186456,Agentic AI Developer,PwC,https://www.profesia.sk/praca/pwc/O5186456?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,From 2 000 EUR/month,English,,,Co-Pilot Studio,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,
5186455,Technický konzultant železničných systémov,"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186455?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,,2000 EUR gross/month,English: B2,"Bachelor, Master, PhD",,,Home-Office,Full-time,,,,,,,,,,,,,,,,,,,
5186453,ESM ServiceNow Administrator,Swiss Re,https://www.profesia.sk/praca/swiss-re/O5186453?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-01-06,False,Bratislava,2700 - 4500 EUR gross/month,English: Upper intermediate (B2),University education (Master's degree),"JavaScript, HTML, CSS, XML, REST API",ServiceNow,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,
5186449,System Engineer (Automations / Firewall),PwC,https://www.profesia.sk/praca/pwc/O5186449?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-02-16,False,Bratislava,From 2 000 EUR/month,English,,"Python, Terraform, Ansible","Palo Alto firewalls, Panorama, OSPF, Static Routes, BGP",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5186426,"DevOps Engineer, DevOps Administrator","SkyToll, a. s.",https://www.profesia.sk/praca/skytoll/O5186426?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2800 - 3800 EUR gross/month,English: B2,High School with Diploma,"DevOps, GitOps","CI/CD pipeline, Jenkins, Bash Scripting, Terraform, Prometheus, Windows PowerShell, GitLab",Hybrid,Full-time,2 years,,,,,,,,,,,,,,,,,,
5178219,IT Projektový manažér – CEO vlastného projektu,"M2M Solutions, s.r.o.",https://www.profesia.sk/praca/m2m-solutions/O5178219?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Žilina,2500 EUR gross/month,"Slovenský jazyk - Pokročilý (C1), Anglický jazyk - Stredne pokročilý (B2)",Vysokoškolské II. stupňa,,Microsoft Excel,"Flexible hours, possibility to work from home",Full-time,3+ years,,,,,,,,,,,,,,,,,,
5186418,Product Manager,Sygic a. s.,https://www.profesia.sk/praca/sygic/O5186418?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-17,False,Bratislava,From 3500 EUR gross/month,English: Unknown,Secondary with school-leaving examination,,,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,
5186413,IT Technik - ponuka pre juniorov! :,Hemmersbach Czech s.r.o.,https://www.profesia.sk/praca/hemmersbach-czech/O5186413?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,600-650 EUR gross/month,"English: B1, Slovak: C2",High School with Diploma,,"Microsoft Office (Outlook, Word, Excel), IT service desk system",Hybrid,Short-term,0-1 years,,,,,,,,,,,,,,,,,,
5169530,Software Engineering Manager,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169530?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Košice,5500 EUR gross/month,English: Upper intermediate (B2),"University education (Master's degree), Postgraduate (Doctorate)",,,On-site with home office,Full-time,5+ years,,,,,,,,,,,,,,,,,,
5186406,Backend Developer (Symfony + Flask),VIZIO s.r.o.,https://www.profesia.sk/praca/vizio/O5186406?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,3000 EUR gross/month,English: B2,High School with Diploma,"PHP, Python","Symfony, Flask, SQL, Linux, Git",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5030123,Hľadáme Validačného Experta pre Alarm Function Testing: Spoj cestovanie s kariérou!,Valicare s.r.o.,https://www.profesia.sk/praca/valicare/O5030123?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-03-05,False,Trenčiansky kraj,1600 EUR gross/month,English: B1,Bachelor,,Microsoft Office 365,Hybrid,Full-time,0-1 years,,,,,,,,,,,,,,,,,,
5138722,Junior Web dizajnér,"LG Tech Services, s.r.o.",https://www.profesia.sk/praca/lg-tech-services/O5138722?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Bratislava,1600 EUR gross/month,English: B2,High School with Diploma,,"Adobe Creative Cloud, Figma",Hybrid,Full-time,0-1 years,,,,,,,,,,,,,,,,,,
5186386,Cloud Kubernetes Engineer,Unicorn,https://www.profesia.sk/praca/unicorn/O5186386?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,,2000 EUR gross/month,"Slovak: C2, English: B2","High School with Diploma, Bachelor",Linux,"Microsoft Azure, Docker, Kubernetes, Zabbix, Ansible, Prometheus, MongoDB, IaC, Grafana, Elastic Search",Home-Office,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5158583,Join Our Team as a Software Test Engineer - Python Focus,localhost s.r.o.,https://www.profesia.sk/praca/localhost/O5158583?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-03-03,False,Košice,2500 EUR gross/month,English: B2,Master,Python,"Java/JUnit, Python, Selenium, Cucumber, JBehave",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5180668,Software Engineer,"IRON MOUNTAIN SLOVAKIA, s.r.o.",https://www.profesia.sk/praca/iron-mountain-slovakia/O5180668?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2600 EUR gross/month,English: B2,Master,,"Docker, GitLab CI/CD, Kubernetes, Google Cloud Platform, Amazon Web Services (AWS), SQL",Hybrid,Full-time,2 years,,,,,,,,,,,,,,,,,,
5096827,Abap Developer,"SNP Slovakia, s. r. o.",https://www.profesia.sk/praca/snp-slovakia/O5096827?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-03-25,True,Žilina,2500 EUR gross/month,English: Intermediate,,ABAP,,Hybrid,Full-time,0-1 years,,,,,,,,,,,,,,,,,,
5169536,Senior Software Engineer - React,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169536?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-18,False,Košice,3600 EUR gross/month,English: B2,Master,"HTML5, CSS, Sass, Bootstrap, React, JavaScript, TypeScript, Webpack, Babel","Jest testing library, AWS or Azure, CI/CD tools (Jenkins, Azure DevOps, GitHub actions), agile software development methodology",Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,
5168981,Junior Data Analytics Engineer,Swiss Re,https://www.profesia.sk/praca/swiss-re/O5168981?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-02-09,False,Bratislava,1600 - 2600 EUR gross/month,English: B2,"Bachelor, Master","Python, TypeScript","Palantir Foundry, (Py)Spark, SQL",Hybrid,Full-time,1-3 years,,,,,,,,,,,,,,,,,,
5169531,Lead Software Engineer - React,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169531?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Košice,4600 EUR gross/month,English: B2,"Bachelor, Master","HTML5, CSS, Sass, Bootstrap, React, JavaScript, TypeScript, Webpack, Babel","Jest testing library, AWS or Azure, CI/CD tools (Jenkins, Azure DevOps, GitHub actions), agile software development methodology",On-site with home office,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5186340,Systémový administrátor pre ČSOB Poisťovňu (M/Ž),ČSOB Finančná skupina,https://www.profesia.sk/praca/csob-financna-skupina/O5186340?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Prešov,2200 EUR gross/month,English: B2,,,"Docker, Argo, Kubernetes, Ansible, GitHub, GitLab, VMware",Hybrid,Full-time,1-3 years,,,,,,,,,,,,,,,,,,
5186336,CMMS Analyst (Computerized Maintenance Management System),CBRE Global Workplace Solutions s. r. o.,https://www.profesia.sk/praca/cbre-global-workplace-solutions/O5186336?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-01-26,False,Bratislava,2500 EUR gross/month,English: C1,Bachelor,,"Tableau, Microsoft Excel",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5186331,IT Analytik/ Analytička Senior pre LAB Firemné financovanie,"Slovenská sporiteľňa, a.s.",https://www.profesia.sk/praca/slovenska-sporitelna/O5186331?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,2800 EUR gross/month,English: B2,,"Camunda framework, JIRA, Confluence, SOAP/REST, XML, JSON, Kibana","JIRA, Confluence, SQL",On-site,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5186186,Product Owner & Sales Executive – Maklerio,"Maklér Softvér, s. r. o.",https://www.profesia.sk/praca/makler-softver/O5186186?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,2500 EUR gross/month,English: B2,Vysokoškolské II. stupňa,,,On-site with home office,Full-time,3+ years,,,,,,,,,,,,,,,,,,
5186296,Frontend Developer,"Aliter Technologies, a.s.",https://www.profesia.sk/praca/aliter-technologies/O5186296?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-18,False,Bratislava,From 2500 EUR gross/month,English: B2,"High School with Diploma, Bachelor","ReactJS, TypeScript, Next JS, Node.js (Express), SQL, Vodičský preukaz B","Git, Figma, ESLint, Prettier, Vite, Docker, CI/CD (GitLab)",Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,
5186295,Senior ICT analytik (m/ž) | Bratislava,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186295?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-12-17,False,Bratislava,2000 EUR gross/month,English,Master,,,Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5160644,IT Analytik,VERMONT Services Slovakia s. r. o.,https://www.profesia.sk/praca/vermont-services-slovakia/O5160644?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,1800 EUR gross/month,English: B2,Master,"PHP, SQL, CSS","UML, BPMN",,Full-time,1-3 years,,,,,,,,,,,,,,,,,,
5186293,Senior ICT analytik (m/ž) | Trenčín,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186293?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-12-17,False,Trenčín,2262 EUR gross/month,English,Bachelor,"Java, Python","BPMN, UML, MS SQL, PostgreSQL, Oracle",On-site,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5186237,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) |Trenčín,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186237?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Trenčín,2034 EUR gross/month,,High School with Diploma,,,On-site with home office (requires travel),Full-time,1-3 years,,,,,,,,,,,,,,,,,,
5186236,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) | Čierny Váh,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186236?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Liptovský Hrádok,2034 EUR gross/month,,High School with Diploma,,,On-site,Full-time,1-3 years,,,,,,,,,,,,,,,,,,
5179414,Špecialista Tipérskej komunity (práca pre študenta),"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5179414?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,,Slovak: Native,High School with Diploma,,,Remote,Short-term,,,,,,,,,,,,,,,,,,,
5168044,Java Developer for Automatic Driving Trains,Siemens Slovensko,https://www.profesia.sk/praca/siemens-slovensko/O5168044?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Žilina,2000 EUR gross/month,English: B2,Bachelor,"Java, Spring Boot","Gitlab, Git",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5175141,Senior Frontend/Fullstack Developer,"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5175141?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Bratislava,2500 EUR gross/month,English: null,"Master, PhD","JavaScript/TypeScript, React, Webpack/Vite, Java, Node, SQL","GitLab, Zepline, Figma, Storybook",,Full-time,5+ years,,,,,,,,,,,,,,,,,,
5175139,Senior Java Developer,"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5175139?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-01-06,False,Bratislava,2500 EUR gross/month,English: unknown,,Java,"IDEA, maven, git/gitlab, JIRA, Confluence",On-site,Full-time,5+ years,,,,,,,,,,,,,,,,,,
5171710,Employee Central Test Lead,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171710?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-03-25,True,Košice,1800 EUR gross/month,English: B2,,,,Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,
5171694,Employee Central Compensation Specialist,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171694?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-02-03,False,Košice,From 2 200 EUR/month,"English: Mandatory, German: Optional",,,Employee Central,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,
