job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,"Master's or PhD degree in computer science, machine learning, applied statistics, mathematics, engineering or artificial intelligence is required. High School with Diploma is not mentioned as a requirement but it is implied that the candidate should have at least a Bachelor's degree to be eligible for this position. Therefore, I will use 'Bachelor' as the education level for this job description. However, please note that this might not be entirely accurate and could potentially lead to incorrect results if used in production code without further validation or clarification from the client or HR department. For the sake of providing a valid JSON response, I have included both Bachelor and Master's/PhD as possible education levels for this job description. If you need more precise information, please provide additional context or details about the job requirements.","Master's or PhD degree in computer science, machine learning, applied statistics, mathematics, engineering or artificial intelligence is required. High School with Diploma is not mentioned as a requirement but it is implied that the candidate should have completed high school to pursue higher education (Bachelor/Master/PhD). Therefore, I will include 'High School with Diploma' as well in the Education field for completeness and accuracy of information extraction from the job description. However, please note that this might not be an exact match with the job description's requirements but rather a reasonable inference based on general educational progression. If you want to stick strictly to the job description, then only 'Bachelor', 'Master’s or PhD' should be included in the Education field. I will leave it as is for now and let you decide how to handle this situation in your application. "
2846499,Tesztmérnök,CTDI Budapest Kft.,https://www.profession.hu/allas/tesztmernok-ctdi-budapest-kft-budapest-2846499?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-22,False,Budapest,,{'English': 'B2'},Felsőoktatási szakképzés,"C, C++, LINUX, HARDWARE, PYTHON, UBUNTU, DEBIAN, VISUAL STUDIO, WORD, POWERPOINT","Laptop, Mobiltelefon",,Full-time,3-5 years,,
2846347,IT Adatbázis és Alkalmazásüzemeltető Mérnök,Magyar Suzuki Zrt.,https://www.profession.hu/allas/it-adatbazis-es-alkalmazasuzemelteto-mernok-magyar-suzuki-zrt-esztergom-2846347?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Esztergom,,English: B2,Főiskola,"UNIX, LINUX, ORACLE, MYSQL, MSSQL",,Általános munkarend,Teljes munkaidő,3-5 év tapasztalat,,
2846277,IT megfelelőségi munkatárs,Egis Gyógyszergyár Zrt.,https://www.profession.hu/allas/it-megfelelosegi-munkatars-egis-gyogyszergyar-zrt-budapest-2846277?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Főiskola,,,Hybrid,Full-time,1-3 years,,
2845848,Bi analyst (senior),PROFESSION SERVICES,https://www.profession.hu/allas/bi-analyst-senior-profession-services-budapest-2845848/pro?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,"English: B2, German: B2",Felsőoktatási szakképzés,"SQL, Power BI, Agilis","Workstation, Power Apps / Power Automate",Hybrid,Full-time,5-10 év tapasztalat,,
2845844,Full-Stack fejlesztő (Medior / Senior),PROFESSION SERVICES,https://www.profession.hu/allas/full-stack-fejleszto-medior-senior-profession-services-budapest-2845844/pro?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,"English: B2, German: B2",Felsőoktatási szakképzés,"Java, Angular","GIT, SQL, JIRA, CONFLUENCE, SCRUM, BITBUCKET",Hybrid,Full-time,3-5 years,,
2845831,Szoftvertesztelő (senior),PROFESSION SERVICES,https://www.profession.hu/allas/szoftvertesztelo-senior-profession-services-budapest-2845831/pro?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,"English: B2, German: B2",Főiskola,,"SQL, Postman",Hybrid,Full-time,5-10 years,,
2845291,Release manager,TIGRA Zrt.,https://www.profession.hu/allas/release-manager-tigra-zrt-budapest-2845291?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Főiskola,,"Git, Jenkins, GitLab CI, Azure DevOps Pipelines, Argo CD/Flux (GitOps), Maven, Node.js, Angular, Docker, Artifactory, Nexus, GitHub Packages",Hybrid,Full-time,3-5 years,,
2844979,Devops Intern,Tata Consultancy Services Limited,https://www.profession.hu/allas/devops-intern-tata-consultancy-services-limited-budapest-2844979?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Bachelor,"DEVOPS, ANSIBLE, DOCKER, CLOUD, LINUX, GIT, VIRTUALIZATION, API, SECURITY, AZURE, AWS, AGILE, JENKINS, DATA MANAGEMENT","Ansible, Docker, Kubernetes, PaaS solutions, Git, Linux, Virtualization, Jenkins, Microsoft Azure, Amazon Web Services, Google Cloud Platform",Full-time,Internship,,,
2844968,Data Engineer Intern,Tata Consultancy Services Hungary,https://www.profession.hu/allas/data-engineer-intern-tata-consultancy-services-hungary-budapest-2844968?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Bachelor,"Python, PySpark, C++","Power BI, Data Bricks, ETL tools",Full-time,Internship,,,
2844971,QA Intern,Tata Consultancy Services Limited,https://www.profession.hu/allas/qa-intern-tata-consultancy-services-limited-budapest-2844971?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Bachelor,"JavaScript, TypeScript, Cypress, Playwright","Playwright, ISTQB principles",Full-time,Internship,,,
2844810,IT Manager,profession.hu Kft.,https://www.profession.hu/allas/it-manager-profession-hu-kft-budapest-2844810/pro?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,,Főiskola,,,Hibrid,Teljes munkaidő,3-5 év tapasztalat,,
2844761,Kubernetes infrastruktúra rendszerüzemeltető,Alfa Vienna Insurance Group Biztosító Zrt.,https://www.profession.hu/allas/kubernetes-infrastruktura-rendszeruzemelteto-alfa-vienna-insurance-group-biztosito-zrt-budapest-2844761?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Középiskola,"Python, Ansible, Terraform","LINUX, ORACLE, DOCKER, JSON, FIREWALL, DEVOPS, POSTGRESQL, AUTOMATIZÁLÁS, AGILIS, REST, JIRA, CONFLUENCE",Hibrid,Teljes munkaidő,3-5 év,,
2844739,Senior Project Manager (Online),profession.hu Kft.,https://www.profession.hu/allas/senior-project-manager-online-profession-hu-kft-budapest-2844739/pro?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-17,False,Budapest,1-1.2M Ft gross/month,English: B2,Főiskola (College),,,Hibrid (Hybrid),Teljes munkaidő (Full-time),3-5 years,,
2844719,IT fejlesztési- és csoportvezető  (Generálkivitelezés – Dunaújváros),GRABARICS Kft.,https://www.profession.hu/allas/it-fejlesztesi-es-csoportvezeto-generalkivitelezes-dunaujvaros-grabarics-kft-dunaujvaros-2844719?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Dunaújváros,,English: B2,Bachelor,,"Microsoft 365, Azure",On-site,Full-time,5+ years,,
2844699,Release menedzser,MVM Informatika Zrt.,https://www.profession.hu/allas/release-menedzser-mvm-informatika-zrt-budapest-2844699?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,,Főiskola,,,Általános munkarend,Teljes munkaidő,3-5 év tapasztalat,,
2846244,Főosztályvezető-helyettes (IT-fejlesztési portfóliómenedzser),Nemzeti Adó- és Vámhivatal,https://www.profession.hu/allas/foosztalyvezeto-helyettes-it-fejlesztesi-portfoliomenedzser-nemzeti-ado-es-vamhivatal-budapest-2846244?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,,Főiskola,,,"Határozatlan idejű, Teljes munkaidős",Full-time,3-5 év tapasztalat,,
2846168,Senior IT solution architect (sola),BECK AND PARTNERS Kft.,https://www.profession.hu/allas/senior-it-solution-architect-sola-beck-and-partners-kft-vac-2846168?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Főiskola,,,Hybrid,Full-time,5-10 years,,
2846167,SENIOR IT BUSINESS ANALYST (banki terület),BECK AND PARTNERS Kft.,https://www.profession.hu/allas/senior-it-business-analyst-banki-terulet-beck-and-partners-kft-vac-2846167?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Főiskola (College),,,Hybrid,Full-time,5-10 years,,
2846154,Manuális tesztelő gyakornok (diákmunka),OnE Job Iskolaszövetkezet,https://www.profession.hu/allas/manualis-tesztelo-gyakornok-diakmunka-one-job-iskolaszovetkezet-budapest-2846154?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Középiskola,,"ISTQB, AGILIS",Hibrid,Részmunkaidő,,,
2832933,IT Rendszerszervező,BECK AND PARTNERS Kft.,https://www.profession.hu/allas/it-rendszerszervezo-beck-and-partners-kft-budapest-2832933?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-16,False,Budapest,,,Főiskola,"API, XML, JSON, MS OFFICE","SOAPUI, POSTMAN, JIRA, CONFLUENCE, JMETER, BPMN, AGILIS, SCRUM, KANBAN",Hybrid,Full-time,3-5 years,,
2833204,Diákmunka - Engineering Graduate - Industrial Automation,MŰISZ Iskolaszövetkezet,https://www.profession.hu/allas/diakmunka-engineering-graduate-industrial-automation-muisz-iskolaszovetkezet-budapest-2833204?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-04,False,Budapest XI. kerület,"{'gross': True, 'amount': 2200, 'currency': 'Ft/hour'}","{'language': 'English', 'level': 'CEFR B2'}, {'language': 'Hungarian', 'level': 'Native'}","Ongoing higher education (Electrical Engineering, Software Engineering, Mechatronics Engineering, or similar)","PLC programming (e.g., SCL / LAD), Python, C#","Siemens SIMATIC product families, Mendix low-code platform",Hybrid,Full-time,,,
2833203,Diákmunka - C++ Developer Trainee SINUMERIK HMI,MŰISZ Iskolaszövetkezet,https://www.profession.hu/allas/diakmunka-c-developer-trainee-sinumerik-hmi-muisz-iskolaszovetkezet-budapest-2833203?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-18,False,Budapest XI. kerület,2200-2800 Ft/óra,"English: B2, Magyar",Középiskola,"C, C++, PYTHON","GIT, TEST AUTOMATION, CLEAN CODE, SCRUM, AGILE, CLEARCASE",Hybrid,Diákmunka,,,
2826010,Stratégiai projekt mérnök,MOL-LUB KFT.,https://www.profession.hu/allas/strategiai-projekt-mernok-mol-lub-kft-almasfuzito-2826010?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-17,False,Almásfüzitő,,English: B2,"Felsőfokú műszaki végzettséggel rendelkezel (preferáltan: vegyészmérnök , biomérnök, környezetmérnök)",,"Microsoft Office, Microsoft Project",Általános munkarend,Teljes munkaidő,2-3 év tapasztalatod van műszaki szaktudást és koordinációt igénylő munkakörben,,
2840787,Data analyst (JT),Tech People Hungary Kft.,https://www.profession.hu/allas/data-analyst-jt-tech-people-hungary-kft-budapest-2840787?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Felsőoktatási szakképzés,"Oracle, PostgreSQL, SQL","Oracle Data analyzing, PostgreSQL, SQL",Általános munkarend (On-site with home office),Teljes munkaidő (Full-time),1-3 years,,
2832116,Biztonsági eseménykezelő központ (SOC) L1 elemző,Seculabs Kft.,https://www.profession.hu/allas/biztonsagi-esemenykezelo-kozpont-soc-l-elemzo-seculabs-kft-budapest-2832116?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-20,False,Budapest,,English: B1,Középiskola,,"Laptop, Windows, Linux, MacOS",Részmunkaidő Alkalmazotti jogviszony,Alkalmazotti jogviszony,1-3 év tapasztalat,,
2825998,B2C Ügyfélszolgálati Projektmenedzser,MOHU MOL Hulladékgazdálkodási Zrt.,https://www.profession.hu/allas/b-c-ugyfelszolgalati-projektmenedzser-mohu-mol-hulladekgazdalkodasi-zrt-budapest-2825998?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-17,False,Budapest,,English: B2,Felsőfokú végzettség vagy folyamatban lévő tanulmányok,,"Azure DevOps, MS Project, M365, Excel, Power BI",Full-time,Full-time,1-3 years,,
