job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,Master,PhD
2846499,Tesztmérnök,CTDI Budapest Kft.,https://www.profession.hu/allas/tesztmernok-ctdi-budapest-kft-budapest-2846499?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-22,False,Budapest,,English: B2,Felsőoktatási szakképzés,"C, C++, Python, C#","LINUX, UBUNTU, DEBIAN, VISUAL STUDIO, WORD, POWERPOINT, EXCEL",On-site,Full-time,3-5 years,,
2846347,IT Adatbázis és Alkalmazásüzemeltető Mérnök,Magyar Suzuki Zrt.,https://www.profession.hu/allas/it-adatbazis-es-alkalmazasuzemelteto-mernok-magyar-suzuki-zrt-esztergom-2846347?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Esztergom,,English: B2,Főiskola,,"UNIX, LINUX, ORACLE, MYSQL, MSSQL",Teljes munkaidő Általános munkarend,Full-time,3-5 years,,
2846277,IT megfelelőségi munkatárs,Egis Gyógyszergyár Zrt.,https://www.profession.hu/allas/it-megfelelosegi-munkatars-egis-gyogyszergyar-zrt-budapest-2846277?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Főiskola,,,Hybrid,Full-time,1-3 years,,
2845848,Bi analyst (senior),PROFESSION SERVICES,https://www.profession.hu/allas/bi-analyst-senior-profession-services-budapest-2845848/pro?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,"English: B2, German: B2",Felsőoktatási szakképzés,,"BI, SQL, POWER BI, AGILIS, Workstation",Hybrid,Full-time,5-10 years,,
2845844,Full-Stack fejlesztő (Medior / Senior),PROFESSION SERVICES,https://www.profession.hu/allas/full-stack-fejleszto-medior-senior-profession-services-budapest-2845844/pro?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,"English: C1, German: B2",Felsőoktatási szakképzés,"Java, Angular","Git, SQL, JIRA, CONFLUENCE, SCRUM, BITBUCKET, Workstation",Hybrid,Full-time,3-5 years,,
2845831,Szoftvertesztelő (senior),PROFESSION SERVICES,https://www.profession.hu/allas/szoftvertesztelo-senior-profession-services-budapest-2845831/pro?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,"English: B2, German: B2",Főiskola,,SQL,Hybrid (80% home office),Full-time,5-10 years,,
2845291,Release manager,TIGRA Zrt.,https://www.profession.hu/allas/release-manager-tigra-zrt-budapest-2845291?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: B2,Főiskola,,"Git, Jenkins, GitLab CI, Azure DevOps Pipelines, Argo CD/Flux (GitOps), Maven, Node.js, Angular, Docker, Artifactory, Nexus, GitHub Packages, Kubernetes, AWS, Azure, GCP",Hybrid,Full-time,3-5 years,,
2844979,Devops Intern,Tata Consultancy Services Limited,https://www.profession.hu/allas/devops-intern-tata-consultancy-services-limited-budapest-2844979?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: Fluent,BSc/MSc student enrolled at a Hungarian university studying Computer Science or related studies,,"DEVOPS, ANSIBLE, DOCKER, CLOUD, LINUX, GIT, VIRTUALIZATION, API SECURITY, AZURE, AWS, AGILE, JENKINS, DATA MANAGEMENT",On-site,Short-term,0-1 years,,
2844968,Data Engineer Intern,Tata Consultancy Services Hungary,https://www.profession.hu/allas/data-engineer-intern-tata-consultancy-services-hungary-budapest-2844968?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: Fluent,BSc/MSc student enrolled at a Hungarian university studying Computer Science or related studies,"Python, PySpark, C++","SQL, Power BI, Data Bricks, ETL tools, Azure-based hybrid cloud solutions, AWS solution",Full-time,Short-term,0-1 years,,
2844971,QA Intern,Tata Consultancy Services Limited,https://www.profession.hu/allas/qa-intern-tata-consultancy-services-limited-budapest-2844971?sessionId=ed7061b1d89e7c95ce70868e0e3baa03,2026-03-04,2026-03-25,True,Budapest,,English: Fluent,BSc/MSc student enrolled at a Hungarian university studying Computer Science or related studies,"JavaScript, TypeScript","Playwright, Cypress","Internship (320 hours, 40 hours/week)",Short-term,0-1 years,,
