job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level
1854188,Feljesztőmérnök,FUX Zrt.,https://www.cvonline.hu/hu/master/allas/fejlesztomernok-1854188,2026-03-09,2026-03-25,True,,,"{'Language': 'English', 'Level': 'B2'}",Bachelor,,"Windows, MS Office",,Full-time,
1858566,"IT-Service Continuity Manager (m,w,d)",Vienna,https://www.cvonline.hu/hu/allas/it-service-continuity-manager-mwd-1858566,2026-03-09,2026-03-25,True,Europe and Asia,60000 EUR gross/year,"{'English': 'B2'}, {'German': 'C1'}","Bachelor, Master",,,Hybrid (2 days/week home-office),Full-time,3-5 years
1854055,IT hálózati mérnök,Mavir Zrt.,https://www.cvonline.hu/hu/allas/it-halozati-mernok-1854055,2026-03-09,2026-03-25,True,Budapest,,"{'Language': 'English', 'CEFR Level': 'B2'}",Bachelor,,,Home-Office,Full-time,3-5 years
1858593,ADATBÁZIS ÜZEMELTETÉSI SZAKÉRTŐ (ORACLE/MSSQL),BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/adatbazis-uzemeltetesi-szakerto-oracle-mssql-1858593,2026-03-09,2026-03-25,True,Budapest,,English: B2,,,"Oracle, MSSQL, RMAN, Oracle RAC, Data Guard, ASM, Enterprise Manager Cloud Control",Home-Office,Full-time,5+ years
1858586,Diákmunka - DevOps,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-devops-1858586,2026-03-09,2026-03-25,True,,3000-5000 Ft/hour,,"Bachelor, Master, PhD",,"Kubernetes, Docker, Podman, containerd, cri-o, Jenkins, Travis, Bamboo, CircleCI, NodeJS, React",Hybrid,Full-time,
1849682,Számítógép szerelő technikus,Pannon-Work Cégcsoport,https://www.cvonline.hu/hu/allas/szamitogep-szerelo-technikus-1849682,2026-03-09,2026-03-23,False,,,,High School with Diploma,,,Multiple shifts,Full-time,
1712134,SPS-Softwareentwickler für Modernisierungs- und Supportprojekte (m/w/d),Laendle,https://www.cvonline.hu/hu/allas/sps-softwareentwickler-fur-modernisierungs-und-supportprojekte-m-w-d-1712134,2026-03-09,2026-03-09,False,,,,Bachelor,"Siemens S7, TIA",,,Full-time,1-3 years
1853989,SAP IBP Consultant (Supply Chain Planning),Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/sap-ibp-consultant-supply-chain-planning-1853989,2026-03-09,2026-03-25,True,Hungary,,"English: B2, German: unknown",Bachelor or comparable qualification,"SAP ABAP OO, Python","SAP IBP, SAP S4/HANA, Python",Home-Office,Full-time,5+ years
1844333,"Web&ERP támogató konzulens (Web, Backend)",Hire-One Kft.,https://www.cvonline.hu/hu/allas/weberp-tamogato-konzulens-web-backend-1844333,2026-03-09,2026-03-17,False,,,{'English': 'B2'},Bachelor,"HTML, CSS, JavaScript, .NET (C#)","REST API, SQL",,,3-5 years
1858621,IT TECHNIKUS,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/it-technikus-1858621,2026-03-09,2026-03-23,False,Győr,,"{'Language': 'English', 'CEFR Level': 'B'}",Bachelor,,"Windows, Microsoft Active Directory",On-site,Full-time,1-3 years
1844225,"Customer Technology Advisor - Cloud 


(m/w/d)",Vienna,https://www.cvonline.hu/hu/allas/customer-technology-advisor-cloud-m-w-d-1844225,2026-03-09,2026-03-17,False,,110000 EUR gross/year + 20% Bonus,"English: B2, German: native",,,,Home-Office,Full-time,5+ years
