job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Suitable for,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level
5162943,Account Manager,"NATEK SLOVAKIA, s.r.o.",https://www.profesia.sk/praca/natek-slovakia/O5162943?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-12-17,False,Bratislava,2000 EUR gross/month,English: C1,,,,Hybrid,Full-time,5+ years
5186473,ServiceNow Consultant,"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186473?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2600 EUR gross/month,English: B2,"High School with Diploma, Bachelor, Master, PhD","JavaScript, HTML, CSS, REST, JSON, SQL",ServiceNow,Hybrid,Full-time,1-3 years
5178343,Architect / Senior SAP CO Consultant,saiworx s.r.o.,https://www.profesia.sk/praca/saiworx/O5178343?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Bratislava,6500 EUR gross/month,"English: B2, German: B2","študent vysokej školy, vysokoškolské I. stupňa, vysokoškolské II. stupňa, vysokoškolské III. stupňa",,"SAP Controlling (CO), SAP S/4HANA, SAP ECC, SAP SD, SAP MM, SAP PP, SAP FI, Microsoft Office 365",Hybrid,Full-time,5+ years
5186461,Aplikačný Špecialista Java/Cloud (Openshift & AWS),"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186461?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2700 EUR gross/month,English: B2,,Java,"OpenShift, AWS, CI/CD pipelines, containerization, monitoring",On-site,Full-time,3-5 years
5122967,"Konzultant IS QI - pre obchod, odbyt, sklady, logistika","JR Group, s. r. o.",https://www.profesia.sk/praca/jr-group/O5122967?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Žilina,1450 EUR gross/month,English: A2,Predaj alebo nákup,,"ERP, WMS, Microsoft Power BI",Hybrid,Full-time,3-5 years
5186456,Agentic AI Developer,PwC,https://www.profesia.sk/praca/pwc/O5186456?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2000 EUR gross/month,,,,"Co-Pilot Studio, Microsoft ecosystem",Hybrid,Full-time,
5186455,Technický konzultant železničných systémov,"Talent Solutions, s.r.o.",https://www.profesia.sk/praca/talent-solutions/O5186455?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,,2000 EUR gross/month,"English: B2, Polish: C1","High School with Diploma, Bachelor, Master, PhD",,,Home-Office,Full-time,3-5 years
5186453,ESM ServiceNow Administrator,Swiss Re,https://www.profesia.sk/praca/swiss-re/O5186453?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-01-06,False,Bratislava,2700 - 4500 EUR gross/month,English: B2,"High School with Diploma, Bachelor, Master","JavaScript, HTML, CSS, XML",ServiceNow,Hybrid,Full-time,5+ years
5186449,System Engineer (Automations / Firewall),PwC,https://www.profesia.sk/praca/pwc/O5186449?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-02-16,False,Bratislava,2000 EUR gross/month,,"Automation, Firewall","Python, Terraform, Ansible","Palo Alto firewalls, Panorama",Hybrid,Full-time,3-5 years
5186426,"DevOps Engineer, DevOps Administrator","SkyToll, a. s.",https://www.profesia.sk/praca/skytoll/O5186426?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2800 - 3800 EUR/mesiac,English: B2,,"Bash Scripting, Windows PowerShell","Docker, Kubernetes, Jenkins, Terraform, Prometheus, GitLab, ArgoCD, Flux, Vault, AWS Secret Manager",Hybrid,Full-time,1-3 years
5178219,IT Projektový manažér – CEO vlastného projektu,"M2M Solutions, s.r.o.",https://www.profesia.sk/praca/m2m-solutions/O5178219?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Žilina,2500 EUR gross/month,"Slovak: C1, English: B2",,,Microsoft Excel,Hybrid,Full-time,3-5 years
5186418,Product Manager,Sygic a. s.,https://www.profesia.sk/praca/sygic/O5186418?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-17,False,Bratislava,3500 EUR gross/month,,,,,On-site with home office,Full-time,5+ years
5186413,IT Technik - ponuka pre juniorov! :,Hemmersbach Czech s.r.o.,https://www.profesia.sk/praca/hemmersbach-czech/O5186413?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,600 - 650 EUR/mesiac,"English: B1, Slovak: C2",absolvent,,"Microsoft Office, Outlook, Word, Excel, Microsoft Windows",Hybrid,Half-time,0-1 years
5169530,Software Engineering Manager,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169530?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Košice,5500 EUR gross/month,English: B2,"Bachelor, Master, PhD",,"AWS, Azure",On-site with home office,Full-time,5+ years
5186406,Backend Developer (Symfony + Flask),VIZIO s.r.o.,https://www.profesia.sk/praca/vizio/O5186406?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,3000 EUR gross/month,English: B2,"stredoškolské s maturitou, nadstavbové/vyššie odborné vzdelanie, vysokoškolské I. stupňa, vysokoškolské II. stupňa, vysokoškolské III. stupňa","PHP, Python, SQL","Symfony, Flask, Git, Linux",Hybrid,Full-time,3-5 years
5030123,Hľadáme Validačného Experta pre Alarm Function Testing: Spoj cestovanie s kariérou!,Valicare s.r.o.,https://www.profesia.sk/praca/valicare/O5030123?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-03-05,False,Trenčiansky kraj,1600 EUR gross/month,English: B1,absolvent,,Microsoft Office 365,Hybrid,Full-time,0-1 years
5138722,Junior Web dizajnér,"LG Tech Services, s.r.o.",https://www.profesia.sk/praca/lg-tech-services/O5138722?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Bratislava,1600 EUR gross/month,"English: B2, Slovak: C2",absolvent,"HTML, CSS, JavaScript","Adobe Creative Cloud, Figma",Hybrid,Full-time,0-1 years
5186386,Cloud Kubernetes Engineer,Unicorn,https://www.profesia.sk/praca/unicorn/O5186386?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,,2000 EUR gross/month,"Slovak: C2, English: B2","High School with Diploma, Bachelor, Master",,"Linux, Microsoft Azure, Docker, Kubernetes, Zabbix, Ansible, Prometheus, MongoDB, IaC, Terraform, Graffana, Elastic Search",Home-Office,Full-time,3-5 years
5158583,Join Our Team as a Software Test Engineer - Python Focus,localhost s.r.o.,https://www.profesia.sk/praca/localhost/O5158583?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-03-03,False,Košice,2500 EUR gross/month,English: B2,,Python,"Selenium, Cucumber, JBehave",On-site with home office,Full-time,3-5 years
5180668,Software Engineer,"IRON MOUNTAIN SLOVAKIA, s.r.o.",https://www.profesia.sk/praca/iron-mountain-slovakia/O5180668?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2600 EUR gross/month,English: B2,,,"Docker, GitLab CI/CD, Kubernetes, GitLab, Google Cloud Platform, Amazon Web Services (AWS), SQL",Hybrid,Full-time,1-3 years
5096827,Abap Developer,"SNP Slovakia, s. r. o.",https://www.profesia.sk/praca/snp-slovakia/O5096827?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-03-25,True,Žilina,2500 EUR gross/month,English: B1,"University students, Graduates","ABAP, SQL","SAP, Hadoop, HIVE",On-site with home office,Full-time,0-1 years
5169536,Senior Software Engineer - React,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169536?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-18,False,Košice,3600 EUR gross/month,English: B2,"University education (Bachelor's degree), University education (Master's degree), Postgraduate (Doctorate)","HTML5, CSS, Sass, Bootstrap, React, JavaScript, TypeScript, Webpack, Babel, Redux","Jest testing library, AWS, Azure, Jenkins, Azure DevOps, GitHub actions, HCL Commerce",On-site with home office,Full-time,5+ years
5168981,Junior Data Analytics Engineer,Swiss Re,https://www.profesia.sk/praca/swiss-re/O5168981?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-02-09,False,Bratislava,1600 - 2600 EUR/month,English: B2,"Graduates, People with first experience in a data-related field","PySpark, TypeScript, SQL","Palantir Foundry, Workshop",Hybrid,Full-time,0-1 years
5169531,Lead Software Engineer - React,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169531?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Košice,4600 EUR gross/month,English: B2,,"HTML5, CSS, Sass, Bootstrap, React, JavaScript, TypeScript, Webpack, Babel, Redux","Jest testing library, AWS, Azure, Jenkins, Azure DevOps, GitHub actions, HCL Commerce",On-site with home office,Full-time,3-5 years
5186340,Systémový administrátor pre ČSOB Poisťovňu (M/Ž),ČSOB Finančná skupina,https://www.profesia.sk/praca/csob-financna-skupina/O5186340?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Prešov,2200 EUR gross/month,English: B2,,Ansible,"Openshift, Docker, Argo, Kubernetes, GitHub, GitLab, VMware",Hybrid,Full-time,1-3 years
5186336,CMMS Analyst (Computerized Maintenance Management System),CBRE Global Workplace Solutions s. r. o.,https://www.profesia.sk/praca/cbre-global-workplace-solutions/O5186336?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-01-26,False,Bratislava,2500 EUR gross/month,English: C1,,,"CMMS, Tableau, Microsoft Excel, Google Workspace",Hybrid,Full-time,3-5 years
5186331,IT Analytik/ Analytička Senior pre LAB Firemné financovanie,"Slovenská sporiteľňa, a.s.",https://www.profesia.sk/praca/slovenska-sporitelna/O5186331?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,2800 EUR gross/month,,,SQL,"JIRA, Confluence, SOAP/REST, XML, JSON, Kibana, Camunda framework",On-site,Full-time,1-3 years
5186186,Product Owner & Sales Executive – Maklerio,"Maklér Softvér, s. r. o.",https://www.profesia.sk/praca/makler-softver/O5186186?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,2500 EUR gross/month,English: B2,"High School with Diploma, Bachelor, Master, PhD",,,Hybrid,Full-time,3-5 years
5186296,Frontend Developer,"Aliter Technologies, a.s.",https://www.profesia.sk/praca/aliter-technologies/O5186296?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-18,False,Bratislava,2500 EUR gross/month,English: B2,,"ReactJS, Node.js, SQL, TypeScript, Next JS","React, Node.js, Express, PostgreSQL, MongoDB, Docker, GitLab, Azure, AWS, Jest, React Testing Library, Cypress, Playwright, Git, Figma, ESLint, Prettier, Vite",Hybrid,Full-time,5+ years
5186295,Senior ICT analytik (m/ž) | Bratislava,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186295?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-12-17,False,Bratislava,2000 EUR gross/month,,,"Java, Python","BPMN, UML, MS SQL, PostgreSQL, Oracle",Hybrid,Full-time,3-5 years
5160644,IT Analytik,VERMONT Services Slovakia s. r. o.,https://www.profesia.sk/praca/vermont-services-slovakia/O5160644?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,1800 EUR gross/month,English: B2,,"PHP, SQL, CSS",UML,On-site,Full-time,2
