job_id,url,first_seen,last_seen,active,Job Title,Location,Salary,Language Requirements,Education Requirements,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,Company Name
1854188,https://www.cvonline.hu/hu/master/allas/fejlesztomernok-1854188,2026-03-09,2026-03-09,True,Strategic Development Engineer,,,"English, Negotiable",University degree in Mechanical Engineering,,AutoCAD,,,,
1858566,https://www.cvonline.hu/hu/allas/it-service-continuity-manager-mwd-1858566,2026-03-09,2026-03-09,True,IT Service Continuity Manager,Not specified,60000 EUR gross,"German - Native/Bilingual, English - Professional working proficiency",University degree in Informatics or Business Informatics,,"Excel, PowerPoint",Hybrid (2 days/week remote),Full-time,Mid/Senior level,Renowned insurance company
1854055,https://www.cvonline.hu/hu/allas/it-halozati-mernok-1854055,2026-03-09,2026-03-09,True,IT Network Architect,,,"English, Intermediate",University + degree + IT,,,,Full-time,7+ years,MAVIR Magyar Villamosenergia-ipari Átviteli Rendszerirányító Zártkörűen Működő Részvénytársaság
1858593,https://www.cvonline.hu/hu/allas/adatbazis-uzemeltetesi-szakerto-oracle-mssql-1858593,2026-03-09,2026-03-09,True,Database Administrator,Budapest,,English - written,University degree in IT or related field,,"Oracle (11g–19c), MSSQL, RMAN, Oracle RAC, Data Guard, ASM, Enterprise Manager Cloud Control",Home-Office,Full-time,Minimum 5 years in large-scale IT infrastructure management,Beck and Partners Kft.
1858586,https://www.cvonline.hu/hu/allas/diakmunka-devops-1858586,2026-03-09,2026-03-09,True,DevOps Engineer,Budapest,3000-5000 HUF/hora,"Hungarian, Professional",University degree in Computer Science or related field,"Python, Bash, JavaScript","Docker, Kubernetes, AWS, Azure, GitLab, GitHub, Jenkins, NGINX, Helm",Hybrid,Full-time,Mid-level,Skyint
1849682,https://www.cvonline.hu/hu/allas/szamitogep-szerelo-technikus-1849682,2026-03-09,2026-03-09,True,Computer Hardware Assembler Technician,Komárom,,,Secondary Education,,,On-site,Full-time,,Multinational Partner Company
1712134,https://www.cvonline.hu/hu/allas/sps-softwareentwickler-fur-modernisierungs-und-supportprojekte-m-w-d-1712134,2026-03-09,2026-03-09,True,Software Updates Engineer,,,"German, Professional",University + degree + field,"Siemens S7, TIA",,On-site with home office,Full-time,Entry-level,
1853989,https://www.cvonline.hu/hu/allas/sap-ibp-consultant-supply-chain-planning-1853989,2026-03-09,2026-03-09,True,SAP IBP Consultant,Hungary,,English - Professional,"University degree in Business Administration, Business Informatics or comparable qualification","ABAP OO, ODATA, CDS view, Python","SAP IBP, SAP S4/HANA, SAP APO, SAP SD, SAP VC, SAP MM, SAP PP",Hybrid (Home-Office with on-site),Full-time,"5+ years as SAP Consultant, with at least 2 full implementations of SAP IBP solutions",Hungary's largest agricultural machinery manufacturing company
1844333,https://www.cvonline.hu/hu/allas/weberp-tamogato-konzulens-web-backend-1844333,2026-03-09,2026-03-09,True,Software Developer / IT Specialist,,,English - Intermediate,University degree in Computer Science or Business Informatics,"HTML, CSS, JavaScript, .NET (C#), REST API, SQL","ERP systems, Microsoft Dynamics 365, CMS",,,At least 3 years of experience in web and backend application development,Hire-One Személyzeti Tanácsadó Kft.
1858621,https://www.cvonline.hu/hu/allas/it-technikus-1858621,2026-03-09,2026-03-09,True,IT Technician,Győr,,"English, Basic",High School Diploma,,"Microsoft Active Directory, Microsoft 365, Azure",On-site,Full-time,Minimum 1 year,
1844225,https://www.cvonline.hu/hu/allas/customer-technology-advisor-cloud-m-w-d-1844225,2026-03-09,2026-03-09,True,Cloud Transformation Architect,,110000 EUR gross + 20% bonus,"English - Professional, German - Professional",University degree in Computer Science or a related field,,,Hybrid,Full-time,5+ years,ISG
1844158,https://www.cvonline.hu/hu/allas/senior-rendszermernok-adatbazis-adminisztrator-1844158,2026-03-09,2026-03-09,True,Senior Systems Engineer (Database Administrator),Budapest,,"English, Basic",IT-related degree,"SQL, PLSQL, pgSQL","Linux, bash, Python, EnterpriseDB, Ansible, pgbadger",On-site with home office (after probation period),Full-time,2-5 years,Magyar Posta Zrt.
1849451,https://www.cvonline.hu/hu/allas/adatbazis-uzemeltetesi-szakerto-oracle-mssql-1849451,2026-03-09,2026-03-09,True,Database Administrator,Budapest,,English - written,University degree in IT or related field,,"Oracle (11g–19c), MSSQL, RMAN, Oracle RAC, Data Guard, ASM, Enterprise Manager Cloud Control",Home-Office,Full-time,Minimum 5 years in large-scale IT infrastructure management,Beck and Partners Kft.
1858168,https://www.cvonline.hu/hu/allas/business-consultant-m-w-d-1858168,2026-03-09,2026-03-09,True,Asset Management Consultant,Vienna,50000 EUR gross,"German, fluent",University degree in Finance or Accounting,,,Hybrid,Full-time,Entry-level to Mid-level,ISG
1853685,https://www.cvonline.hu/hu/allas/muszaki-uzemelteto-es-karbantarto-technikus-budapest-orszagos-lefedettseg-1853685,2026-03-09,2026-03-09,True,Műszaki üzemeltető és karbantartó technikus,Budapest III. kerület (Országos lefedettség),750000-850000 HUF brutto/hó alapbér,"Hungarian, Professional","Medium technical education (electrical, electronic, informatics, network)",,,On-site with home office,Full-time,Any,Man at Work Humánszolgáltató és Személyzeti Tanácsadó Kft.
1858319,https://www.cvonline.hu/hu/allas/diakmunka-beagyazott-szoftverfejleszto-gyakornok-1858319,2026-03-09,2026-03-09,True,Intern Software Developer,Not specified,2390 HUF/hora,"English, Intermediate",University + degree + field,C,,Flexible,Internship,Entry level,Not specified
1853682,https://www.cvonline.hu/hu/allas/it-manager-1853682,2026-03-09,2026-03-09,True,IT Manager,,,"English, German",University degree in IT,,,,,5 years,
1843994,https://www.cvonline.hu/hu/allas/senior-principal-software-engineer-1843994,2026-03-09,2026-03-09,True,Senior/Principal Software Engineer,Debrecen,,English - Fluent,University + degree + field,"C++, LabVIEW, LabVIEW FPGA, VeriStand",Azure DevOps,Hybrid,Full-time,5+ years,
1843982,https://www.cvonline.hu/hu/allas/it-szakerto-1843982,2026-03-09,2026-03-09,True,IT Technician,Budapest,10526 HUF gross,English - Basic,University degree in IT or related field,,"MS Windows, Android, MDM, AD, SCCM, MS Office, MS Excel",On-site,Full-time,At least 3 years in a corporate environment,MÁV Szolgáltató Központ Zrt.
1838728,https://www.cvonline.hu/hu/allas/bi-developer-1838728,2026-03-09,2026-03-09,True,Junior BI Developer,Budapest,,English - Professional,University + degree + field,,"Power BI, Power Automate, MS Excel",Hybrid,Full-time,2 years,Globally renowned leader in electronics and entertainment
1858273,https://www.cvonline.hu/hu/allas/halozati-rendszermernok-medior-vagy-senior-1858273,2026-03-09,2026-03-09,True,Network Infrastructure Engineer,Budapest,200000 HUF gross,"Hungarian, Professional",University degree in Computer Science,,"Cisco, Fortinet, F5, Linux, Docker, Logpoint, Vectra",On-site,Full-time,Mid-level,MÁV Szolgálató Központ Zrt.
1858140,https://www.cvonline.hu/hu/allas/intermediate-qa-automation-engineer-1858140,2026-03-09,2026-03-09,True,API Test Automation Engineer,Hungary,,English - Intermediate,University degree in Computer Science or a related field,,"Postman, Bruno, JMeter, Git, Jira, Confluence",On-site with home office,Full-time,"4+ years of overall QA experience, including 3+ years in API automation testing",Globally present technology and business services company
1858163,https://www.cvonline.hu/hu/allas/system-test-engineer-m-f-x-1858163,2026-03-09,2026-03-09,True,System Tester,Wien,3300 EUR gross,"German - Native/Bilingual, English - Professional",University degree in technical field,,,Hybrid,Full-time,Experienced,IT-Beratungshaus
1723529,https://www.cvonline.hu/hu/allas/software-developer-m-w-d-1723529,2026-03-09,2026-03-09,True,Software Developer / IT Specialist,"Kennelbach, Austria","€37,289 gross per year (minimum, with overtime pay)","German - Native/Bilingual, English - Professional",IT-related education or degree,"PLSQL, Perl","JIRA, Confluence",On-site with home office,Full-time,Mid/Senior level,GW WORLD
1723530,https://www.cvonline.hu/hu/allas/edi-api-projektkoordinatorin-1723530,2026-03-09,2026-03-09,True,EDI Specialist,"Kennelbach, Austria","€37,289 gross (minimum) with potential overtaking based on experience","German - Native/Bilingual, English - Professional",University degree in a relevant field,,"Jira, Confluence",On-site,Full-time,Mid/Senior level,Gebrüder Weiss
1719935,https://www.cvonline.hu/hu/allas/devops-engineer-embedded-systems-m-w-d-1719935,2026-03-09,2026-03-09,True,Software Developer - Research & Development,,,German - Professional,University degree in Computer Science or a related field,,,,Full-time,,Ivoclar Gruppe
